"feature id","feature label","shid","geoid","Workers in Agriculture, Fishing, and Mining who Work From Home (2020-2024)","Workers in Construction who Work From Home (2020-2024)","Workers in Manufacturing who Work From Home (2020-2024)","Workers in Wholesale Trade who Work From Home (2020-2024)","Workers in Retail Trade who Work From Home (2020-2024)","Workers in Transportation who Work From Home (2020-2024)","Workers in Finance and Insurance who Work From Home (2020-2024)","Workers in Information who Work From Home (2020-2024)","Workers in Scientific and Professional who Work From Home (2020-2024)","Workers in Education and Health Care who Work From Home (2020-2024)","Workers in Arts, Food, and Entertainment who Work From Home (2020-2024)","Workers in Public Administration who Work From Home (2020-2024)","Workers in Other Services who Work From Home (2020-2024)","Workers in Armed Forces who Work From Home (2020-2024)","Workers in Agriculture, Fishing, and Mining who Commute to Work (2020-2024)","Workers in Construction who Commute to Work (2020-2024)","Workers in Manufacturing who Commute to Work (2020-2024)","Workers in Wholesale Trade who Commute to Work (2020-2024)","Workers in Retail Trade who Commute to Work (2020-2024)","Workers in Transportation who Commute to Work (2020-2024)","Workers in Finance and Insurance who Commute to Work (2020-2024)","Workers in Information who Commute to Work (2020-2024)","Workers in Scientific and Professional who Commute to Work (2020-2024)","Workers in Education and Health Care who Commute to Work (2020-2024)","Workers in Arts, Food, and Entertainment who Commute to Work (2020-2024)","Workers in Public Administration who Commute to Work (2020-2024)","Workers in Other Services who Commute to Work (2020-2024)","Workers in Armed Forces who Commute to Work (2020-2024)","Management, Business, Science, and Arts Occupations Work From Home (2020-2024)","Service Occupations Work From Home (2020-2024)","Sales and Office Occupations Work From Home (2020-2024)","Natural Resources, Construction, and Maintenance Occupations Work From Home (2020-2024)","Production, Transportation, and Material Moving Occupations Work From Home (2020-2024)","Military Occupations Work From Home (2020-2024)","Management, Business, Science, and Arts Occupations Commute to Work (2020-2024)","Service Occupations Commute to Work (2020-2024)","Sales and Office Occupations Commute to Work (2020-2024)","Natural Resources, Construction, and Maintenance Occupations Commute to Work (2020-2024)","Production, Transportation, and Material Moving Occupations Commute to Work (2020-2024)","Military Occupations Commute to Work (2020-2024)"
"publicpolygonfeature:5:44954","ZIP Code 43766","country:us/state:oh/zip:43766","43766","0","0","0","0","0","0","0","0","3","7","5","0","0","0","2","113","132","0","35","16","25","2","43","95","27","60","41","0","7","5","3","0","0","0","145","144","71","111","120","0"
"publicpolygonfeature:5:45247","ZIP Code 43003","country:us/state:oh/zip:43003","43003","0","10","9","3","7","0","13","0","20","7","0","0","0","0","68","191","376","19","184","91","63","4","146","518","140","81","76","0","14","0","29","10","16","0","535","302","376","253","491","0"
"publicpolygonfeature:5:45253","ZIP Code 43004","country:us/state:oh/zip:43004","43004","0","161","99","16","158","280","1058","93","713","420","11","299","20","23","19","300","1130","250","1752","1553","1004","167","1850","3670","820","591","312","0","2370","178","729","0","51","23","5830","1831","2798","311","2648","0"
"publicpolygonfeature:5:45301","ZIP Code 43207","country:us/state:oh/zip:43207","43207","20","52","176","70","211","136","340","74","472","375","142","295","103","0","90","1261","2260","472","2500","2146","966","422","2106","4037","1734","996","828","9","1145","332","743","52","194","0","5271","3960","4739","1873","3984","0"
"publicpolygonfeature:5:45308","ZIP Code 43209","country:us/state:oh/zip:43209","43209","0","53","102","64","296","89","686","85","752","749","67","210","126","7","28","542","729","129","942","1007","939","196","944","3528","870","635","494","35","2381","76","597","41","184","7","6023","1357","1776","527","1321","14"
"publicpolygonfeature:5:45314","ZIP Code 43210","country:us/state:oh/zip:43210","43210","0","0","21","7","60","26","0","5","59","461","216","10","15","0","0","37","40","30","285","18","51","16","90","1306","655","67","33","6","186","441","218","7","28","0","862","876","735","34","127","0"
"publicpolygonfeature:5:45328","ZIP Code 43211","country:us/state:oh/zip:43211","43211","0","121","42","0","24","87","156","47","235","177","0","23","7","0","0","660","755","251","1183","657","125","87","582","1649","1072","125","266","0","320","83","342","132","42","0","1453","2031","1496","729","1703","0"
"publicpolygonfeature:5:45336","ZIP Code 43212","country:us/state:oh/zip:43212","43212","61","0","195","141","161","226","672","139","818","521","151","106","112","0","48","225","550","316","1167","356","1192","151","1545","4727","1486","297","398","24","2576","54","642","12","19","0","8558","1284","1870","106","659","5"
"publicpolygonfeature:5:45340","ZIP Code 43213","country:us/state:oh/zip:43213","43213","0","32","33","5","393","118","437","62","360","516","77","182","78","0","36","899","1447","319","1658","2236","715","209","1318","2759","1384","596","464","48","1221","334","590","39","109","0","4109","2418","2839","1087","3635","0"
"publicpolygonfeature:5:45395","ZIP Code 43214","country:us/state:oh/zip:43214","43214","35","116","213","61","253","112","544","267","1031","895","224","270","216","0","28","506","550","308","1047","434","924","187","1571","3750","951","453","656","7","3117","278","741","7","94","0","7079","1033","1693","574","986","7"
"publicpolygonfeature:5:46144","ZIP Code 43215","country:us/state:oh/zip:43215","43215","13","37","146","86","318","63","545","256","1467","506","55","103","56","0","0","268","438","229","886","224","1399","351","1195","2748","1252","448","441","0","2656","173","737","13","72","0","6236","1372","1484","212","575","0"
"publicpolygonfeature:5:46148","ZIP Code 43217","country:us/state:oh/zip:43217","43217","0","0","0","0","12","0","6","26","5","12","0","4","0","0","8","71","27","136","134","123","72","0","58","122","66","39","15","6","35","0","30","0","0","0","142","204","184","41","300","6"
"publicpolygonfeature:5:46151","ZIP Code 43219","country:us/state:oh/zip:43219","43219","0","102","169","0","186","380","628","70","345","743","47","217","190","0","0","378","723","307","1151","1667","818","69","1139","2833","928","143","349","0","1525","341","653","94","464","0","3156","2394","2158","504","2293","0"
"publicpolygonfeature:5:46155","ZIP Code 43220","country:us/state:oh/zip:43220","43220","0","22","117","128","281","49","655","183","930","619","142","132","62","0","0","634","664","214","1478","536","1139","165","1439","4104","1345","643","403","0","2465","69","756","7","23","0","7036","1464","2462","547","1255","0"
