"feature id","feature label","shid","geoid","Workers in Agriculture, Fishing, and Mining who Work From Home (2020-2024)","Workers in Construction who Work From Home (2020-2024)","Workers in Manufacturing who Work From Home (2020-2024)","Workers in Wholesale Trade who Work From Home (2020-2024)","Workers in Retail Trade who Work From Home (2020-2024)","Workers in Transportation who Work From Home (2020-2024)","Workers in Finance and Insurance who Work From Home (2020-2024)","Workers in Information who Work From Home (2020-2024)","Workers in Scientific and Professional who Work From Home (2020-2024)","Workers in Education and Health Care who Work From Home (2020-2024)","Workers in Arts, Food, and Entertainment who Work From Home (2020-2024)","Workers in Public Administration who Work From Home (2020-2024)","Workers in Other Services who Work From Home (2020-2024)","Workers in Armed Forces who Work From Home (2020-2024)","Workers in Agriculture, Fishing, and Mining who Commute to Work (2020-2024)","Workers in Construction who Commute to Work (2020-2024)","Workers in Manufacturing who Commute to Work (2020-2024)","Workers in Wholesale Trade who Commute to Work (2020-2024)","Workers in Retail Trade who Commute to Work (2020-2024)","Workers in Transportation who Commute to Work (2020-2024)","Workers in Finance and Insurance who Commute to Work (2020-2024)","Workers in Information who Commute to Work (2020-2024)","Workers in Scientific and Professional who Commute to Work (2020-2024)","Workers in Education and Health Care who Commute to Work (2020-2024)","Workers in Arts, Food, and Entertainment who Commute to Work (2020-2024)","Workers in Public Administration who Commute to Work (2020-2024)","Workers in Other Services who Commute to Work (2020-2024)","Workers in Armed Forces who Commute to Work (2020-2024)","Management, Business, Science, and Arts Occupations Work From Home (2020-2024)","Service Occupations Work From Home (2020-2024)","Sales and Office Occupations Work From Home (2020-2024)","Natural Resources, Construction, and Maintenance Occupations Work From Home (2020-2024)","Production, Transportation, and Material Moving Occupations Work From Home (2020-2024)","Military Occupations Work From Home (2020-2024)","Management, Business, Science, and Arts Occupations Commute to Work (2020-2024)","Service Occupations Commute to Work (2020-2024)","Sales and Office Occupations Commute to Work (2020-2024)","Natural Resources, Construction, and Maintenance Occupations Commute to Work (2020-2024)","Production, Transportation, and Material Moving Occupations Commute to Work (2020-2024)","Military Occupations Commute to Work (2020-2024)"
"publicpolygonfeature:5:49363","ZIP Code 80206","country:us/state:co/zip:80206","80206","27","176","366","138","346","109","676","271","1673","761","176","172","132","21","110","403","491","92","882","340","1030","272","2158","3258","931","353","439","0","4038","82","716","73","114","21","7418","1204","1498","272","367","0"
"publicpolygonfeature:5:49399","ZIP Code 80207","country:us/state:co/zip:80207","80207","35","45","119","53","114","40","678","104","700","708","107","79","253","11","88","603","500","170","565","639","370","261","1022","2192","854","468","358","15","2187","238","535","21","54","11","4651","1030","1153","575","681","15"
"publicpolygonfeature:5:54224","ZIP Code 80123","country:us/state:co/zip:80123","80123","25","134","298","80","196","104","1119","243","1769","661","202","465","134","0","146","1524","1309","306","2092","829","1307","506","2435","3923","1421","857","874","45","3875","280","1135","111","29","0","8432","2642","3583","1371","1501","45"
"publicpolygonfeature:5:54261","ZIP Code 80124","country:us/state:co/zip:80124","80124","32","268","385","30","175","30","568","348","1878","505","101","54","33","0","102","542","609","493","732","267","1096","416","1069","1982","436","201","417","44","3449","188","629","66","75","0","5234","662","1639","412","431","28"
"publicpolygonfeature:5:55559","ZIP Code 80209","country:us/state:co/zip:80209","80209","0","124","213","228","304","224","836","481","2651","777","437","173","190","84","205","525","636","205","553","177","1544","449","1749","2494","1139","201","348","60","5154","243","1130","13","98","84","6897","1107","1497","393","388","3"
"publicpolygonfeature:5:55648","ZIP Code 80210","country:us/state:co/zip:80210","80210","96","128","372","128","459","71","1146","780","2596","1513","287","162","305","16","179","571","713","343","963","432","1429","326","2455","5003","1491","534","669","53","5916","244","1642","65","176","16","9658","2058","2225","244","938","38"
"publicpolygonfeature:5:55661","ZIP Code 80211","country:us/state:co/zip:80211","80211","46","94","667","216","459","302","1116","561","4655","1080","419","290","395","17","186","965","1193","407","1288","436","1451","340","3422","4329","1412","411","773","14","7951","316","1844","25","164","17","10811","1566","2674","738","824","14"
"publicpolygonfeature:5:57224","ZIP Code 80219","country:us/state:co/zip:80219","80219","41","177","210","22","196","36","452","198","860","621","124","78","276","0","116","4671","1974","252","2774","1054","1512","415","2759","4635","2642","549","1484","27","1794","232","772","286","207","0","6362","5546","4525","5503","2910","18"
"publicpolygonfeature:5:57244","ZIP Code 80220","country:us/state:co/zip:80220","80220","57","73","270","129","324","34","483","426","2290","1202","303","220","272","0","135","964","885","178","1099","615","836","427","2858","4408","1437","440","832","16","4823","221","881","63","95","0","8991","2505","1876","727","1031","0"
"publicpolygonfeature:5:57249","ZIP Code 80221","country:us/state:co/zip:80221","80221","0","245","275","253","104","140","314","182","1002","682","203","183","166","10","247","2137","1221","543","2383","1442","542","266","1901","3171","1803","590","989","8","2564","173","753","33","226","10","5003","3123","3406","2640","3071","0"
