"feature id","feature label","shid","geoid","Workers in Agriculture, Fishing, and Mining who Work From Home (2020-2024)","Workers in Construction who Work From Home (2020-2024)","Workers in Manufacturing who Work From Home (2020-2024)","Workers in Wholesale Trade who Work From Home (2020-2024)","Workers in Retail Trade who Work From Home (2020-2024)","Workers in Transportation who Work From Home (2020-2024)","Workers in Finance and Insurance who Work From Home (2020-2024)","Workers in Information who Work From Home (2020-2024)","Workers in Scientific and Professional who Work From Home (2020-2024)","Workers in Education and Health Care who Work From Home (2020-2024)","Workers in Arts, Food, and Entertainment who Work From Home (2020-2024)","Workers in Public Administration who Work From Home (2020-2024)","Workers in Other Services who Work From Home (2020-2024)","Workers in Armed Forces who Work From Home (2020-2024)","Workers in Agriculture, Fishing, and Mining who Commute to Work (2020-2024)","Workers in Construction who Commute to Work (2020-2024)","Workers in Manufacturing who Commute to Work (2020-2024)","Workers in Wholesale Trade who Commute to Work (2020-2024)","Workers in Retail Trade who Commute to Work (2020-2024)","Workers in Transportation who Commute to Work (2020-2024)","Workers in Finance and Insurance who Commute to Work (2020-2024)","Workers in Information who Commute to Work (2020-2024)","Workers in Scientific and Professional who Commute to Work (2020-2024)","Workers in Education and Health Care who Commute to Work (2020-2024)","Workers in Arts, Food, and Entertainment who Commute to Work (2020-2024)","Workers in Public Administration who Commute to Work (2020-2024)","Workers in Other Services who Commute to Work (2020-2024)","Workers in Armed Forces who Commute to Work (2020-2024)","Management, Business, Science, and Arts Occupations Work From Home (2020-2024)","Service Occupations Work From Home (2020-2024)","Sales and Office Occupations Work From Home (2020-2024)","Natural Resources, Construction, and Maintenance Occupations Work From Home (2020-2024)","Production, Transportation, and Material Moving Occupations Work From Home (2020-2024)","Military Occupations Work From Home (2020-2024)","Management, Business, Science, and Arts Occupations Commute to Work (2020-2024)","Service Occupations Commute to Work (2020-2024)","Sales and Office Occupations Commute to Work (2020-2024)","Natural Resources, Construction, and Maintenance Occupations Commute to Work (2020-2024)","Production, Transportation, and Material Moving Occupations Commute to Work (2020-2024)","Military Occupations Commute to Work (2020-2024)"
"publicpolygonfeature:5:47377","ZIP Code 46151","country:us/state:in/zip:46151","46151","8","176","226","9","104","67","212","38","360","329","53","233","100","0","163","1377","2203","184","1213","1478","472","144","1443","2533","1014","1012","696","41","855","162","637","157","104","0","4637","2267","2492","1784","2793","0"
"publicpolygonfeature:5:47551","ZIP Code 46001","country:us/state:in/zip:46001","46001","7","0","21","16","53","0","10","15","26","15","0","0","2","0","32","173","1001","82","612","237","205","28","489","1442","331","265","201","0","105","2","58","0","0","0","1902","885","852","493","966","0"
"publicpolygonfeature:5:47552","ZIP Code 46011","country:us/state:in/zip:46011","46011","12","23","77","25","115","51","159","0","256","92","23","31","68","0","83","560","815","185","642","480","479","44","416","1639","470","233","311","10","488","106","174","38","126","0","2263","997","1315","780","1012","0"
"publicpolygonfeature:5:47553","ZIP Code 46240","country:us/state:in/zip:46240","46240","0","39","71","21","165","49","359","118","647","360","64","106","128","0","6","389","934","324","873","357","907","164","1310","2082","942","291","331","0","1363","143","579","6","36","0","5093","994","1667","510","646","0"
"publicpolygonfeature:5:47559","ZIP Code 46012","country:us/state:in/zip:46012","46012","0","28","27","12","72","88","233","10","240","135","4","9","0","0","41","606","1268","76","1028","395","243","74","627","2656","855","290","719","6","342","86","317","62","51","0","2836","2083","1622","812","1531","0"
"publicpolygonfeature:5:47560","ZIP Code 46013","country:us/state:in/zip:46013","46013","0","43","37","43","34","69","57","76","129","81","0","63","57","0","0","663","958","103","1098","495","427","40","491","1766","1024","354","364","0","246","37","299","40","67","0","2549","1538","1490","782","1424","0"
"publicpolygonfeature:5:47561","ZIP Code 46016","country:us/state:in/zip:46016","46016","0","138","27","0","24","96","17","17","148","165","17","26","5","0","8","470","1103","223","824","443","144","123","520","1196","960","139","296","0","255","137","147","7","134","0","981","1711","1099","625","2033","0"
"publicpolygonfeature:5:47562","ZIP Code 46017","country:us/state:in/zip:46017","46017","0","5","40","6","22","0","43","0","32","58","22","6","14","0","0","230","383","34","398","63","74","14","192","515","105","75","114","0","72","32","138","0","6","0","638","451","429","272","407","0"
"publicpolygonfeature:5:47563","ZIP Code 46030","country:us/state:in/zip:46030","46030","19","3","47","0","3","35","132","15","26","38","0","0","0","0","12","119","91","21","259","30","71","18","95","288","87","34","50","0","252","3","48","11","4","0","540","187","224","108","116","0"
"publicpolygonfeature:5:47564","ZIP Code 46268","country:us/state:in/zip:46268","46268","0","33","216","10","21","86","288","30","389","384","49","143","100","0","282","411","1900","206","1501","924","613","106","1409","2890","1160","654","326","0","1066","78","493","0","112","0","4559","2125","2467","744","2487","0"
"publicpolygonfeature:5:47565","ZIP Code 46031","country:us/state:in/zip:46031","46031","0","2","2","13","0","20","39","0","28","3","26","0","2","0","47","114","127","52","175","6","51","0","84","225","71","67","86","0","66","0","69","0","0","0","406","156","179","188","176","0"
"publicpolygonfeature:5:47566","ZIP Code 46032","country:us/state:in/zip:46032","46032","28","105","808","350","538","282","1054","245","2570","1045","105","202","90","0","59","679","2083","668","1774","817","2315","320","2662","5549","1524","531","684","14","5227","192","1746","43","214","0","12577","1950","3586","468","1098","0"
"publicpolygonfeature:5:47567","ZIP Code 46033","country:us/state:in/zip:46033","46033","8","152","665","244","182","101","600","133","1750","680","227","231","180","0","35","733","1862","590","1459","523","1388","224","2077","4410","1428","257","576","84","3699","286","1031","18","119","0","9441","1708","2847","712","900","38"
"publicpolygonfeature:5:47568","ZIP Code 46034","country:us/state:in/zip:46034","46034","0","0","0","31","11","0","275","0","287","12","0","19","16","0","52","321","301","29","257","52","191","0","404","870","215","250","358","0","193","63","395","0","0","0","1731","560","520","252","237","0"
"publicpolygonfeature:5:47569","ZIP Code 46035","country:us/state:in/zip:46035","46035","0","3","2","0","0","0","15","0","12","0","18","0","0","0","0","28","284","17","46","21","0","1","23","72","54","18","26","0","19","18","13","0","0","0","94","82","46","86","282","0"
"publicpolygonfeature:5:47571","ZIP Code 46036","country:us/state:in/zip:46036","46036","8","27","23","0","44","64","43","0","31","43","17","29","54","0","124","351","1513","23","584","237","132","53","192","1187","274","226","124","25","132","36","54","46","115","0","1108","942","883","614","1473","25"
"publicpolygonfeature:5:47572","ZIP Code 46037","country:us/state:in/zip:46037","46037","7","103","808","431","433","154","971","190","1927","893","347","166","138","0","59","885","1605","680","1992","915","2131","292","1829","4863","852","544","753","248","4643","212","1533","0","180","0","9998","1384","4183","571","1386","126"
"publicpolygonfeature:5:47573","ZIP Code 46038","country:us/state:in/zip:46038","46038","54","125","548","97","283","160","948","111","2016","1136","113","173","178","0","62","765","1592","378","2239","673","1823","150","2365","5093","2163","675","528","103","4540","60","1211","10","121","0","10407","2459","3226","708","1750","59"
"publicpolygonfeature:5:47575","ZIP Code 46040","country:us/state:in/zip:46040","46040","31","160","325","44","100","86","387","66","544","321","43","68","19","0","9","718","970","272","613","224","451","68","556","1654","676","126","411","90","1532","89","468","0","105","0","2978","912","1449","492","917","90"
"publicpolygonfeature:5:47577","ZIP Code 46044","country:us/state:in/zip:46044","46044","0","4","0","25","0","0","0","14","7","7","0","26","3","0","45","134","258","15","154","76","86","11","17","249","60","42","50","0","37","10","35","4","0","0","361","161","259","171","245","0"
"publicpolygonfeature:5:47578","ZIP Code 46045","country:us/state:in/zip:46045","46045","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","43","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","3","0","5","0","43","0"
"publicpolygonfeature:5:47579","ZIP Code 46047","country:us/state:in/zip:46047","46047","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:47580","ZIP Code 46048","country:us/state:in/zip:46048","46048","0","0","0","0","0","0","6","3","20","15","0","6","3","0","4","77","79","15","91","39","48","6","23","173","120","43","23","0","25","0","16","0","12","0","257","167","57","50","210","0"
"publicpolygonfeature:5:47581","ZIP Code 46049","country:us/state:in/zip:46049","46049","8","0","5","0","0","0","2","0","2","8","0","0","0","0","16","17","66","12","27","9","27","10","28","55","1","28","0","0","6","0","19","0","0","0","76","54","28","49","89","0"
"publicpolygonfeature:5:47582","ZIP Code 46278","country:us/state:in/zip:46278","46278","0","0","79","9","32","0","129","22","343","77","25","5","155","0","5","78","758","3","272","167","302","0","422","958","284","153","144","0","547","168","161","0","0","0","2185","612","413","101","235","0"
