"feature id","feature label","shid","geoid","Workers in Agriculture, Fishing, and Mining who Work From Home (2020-2024)","Workers in Construction who Work From Home (2020-2024)","Workers in Manufacturing who Work From Home (2020-2024)","Workers in Wholesale Trade who Work From Home (2020-2024)","Workers in Retail Trade who Work From Home (2020-2024)","Workers in Transportation who Work From Home (2020-2024)","Workers in Finance and Insurance who Work From Home (2020-2024)","Workers in Information who Work From Home (2020-2024)","Workers in Scientific and Professional who Work From Home (2020-2024)","Workers in Education and Health Care who Work From Home (2020-2024)","Workers in Arts, Food, and Entertainment who Work From Home (2020-2024)","Workers in Public Administration who Work From Home (2020-2024)","Workers in Other Services who Work From Home (2020-2024)","Workers in Armed Forces who Work From Home (2020-2024)","Workers in Agriculture, Fishing, and Mining who Commute to Work (2020-2024)","Workers in Construction who Commute to Work (2020-2024)","Workers in Manufacturing who Commute to Work (2020-2024)","Workers in Wholesale Trade who Commute to Work (2020-2024)","Workers in Retail Trade who Commute to Work (2020-2024)","Workers in Transportation who Commute to Work (2020-2024)","Workers in Finance and Insurance who Commute to Work (2020-2024)","Workers in Information who Commute to Work (2020-2024)","Workers in Scientific and Professional who Commute to Work (2020-2024)","Workers in Education and Health Care who Commute to Work (2020-2024)","Workers in Arts, Food, and Entertainment who Commute to Work (2020-2024)","Workers in Public Administration who Commute to Work (2020-2024)","Workers in Other Services who Commute to Work (2020-2024)","Workers in Armed Forces who Commute to Work (2020-2024)","Management, Business, Science, and Arts Occupations Work From Home (2020-2024)","Service Occupations Work From Home (2020-2024)","Sales and Office Occupations Work From Home (2020-2024)","Natural Resources, Construction, and Maintenance Occupations Work From Home (2020-2024)","Production, Transportation, and Material Moving Occupations Work From Home (2020-2024)","Military Occupations Work From Home (2020-2024)","Management, Business, Science, and Arts Occupations Commute to Work (2020-2024)","Service Occupations Commute to Work (2020-2024)","Sales and Office Occupations Commute to Work (2020-2024)","Natural Resources, Construction, and Maintenance Occupations Commute to Work (2020-2024)","Production, Transportation, and Material Moving Occupations Commute to Work (2020-2024)","Military Occupations Commute to Work (2020-2024)"
"publicpolygonfeature:5:41095","ZIP Code 32202","country:us/state:fl/zip:32202","32202","0","0","15","26","62","23","134","0","0","0","0","0","3","0","0","53","21","0","156","58","195","30","120","344","330","36","22","13","102","0","99","0","62","0","523","433","265","53","91","13"
"publicpolygonfeature:5:41100","ZIP Code 32204","country:us/state:fl/zip:32204","32204","0","12","12","0","21","0","82","0","197","314","8","20","27","0","0","207","288","88","446","119","474","96","416","1063","352","187","210","201","556","20","96","0","21","0","1955","620","815","282","371","104"
"publicpolygonfeature:5:41113","ZIP Code 32205","country:us/state:fl/zip:32205","32205","0","62","112","54","137","238","660","84","1117","254","270","41","103","0","13","985","733","147","2200","1073","734","133","1601","2754","1348","404","829","211","1898","112","767","35","320","0","5774","1771","2558","1088","1867","107"
"publicpolygonfeature:5:41181","ZIP Code 32206","country:us/state:fl/zip:32206","32206","0","14","15","111","132","39","252","97","180","185","108","0","15","0","24","586","347","63","901","741","418","18","864","1161","568","142","193","34","631","115","345","7","50","0","1638","1140","1397","609","1264","12"
"publicpolygonfeature:5:41191","ZIP Code 32207","country:us/state:fl/zip:32207","32207","0","168","114","112","267","89","752","126","1146","354","161","11","105","0","7","982","962","449","2112","1083","1207","55","2145","3444","1345","1065","721","40","1890","277","1002","161","75","0","6683","2668","2836","1227","2194","9"
"publicpolygonfeature:5:41305","ZIP Code 32208","country:us/state:fl/zip:32208","32208","0","46","105","84","141","54","307","0","101","378","87","62","54","0","19","550","715","380","1400","1251","732","136","1643","2326","1304","481","613","44","508","277","454","12","168","0","3180","2491","2756","946","2205","16"
"publicpolygonfeature:5:41320","ZIP Code 32209","country:us/state:fl/zip:32209","32209","16","25","13","16","123","79","116","30","84","111","64","75","17","0","146","481","498","229","1586","1299","701","80","1132","2253","1295","415","463","33","149","114","309","52","145","0","1933","2648","2800","771","2453","6"
"publicpolygonfeature:5:42938","ZIP Code 32065","country:us/state:fl/zip:32065","32065","16","147","161","30","190","96","999","198","626","478","278","294","144","0","0","886","536","394","2529","1840","1118","404","1402","3282","1525","757","1161","515","2157","303","937","159","101","0","5721","2446","4257","1323","2477","125"
"publicpolygonfeature:5:42941","ZIP Code 32072","country:us/state:fl/zip:32072","32072","0","0","0","0","0","0","0","0","17","0","0","0","0","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","17","0","0","0","0","0","0","0","8","0"
"publicpolygonfeature:5:42945","ZIP Code 32073","country:us/state:fl/zip:32073","32073","1","160","55","18","114","171","779","99","795","423","115","173","65","7","3","1337","827","354","3275","1447","690","16","1451","4880","2473","727","765","310","1682","340","603","37","306","7","6918","3589","3776","1426","2715","131"
"publicpolygonfeature:5:42946","ZIP Code 32079","country:us/state:fl/zip:32079","32079","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","7","7","0","0","0","0","0","0","0","0","0","0","7","13","0","0","0"
"publicpolygonfeature:5:42950","ZIP Code 32080","country:us/state:fl/zip:32080","32080","0","93","227","54","108","41","296","41","627","392","65","62","34","10","121","509","306","30","632","296","697","7","845","1543","1046","176","482","49","1456","78","414","56","36","10","3729","1089","1035","428","458","0"
"publicpolygonfeature:5:42951","ZIP Code 32081","country:us/state:fl/zip:32081","32081","0","136","255","133","310","45","1163","208","2042","184","36","129","124","0","0","556","338","231","546","356","412","115","493","1813","647","209","937","14","3723","124","918","0","0","0","3945","603","1322","363","434","0"
"publicpolygonfeature:5:42953","ZIP Code 32082","country:us/state:fl/zip:32082","32082","0","174","327","57","183","85","936","75","1185","389","35","80","4","0","21","590","407","205","1056","145","1352","219","1288","2205","1274","210","468","9","2585","97","675","126","47","0","5330","1291","2214","254","357","3"
"publicpolygonfeature:5:42967","ZIP Code 32084","country:us/state:fl/zip:32084","32084","0","73","426","78","273","85","516","37","780","389","138","47","30","0","22","1008","536","296","2322","898","683","321","1280","2654","2582","884","980","39","1851","128","711","68","114","0","4786","3547","3226","1505","1426","15"
"publicpolygonfeature:5:42981","ZIP Code 32086","country:us/state:fl/zip:32086","32086","0","151","147","103","243","49","632","74","742","635","192","159","100","0","25","843","559","206","2253","445","853","114","1613","3052","1968","697","784","14","1611","243","1109","182","82","0","4531","3120","2961","1096","1704","14"
"publicpolygonfeature:5:42990","ZIP Code 32210","country:us/state:fl/zip:32210","32210","0","170","41","144","212","207","1319","58","692","574","156","146","70","13","105","2406","2109","712","3415","3618","1921","178","2948","5524","2860","902","1186","353","1801","434","1252","180","122","13","8117","5918","5869","2995","5233","105"
"publicpolygonfeature:5:42992","ZIP Code 32211","country:us/state:fl/zip:32211","32211","8","131","77","15","152","106","744","34","471","190","55","80","65","0","3","1351","689","198","2017","967","874","216","1832","2955","1429","664","758","481","957","63","720","221","167","0","4091","3474","3107","1602","1955","205"
"publicpolygonfeature:5:42993","ZIP Code 32212","country:us/state:fl/zip:32212","32212","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","44","0","18","0","1460","0","0","0","0","0","0","157","141","8","361","202","653"
"publicpolygonfeature:5:42997","ZIP Code 32216","country:us/state:fl/zip:32216","32216","37","299","100","23","82","199","1093","123","958","634","117","119","69","0","11","1414","1002","471","2527","1162","1531","151","1519","3452","1460","739","1240","276","2320","215","964","162","192","0","5939","2732","3676","1658","2725","225"
"publicpolygonfeature:5:43001","ZIP Code 32217","country:us/state:fl/zip:32217","32217","0","379","18","26","155","0","450","22","607","228","36","90","39","0","0","775","465","189","1248","502","704","0","726","2063","871","256","379","97","1114","42","821","63","10","0","3179","1193","2201","699","1003","0"
"publicpolygonfeature:5:43007","ZIP Code 32223","country:us/state:fl/zip:32223","32223","0","122","106","66","138","109","831","48","685","274","89","85","142","0","0","789","718","218","1005","389","862","181","1191","2272","780","616","550","111","1753","103","694","70","75","0","4747","1332","2015","874","625","89"
"publicpolygonfeature:5:43011","ZIP Code 32254","country:us/state:fl/zip:32254","32254","0","0","0","18","23","14","59","0","74","53","0","0","0","0","0","389","342","120","732","634","174","49","522","1043","637","133","253","0","23","48","153","0","17","0","1000","1277","1143","453","1155","0"
"publicpolygonfeature:5:43013","ZIP Code 32256","country:us/state:fl/zip:32256","32256","0","91","150","170","267","14","2335","240","1863","723","173","95","151","0","79","1358","905","734","3629","1279","3606","328","2884","6140","3275","1403","1835","413","4516","119","1578","44","15","0","12601","4383","6282","1706","2706","190"
"publicpolygonfeature:5:43015","ZIP Code 32257","country:us/state:fl/zip:32257","32257","0","468","188","48","401","62","1099","58","913","553","114","167","104","0","78","1626","1043","299","2730","900","1506","191","2105","3744","1708","496","1195","382","2297","257","1344","199","78","0","7277","3014","4001","1825","1804","82"
"publicpolygonfeature:5:43016","ZIP Code 32258","country:us/state:fl/zip:32258","32258","27","364","178","67","147","123","805","161","1868","879","123","130","22","0","0","2128","1370","400","1862","1479","1772","409","1367","3127","1242","558","674","483","3152","578","1067","12","85","0","7669","1679","3424","1905","1933","261"
"publicpolygonfeature:5:43018","ZIP Code 32259","country:us/state:fl/zip:32259","32259","46","192","684","390","801","239","2379","334","3635","1544","334","57","491","31","31","1498","1311","724","3380","1386","3470","511","2649","5222","2675","1307","793","445","7210","663","2326","337","590","31","13156","3472","6488","932","1242","112"
"publicpolygonfeature:5:43019","ZIP Code 32266","country:us/state:fl/zip:32266","32266","0","131","181","41","234","37","71","46","263","79","22","0","65","0","0","345","99","66","363","99","421","26","377","689","319","110","264","39","774","0","347","27","22","0","1532","562","758","183","182","0"
"publicpolygonfeature:5:43041","ZIP Code 32277","country:us/state:fl/zip:32277","32277","0","97","68","56","45","100","677","3","609","168","2","279","94","36","14","1307","828","427","2373","1387","820","55","1046","3266","1927","340","233","432","977","199","879","42","101","36","4633","2111","3277","1439","2668","327"
"publicpolygonfeature:5:43047","ZIP Code 32145","country:us/state:fl/zip:32145","32145","0","34","21","0","0","0","0","0","27","0","1","0","116","0","165","466","107","0","159","46","27","95","294","440","353","14","166","0","144","0","21","0","34","0","589","334","460","814","135","0"
"publicpolygonfeature:5:43189","ZIP Code 32003","country:us/state:fl/zip:32003","32003","17","108","145","41","344","86","697","87","769","506","86","144","95","0","18","992","496","136","1006","496","767","111","1808","2726","1057","395","387","584","2165","220","693","0","47","0","5821","1649","1920","655","624","310"
"publicpolygonfeature:5:43196","ZIP Code 32009","country:us/state:fl/zip:32009","32009","0","0","0","0","56","0","39","0","11","30","0","0","0","0","15","367","48","98","215","231","49","27","226","388","74","100","43","0","39","0","97","0","0","0","702","160","381","316","322","0"
"publicpolygonfeature:5:43200","ZIP Code 32011","country:us/state:fl/zip:32011","32011","18","47","14","0","40","63","217","6","99","125","34","31","86","0","43","890","381","143","653","678","342","37","718","1189","568","297","136","41","345","51","288","12","84","0","2057","966","1177","953","942","21"
"publicpolygonfeature:5:43201","ZIP Code 32033","country:us/state:fl/zip:32033","32033","28","0","0","0","9","0","370","0","25","44","0","0","0","0","0","61","48","0","395","174","259","0","88","159","95","208","72","0","339","0","119","18","0","0","458","290","530","120","161","0"
"publicpolygonfeature:5:43202","ZIP Code 32034","country:us/state:fl/zip:32034","32034","13","10","454","142","103","162","413","146","1042","524","101","76","171","0","150","947","915","189","1400","1060","741","63","1609","3133","1697","1316","397","132","2295","98","860","61","43","0","5713","2251","2895","1214","1589","87"
"publicpolygonfeature:5:43206","ZIP Code 32040","country:us/state:fl/zip:32040","32040","0","0","0","0","0","0","14","0","40","104","14","0","0","0","17","459","264","49","391","327","159","0","366","858","321","579","320","1","128","44","0","0","0","0","1241","1153","448","601","668","0"
"publicpolygonfeature:5:43208","ZIP Code 32043","country:us/state:fl/zip:32043","32043","0","134","45","111","257","30","574","66","495","219","63","31","517","61","55","1800","960","197","1481","837","725","212","1735","2939","1087","635","728","354","1705","106","633","114","45","0","4555","2573","3176","1781","1394","266"
"publicpolygonfeature:5:43210","ZIP Code 32046","country:us/state:fl/zip:32046","32046","0","38","0","0","55","0","67","0","177","118","8","0","28","0","47","690","364","95","308","385","156","26","476","664","384","164","320","0","238","46","177","12","18","0","1145","563","1059","617","695","0"
"publicpolygonfeature:5:43218","ZIP Code 32063","country:us/state:fl/zip:32063","32063","0","0","0","11","37","7","432","0","23","206","11","64","0","0","0","802","425","156","426","535","397","0","261","1026","580","569","406","112","513","67","139","35","37","0","1998","997","1057","467","1176","0"
"publicpolygonfeature:5:43222","ZIP Code 32095","country:us/state:fl/zip:32095","32095","0","197","417","23","136","47","557","37","1142","790","167","75","39","0","132","493","431","189","590","363","761","36","813","1426","826","221","759","15","2828","0","584","114","101","0","3445","1442","1537","352","279","0"
"publicpolygonfeature:5:43223","ZIP Code 32068","country:us/state:fl/zip:32068","32068","10","189","169","38","226","159","716","87","729","554","316","486","121","0","370","2498","1099","778","3902","1756","1386","232","2655","5173","2102","1367","1428","514","2280","532","759","133","96","0","7513","4226","5717","3755","3792","257"
"publicpolygonfeature:5:43225","ZIP Code 32087","country:us/state:fl/zip:32087","32087","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","117","105","0","57","29","64","0","0","312","83","226","27","0","0","0","0","0","0","0","308","239","140","150","183","0"
"publicpolygonfeature:5:43227","ZIP Code 32091","country:us/state:fl/zip:32091","32091","16","81","36","40","17","0","69","52","19","279","47","0","0","0","29","494","383","77","817","339","204","64","855","1239","333","776","186","38","299","187","154","16","0","0","1404","1172","1713","612","898","35"
"publicpolygonfeature:5:43228","ZIP Code 32092","country:us/state:fl/zip:32092","32092","0","185","269","245","344","421","1685","292","1595","1103","270","130","221","0","89","1304","1088","656","2141","1027","1522","450","2903","5375","1405","748","1153","103","4839","316","1388","0","217","0","10327","2760","4263","1192","1376","46"
"publicpolygonfeature:5:43232","ZIP Code 32097","country:us/state:fl/zip:32097","32097","10","68","72","0","111","31","266","24","307","235","15","50","78","0","24","756","958","322","1640","933","640","425","1324","1554","1648","934","681","427","830","31","326","41","39","0","3694","2366","3078","1501","1412","215"
"publicpolygonfeature:5:43262","ZIP Code 32218","country:us/state:fl/zip:32218","32218","12","30","343","25","388","226","1120","133","884","887","244","178","227","39","25","1884","1815","448","3118","3927","2047","259","2524","6415","2187","1459","2031","986","2364","466","1578","122","167","39","9169","5098","6511","2315","5640","392"
"publicpolygonfeature:5:43263","ZIP Code 32219","country:us/state:fl/zip:32219","32219","21","0","74","13","45","73","272","0","109","162","0","0","11","0","16","514","150","40","597","653","413","93","591","1356","403","189","240","281","493","68","198","21","0","0","1280","978","1706","643","679","250"
"publicpolygonfeature:5:43264","ZIP Code 32220","country:us/state:fl/zip:32220","32220","0","32","22","0","106","20","264","92","114","50","49","19","0","0","0","654","291","128","841","926","137","28","374","1251","153","150","441","129","453","49","266","0","0","0","1473","908","877","854","1278","113"
"publicpolygonfeature:5:43265","ZIP Code 32221","country:us/state:fl/zip:32221","32221","24","16","0","52","73","98","1066","44","451","464","133","109","139","0","113","898","661","372","2193","1633","704","102","637","2815","810","786","1169","269","1328","75","1147","17","102","0","4175","2165","2989","1219","2495","119"
"publicpolygonfeature:5:43266","ZIP Code 32222","country:us/state:fl/zip:32222","32222","0","59","66","58","123","166","236","10","132","257","202","13","276","0","8","220","639","238","1048","1164","605","170","725","1291","610","541","470","622","649","241","634","7","67","0","2489","1115","2255","1076","1318","98"
"publicpolygonfeature:5:43267","ZIP Code 32224","country:us/state:fl/zip:32224","32224","24","70","153","195","120","206","1009","102","762","472","208","70","121","0","36","542","635","545","1977","1274","1326","284","2050","4402","2918","335","499","959","2358","232","824","43","55","0","7720","3196","3876","572","1773","645"
"publicpolygonfeature:5:43268","ZIP Code 32225","country:us/state:fl/zip:32225","32225","0","146","253","48","459","163","961","123","1227","695","68","145","118","0","51","1719","1189","480","3476","1297","1707","164","3144","5678","2214","900","1070","878","2895","74","1155","17","265","0","10131","3830","4995","1998","2512","501"
"publicpolygonfeature:5:43269","ZIP Code 32226","country:us/state:fl/zip:32226","32226","2","0","24","102","133","28","349","18","288","147","73","244","24","23","29","817","434","257","1069","697","542","88","569","2107","721","152","520","644","1054","55","191","35","120","0","3619","1054","1843","905","925","300"
"publicpolygonfeature:5:43270","ZIP Code 32227","country:us/state:fl/zip:32227","32227","0","0","0","0","5","0","0","0","0","39","6","0","7","0","0","9","45","5","36","10","5","0","33","128","120","12","14","1434","39","7","6","0","5","0","307","249","55","342","328","570"
"publicpolygonfeature:5:43271","ZIP Code 32228","country:us/state:fl/zip:32228","32228","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","222","0","0","0","0","0","0","13","19","15","88","6","81"
"publicpolygonfeature:5:43272","ZIP Code 32233","country:us/state:fl/zip:32233","32233","29","122","166","10","174","103","498","49","528","195","13","48","41","0","0","656","459","273","1078","413","1009","155","1141","1774","1115","335","252","1148","1167","28","666","58","57","0","3970","1480","2076","931","841","510"
"publicpolygonfeature:5:43273","ZIP Code 32234","country:us/state:fl/zip:32234","32234","0","0","0","0","7","194","169","0","194","49","19","0","0","0","10","370","185","85","635","321","212","24","291","804","330","142","354","123","357","19","156","0","100","0","1009","751","818","567","618","123"
"publicpolygonfeature:5:43274","ZIP Code 32244","country:us/state:fl/zip:32244","32244","0","65","87","71","226","76","1145","28","790","1095","109","208","48","0","83","1973","1591","472","4440","2115","2324","441","2094","5390","3154","1345","1393","1187","2378","192","1181","37","160","0","9188","5660","5718","2549","4415","472"
"publicpolygonfeature:5:43275","ZIP Code 32246","country:us/state:fl/zip:32246","32246","7","885","101","105","468","400","1743","8","1246","667","55","91","121","0","17","1746","1264","392","3732","1319","2951","340","3640","5138","3645","1376","1583","825","4192","275","1091","150","189","0","11001","5439","6131","2535","2436","426"
"publicpolygonfeature:5:43276","ZIP Code 32250","country:us/state:fl/zip:32250","32250","8","256","161","173","178","45","640","78","1442","627","254","111","107","0","0","1527","406","194","1076","627","1516","52","991","2630","2044","528","372","262","2832","185","944","106","13","0","6056","1914","2208","1231","782","34"
"publicpolygonfeature:5:43429","ZIP Code 32656","country:us/state:fl/zip:32656","32656","0","23","8","0","25","0","76","23","150","97","72","0","14","0","84","677","312","123","750","604","321","28","568","1165","496","523","190","112","325","35","115","13","0","0","1763","945","1733","883","567","62"
"publicpolygonfeature:5:6684281","ZIP Code 32214","country:us/state:fl/zip:32214","32214","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:6703033","ZIP Code 32203","country:us/state:fl/zip:32203","32203","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:22:928350","Jacksonville, FL Area","country:us/state:fl/msa:jacksonville","27260","374","6544","6883","3403","9209","5108","35236","3604","37053","20918","5361","4724","4852","220","2309","51731","35683","14636","87521","50676","51674","7970","70153","142099","70537","30505","35607","18866","89288","8450","37010","3543","5062","136","253650","115629","146088","61056","84841","8703"
