"feature id","feature label","shid","geoid","Workers in Agriculture, Fishing, and Mining who Work From Home (2020-2024)","Workers in Construction who Work From Home (2020-2024)","Workers in Manufacturing who Work From Home (2020-2024)","Workers in Wholesale Trade who Work From Home (2020-2024)","Workers in Retail Trade who Work From Home (2020-2024)","Workers in Transportation who Work From Home (2020-2024)","Workers in Finance and Insurance who Work From Home (2020-2024)","Workers in Information who Work From Home (2020-2024)","Workers in Scientific and Professional who Work From Home (2020-2024)","Workers in Education and Health Care who Work From Home (2020-2024)","Workers in Arts, Food, and Entertainment who Work From Home (2020-2024)","Workers in Public Administration who Work From Home (2020-2024)","Workers in Other Services who Work From Home (2020-2024)","Workers in Armed Forces who Work From Home (2020-2024)","Workers in Agriculture, Fishing, and Mining who Commute to Work (2020-2024)","Workers in Construction who Commute to Work (2020-2024)","Workers in Manufacturing who Commute to Work (2020-2024)","Workers in Wholesale Trade who Commute to Work (2020-2024)","Workers in Retail Trade who Commute to Work (2020-2024)","Workers in Transportation who Commute to Work (2020-2024)","Workers in Finance and Insurance who Commute to Work (2020-2024)","Workers in Information who Commute to Work (2020-2024)","Workers in Scientific and Professional who Commute to Work (2020-2024)","Workers in Education and Health Care who Commute to Work (2020-2024)","Workers in Arts, Food, and Entertainment who Commute to Work (2020-2024)","Workers in Public Administration who Commute to Work (2020-2024)","Workers in Other Services who Commute to Work (2020-2024)","Workers in Armed Forces who Commute to Work (2020-2024)","Management, Business, Science, and Arts Occupations Work From Home (2020-2024)","Service Occupations Work From Home (2020-2024)","Sales and Office Occupations Work From Home (2020-2024)","Natural Resources, Construction, and Maintenance Occupations Work From Home (2020-2024)","Production, Transportation, and Material Moving Occupations Work From Home (2020-2024)","Military Occupations Work From Home (2020-2024)","Management, Business, Science, and Arts Occupations Commute to Work (2020-2024)","Service Occupations Commute to Work (2020-2024)","Sales and Office Occupations Commute to Work (2020-2024)","Natural Resources, Construction, and Maintenance Occupations Commute to Work (2020-2024)","Production, Transportation, and Material Moving Occupations Commute to Work (2020-2024)","Military Occupations Commute to Work (2020-2024)"
"publicpolygonfeature:5:44090","ZIP Code 40117","country:us/state:ky/zip:40117","40117","0","23","0","0","0","0","0","0","94","8","0","20","0","0","16","67","41","21","97","67","3","12","150","248","49","0","31","0","86","0","36","23","0","0","377","98","100","162","65","0"
"publicpolygonfeature:5:44105","ZIP Code 40118","country:us/state:ky/zip:40118","40118","0","10","0","34","18","38","14","4","16","69","0","24","43","0","24","603","772","187","602","779","215","7","438","729","226","91","99","24","121","15","61","24","49","0","935","589","1278","801","1169","24"
"publicpolygonfeature:5:44703","ZIP Code 40026","country:us/state:ky/zip:40026","40026","0","7","43","2","32","21","119","0","158","91","16","6","27","3","92","171","220","78","217","240","200","35","187","561","184","15","154","19","425","22","66","0","9","3","1148","277","496","196","256","0"
"publicpolygonfeature:5:45451","ZIP Code 40041","country:us/state:ky/zip:40041","40041","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:45466","ZIP Code 40202","country:us/state:ky/zip:40202","40202","0","24","18","47","0","32","77","87","24","91","37","19","0","0","0","134","297","15","116","17","103","66","535","622","272","111","102","0","296","23","99","24","14","0","1044","523","434","106","283","0"
"publicpolygonfeature:5:45468","ZIP Code 40203","country:us/state:ky/zip:40203","40203","0","49","199","13","36","26","206","7","305","333","23","59","28","0","19","438","436","216","765","300","498","42","611","1441","673","100","212","0","771","25","356","54","78","0","1618","1630","1267","502","734","0"
"publicpolygonfeature:5:45484","ZIP Code 40204","country:us/state:ky/zip:40204","40204","0","41","61","58","53","11","303","111","376","338","223","47","51","0","10","305","720","67","851","203","345","173","759","2201","916","148","358","28","1148","112","350","23","40","0","4231","878","990","291","694","0"
"publicpolygonfeature:5:45487","ZIP Code 40205","country:us/state:ky/zip:40205","40205","32","89","215","48","100","54","460","192","593","483","56","84","92","0","4","457","718","231","716","482","771","179","1201","3324","1148","287","552","10","1654","66","625","97","56","0","6178","1250","1691","261","700","0"
"publicpolygonfeature:5:45495","ZIP Code 40206","country:us/state:ky/zip:40206","40206","0","20","221","37","34","16","395","48","608","238","58","72","94","0","101","337","950","188","1380","565","573","64","1216","2886","1139","387","549","0","1448","53","340","0","0","0","5326","1395","1975","350","1289","0"
"publicpolygonfeature:5:45500","ZIP Code 40207","country:us/state:ky/zip:40207","40207","7","114","208","77","237","233","498","133","1091","589","107","65","165","0","31","500","929","358","1290","662","1189","159","1651","3313","1101","325","485","64","2742","119","630","6","27","0","7523","1067","2160","470","803","34"
"publicpolygonfeature:5:45508","ZIP Code 40208","country:us/state:ky/zip:40208","40208","0","11","59","0","58","8","92","52","233","329","71","101","27","0","29","79","776","155","1281","814","295","85","540","2393","998","141","87","34","485","158","318","13","67","0","2638","1423","1921","181","1531","13"
"publicpolygonfeature:5:45512","ZIP Code 40209","country:us/state:ky/zip:40209","40209","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","133","0","0","0","0","0","0","40","10","0","89","0","0","0","0","0","0","0","48","99","0","4","125","0"
"publicpolygonfeature:5:45514","ZIP Code 40210","country:us/state:ky/zip:40210","40210","0","0","24","41","7","17","225","8","34","35","13","18","40","0","0","155","787","79","511","569","104","10","455","860","640","22","92","66","273","22","83","37","47","0","927","1025","981","208","1143","66"
