"feature id","feature label","shid","geoid","Workers in Agriculture, Fishing, and Mining who Work From Home (2020-2024)","Workers in Construction who Work From Home (2020-2024)","Workers in Manufacturing who Work From Home (2020-2024)","Workers in Wholesale Trade who Work From Home (2020-2024)","Workers in Retail Trade who Work From Home (2020-2024)","Workers in Transportation who Work From Home (2020-2024)","Workers in Finance and Insurance who Work From Home (2020-2024)","Workers in Information who Work From Home (2020-2024)","Workers in Scientific and Professional who Work From Home (2020-2024)","Workers in Education and Health Care who Work From Home (2020-2024)","Workers in Arts, Food, and Entertainment who Work From Home (2020-2024)","Workers in Public Administration who Work From Home (2020-2024)","Workers in Other Services who Work From Home (2020-2024)","Workers in Armed Forces who Work From Home (2020-2024)","Workers in Agriculture, Fishing, and Mining who Commute to Work (2020-2024)","Workers in Construction who Commute to Work (2020-2024)","Workers in Manufacturing who Commute to Work (2020-2024)","Workers in Wholesale Trade who Commute to Work (2020-2024)","Workers in Retail Trade who Commute to Work (2020-2024)","Workers in Transportation who Commute to Work (2020-2024)","Workers in Finance and Insurance who Commute to Work (2020-2024)","Workers in Information who Commute to Work (2020-2024)","Workers in Scientific and Professional who Commute to Work (2020-2024)","Workers in Education and Health Care who Commute to Work (2020-2024)","Workers in Arts, Food, and Entertainment who Commute to Work (2020-2024)","Workers in Public Administration who Commute to Work (2020-2024)","Workers in Other Services who Commute to Work (2020-2024)","Workers in Armed Forces who Commute to Work (2020-2024)","Management, Business, Science, and Arts Occupations Work From Home (2020-2024)","Service Occupations Work From Home (2020-2024)","Sales and Office Occupations Work From Home (2020-2024)","Natural Resources, Construction, and Maintenance Occupations Work From Home (2020-2024)","Production, Transportation, and Material Moving Occupations Work From Home (2020-2024)","Military Occupations Work From Home (2020-2024)","Management, Business, Science, and Arts Occupations Commute to Work (2020-2024)","Service Occupations Commute to Work (2020-2024)","Sales and Office Occupations Commute to Work (2020-2024)","Natural Resources, Construction, and Maintenance Occupations Commute to Work (2020-2024)","Production, Transportation, and Material Moving Occupations Commute to Work (2020-2024)","Military Occupations Commute to Work (2020-2024)"
"publicpolygonfeature:5:35000","ZIP Code 33009","country:us/state:fl/zip:33009","33009","0","175","129","119","197","192","461","194","698","353","218","29","70","0","0","1450","785","498","2038","1400","1718","68","2591","3260","2139","585","1528","0","1395","97","1044","61","238","0","5700","4666","3579","1604","2511","0"
"publicpolygonfeature:5:35288","ZIP Code 33010","country:us/state:fl/zip:33010","33010","6","1196","253","60","176","610","174","0","397","596","79","88","228","0","81","1671","1592","809","1737","1756","572","100","1441","3689","1393","214","1160","0","561","805","363","1195","939","0","3492","3712","3320","2063","3628","0"
"publicpolygonfeature:5:36789","ZIP Code 33012","country:us/state:fl/zip:33012","33012","20","1061","124","81","163","903","274","19","466","797","207","55","436","0","124","3057","2674","1354","3679","2866","1598","307","2898","6925","2224","601","1972","0","848","935","687","1101","1035","0","7347","5302","7671","3678","6281","0"
"publicpolygonfeature:5:36822","ZIP Code 33013","country:us/state:fl/zip:33013","33013","5","610","16","32","126","518","159","72","319","172","121","39","147","0","23","1190","1338","343","1612","1073","441","36","957","2984","1321","268","1082","0","384","359","422","633","538","0","2627","3012","2514","1750","2765","0"
"publicpolygonfeature:5:36951","ZIP Code 33014","country:us/state:fl/zip:33014","33014","2","124","224","33","59","272","439","65","687","233","88","4","79","0","90","2329","1456","801","1973","2135","1081","323","2463","4401","1422","847","1186","103","1122","224","544","104","315","0","6755","3578","4172","2247","3787","71"
"publicpolygonfeature:5:36956","ZIP Code 33015","country:us/state:fl/zip:33015","33015","15","49","88","152","171","229","707","279","1042","617","188","116","117","0","127","2689","2230","1132","3711","3128","2293","479","3802","6860","3037","1398","2658","21","2081","431","914","89","255","0","11972","5468","8692","3095","4327","11"
"publicpolygonfeature:5:36968","ZIP Code 33016","country:us/state:fl/zip:33016","33016","13","298","0","15","130","373","341","21","397","280","11","63","275","0","31","1468","1953","867","2162","2624","757","208","1997","4855","1614","314","935","0","546","433","517","316","405","0","6031","3444","4523","1967","3820","0"
"publicpolygonfeature:5:36976","ZIP Code 33018","country:us/state:fl/zip:33018","33018","2","405","154","42","255","278","560","174","424","763","91","181","227","0","99","2524","2030","1421","2675","3418","1889","405","2905","5447","2321","1088","1345","40","1875","418","848","243","172","0","9607","4515","6534","2996","3955","0"
"publicpolygonfeature:5:39367","ZIP Code 33019","country:us/state:fl/zip:33019","33019","0","48","92","85","161","7","387","16","497","216","176","78","22","13","2","403","131","118","612","416","335","57","644","1097","301","157","333","0","1111","196","419","10","49","13","2217","591","1086","350","362","0"
"publicpolygonfeature:5:39380","ZIP Code 33020","country:us/state:fl/zip:33020","33020","3","166","164","61","181","213","381","29","1328","672","252","84","152","0","37","2150","922","792","3190","1898","1421","296","2952","3283","3070","492","1079","0","2214","325","971","145","31","0","5805","5012","5540","2416","2809","0"
"publicpolygonfeature:5:39385","ZIP Code 33021","country:us/state:fl/zip:33021","33021","13","65","84","61","172","172","453","131","804","830","156","197","89","0","39","1460","1109","542","2496","1833","1357","231","2565","4038","2568","931","1713","13","2128","180","767","113","39","0","8086","4342","4088","1889","2477","13"
"publicpolygonfeature:5:39392","ZIP Code 33023","country:us/state:fl/zip:33023","33023","0","212","53","84","222","204","143","158","720","429","115","62","137","0","152","2958","1449","706","4623","2674","1688","454","2615","7958","3591","1385","2217","12","1172","149","940","141","137","0","8426","7231","8090","3498","5225","12"
