"feature id","feature label","shid","geoid","Workers in Agriculture, Fishing, and Mining who Work From Home (2020-2024)","Workers in Construction who Work From Home (2020-2024)","Workers in Manufacturing who Work From Home (2020-2024)","Workers in Wholesale Trade who Work From Home (2020-2024)","Workers in Retail Trade who Work From Home (2020-2024)","Workers in Transportation who Work From Home (2020-2024)","Workers in Finance and Insurance who Work From Home (2020-2024)","Workers in Information who Work From Home (2020-2024)","Workers in Scientific and Professional who Work From Home (2020-2024)","Workers in Education and Health Care who Work From Home (2020-2024)","Workers in Arts, Food, and Entertainment who Work From Home (2020-2024)","Workers in Public Administration who Work From Home (2020-2024)","Workers in Other Services who Work From Home (2020-2024)","Workers in Armed Forces who Work From Home (2020-2024)","Workers in Agriculture, Fishing, and Mining who Commute to Work (2020-2024)","Workers in Construction who Commute to Work (2020-2024)","Workers in Manufacturing who Commute to Work (2020-2024)","Workers in Wholesale Trade who Commute to Work (2020-2024)","Workers in Retail Trade who Commute to Work (2020-2024)","Workers in Transportation who Commute to Work (2020-2024)","Workers in Finance and Insurance who Commute to Work (2020-2024)","Workers in Information who Commute to Work (2020-2024)","Workers in Scientific and Professional who Commute to Work (2020-2024)","Workers in Education and Health Care who Commute to Work (2020-2024)","Workers in Arts, Food, and Entertainment who Commute to Work (2020-2024)","Workers in Public Administration who Commute to Work (2020-2024)","Workers in Other Services who Commute to Work (2020-2024)","Workers in Armed Forces who Commute to Work (2020-2024)","Management, Business, Science, and Arts Occupations Work From Home (2020-2024)","Service Occupations Work From Home (2020-2024)","Sales and Office Occupations Work From Home (2020-2024)","Natural Resources, Construction, and Maintenance Occupations Work From Home (2020-2024)","Production, Transportation, and Material Moving Occupations Work From Home (2020-2024)","Military Occupations Work From Home (2020-2024)","Management, Business, Science, and Arts Occupations Commute to Work (2020-2024)","Service Occupations Commute to Work (2020-2024)","Sales and Office Occupations Commute to Work (2020-2024)","Natural Resources, Construction, and Maintenance Occupations Commute to Work (2020-2024)","Production, Transportation, and Material Moving Occupations Commute to Work (2020-2024)","Military Occupations Commute to Work (2020-2024)"
"publicpolygonfeature:5:44336","ZIP Code 37207","country:us/state:tn/zip:37207","37207","0","41","197","364","145","102","425","187","811","579","182","55","78","0","0","1064","2028","608","1533","1126","707","331","2736","4226","2057","827","791","31","2034","236","720","22","154","0","6959","3649","2942","1026","3475","14"
"publicpolygonfeature:5:44347","ZIP Code 37208","country:us/state:tn/zip:37208","37208","0","53","164","26","326","13","225","126","483","463","196","107","106","0","0","334","894","109","910","455","604","306","1064","2583","1581","404","450","88","1391","303","532","56","6","0","4976","2155","1467","207","909","68"
"publicpolygonfeature:5:44416","ZIP Code 37086","country:us/state:tn/zip:37086","37086","0","203","164","33","182","141","290","198","488","671","141","81","32","0","27","1631","2651","661","2353","1830","529","104","1425","3179","1602","790","725","0","1636","287","333","265","103","0","4524","2523","3119","2262","5079","0"
"publicpolygonfeature:5:44432","ZIP Code 37135","country:us/state:tn/zip:37135","37135","0","9","277","22","235","161","595","61","996","1208","125","322","36","0","96","609","653","366","1042","233","735","343","846","2388","946","328","411","0","2949","378","664","0","56","0","5535","994","1591","370","506","0"
"publicpolygonfeature:5:44485","ZIP Code 37060","country:us/state:tn/zip:37060","37060","19","59","32","0","39","0","18","25","23","33","0","2","13","0","2","128","135","8","129","185","42","1","107","297","77","97","58","9","142","0","77","22","22","0","393","212","208","164","289","9"
"publicpolygonfeature:5:44489","ZIP Code 37140","country:us/state:tn/zip:37140","37140","0","0","0","0","0","0","0","0","0","27","0","0","0","0","0","21","26","0","0","0","0","0","0","59","0","22","0","0","27","0","0","0","0","0","59","22","26","21","0","0"
"publicpolygonfeature:5:44501","ZIP Code 37141","country:us/state:tn/zip:37141","37141","0","0","2","0","4","0","7","0","2","18","0","11","0","0","3","44","161","7","90","45","29","18","29","78","61","44","31","8","14","2","28","0","0","0","198","124","120","57","149","0"
"publicpolygonfeature:5:44523","ZIP Code 37016","country:us/state:tn/zip:37016","37016","0","0","0","0","0","0","4","0","16","0","0","0","67","0","48","88","58","7","38","13","16","0","5","33","35","0","23","0","86","0","1","0","0","0","156","24","59","57","68","0"
"publicpolygonfeature:5:44527","ZIP Code 37010","country:us/state:tn/zip:37010","37010","63","5","42","0","8","57","19","0","17","73","41","42","0","0","41","135","307","45","317","69","65","0","167","719","81","192","135","104","221","11","86","0","49","0","1119","270","476","211","301","0"
"publicpolygonfeature:5:44528","ZIP Code 37012","country:us/state:tn/zip:37012","37012","0","0","4","0","0","0","0","4","3","7","0","0","0","0","6","50","200","43","83","87","53","4","29","92","51","58","71","0","5","0","13","0","0","0","243","72","167","89","256","0"
