"feature id","feature label","shid","geoid","Workers in Agriculture, Fishing, and Mining who Work From Home (2020-2024)","Workers in Construction who Work From Home (2020-2024)","Workers in Manufacturing who Work From Home (2020-2024)","Workers in Wholesale Trade who Work From Home (2020-2024)","Workers in Retail Trade who Work From Home (2020-2024)","Workers in Transportation who Work From Home (2020-2024)","Workers in Finance and Insurance who Work From Home (2020-2024)","Workers in Information who Work From Home (2020-2024)","Workers in Scientific and Professional who Work From Home (2020-2024)","Workers in Education and Health Care who Work From Home (2020-2024)","Workers in Arts, Food, and Entertainment who Work From Home (2020-2024)","Workers in Public Administration who Work From Home (2020-2024)","Workers in Other Services who Work From Home (2020-2024)","Workers in Armed Forces who Work From Home (2020-2024)","Workers in Agriculture, Fishing, and Mining who Commute to Work (2020-2024)","Workers in Construction who Commute to Work (2020-2024)","Workers in Manufacturing who Commute to Work (2020-2024)","Workers in Wholesale Trade who Commute to Work (2020-2024)","Workers in Retail Trade who Commute to Work (2020-2024)","Workers in Transportation who Commute to Work (2020-2024)","Workers in Finance and Insurance who Commute to Work (2020-2024)","Workers in Information who Commute to Work (2020-2024)","Workers in Scientific and Professional who Commute to Work (2020-2024)","Workers in Education and Health Care who Commute to Work (2020-2024)","Workers in Arts, Food, and Entertainment who Commute to Work (2020-2024)","Workers in Public Administration who Commute to Work (2020-2024)","Workers in Other Services who Commute to Work (2020-2024)","Workers in Armed Forces who Commute to Work (2020-2024)","Management, Business, Science, and Arts Occupations Work From Home (2020-2024)","Service Occupations Work From Home (2020-2024)","Sales and Office Occupations Work From Home (2020-2024)","Natural Resources, Construction, and Maintenance Occupations Work From Home (2020-2024)","Production, Transportation, and Material Moving Occupations Work From Home (2020-2024)","Military Occupations Work From Home (2020-2024)","Management, Business, Science, and Arts Occupations Commute to Work (2020-2024)","Service Occupations Commute to Work (2020-2024)","Sales and Office Occupations Commute to Work (2020-2024)","Natural Resources, Construction, and Maintenance Occupations Commute to Work (2020-2024)","Production, Transportation, and Material Moving Occupations Commute to Work (2020-2024)","Military Occupations Commute to Work (2020-2024)"
"publicpolygonfeature:5:39476","ZIP Code 32798","country:us/state:fl/zip:32798","32798","0","0","0","32","0","58","0","0","47","0","0","28","0","0","0","62","27","107","255","0","0","0","137","240","63","0","91","0","28","0","57","22","58","0","408","87","276","69","142","0"
"publicpolygonfeature:5:39865","ZIP Code 32801","country:us/state:fl/zip:32801","32801","0","45","61","58","238","50","164","190","897","539","159","15","46","0","0","471","418","172","590","262","620","150","1784","1909","1403","148","341","18","1817","122","395","38","90","0","5696","880","1264","100","346","0"
"publicpolygonfeature:5:41020","ZIP Code 34737","country:us/state:fl/zip:34737","34737","15","85","38","3","30","0","45","0","61","43","0","2","3","0","0","194","66","321","91","34","112","8","173","613","105","103","42","0","119","14","86","100","6","0","915","411","222","181","133","0"
"publicpolygonfeature:5:41026","ZIP Code 34756","country:us/state:fl/zip:34756","34756","0","49","25","8","11","21","93","8","116","70","84","0","12","0","0","145","150","26","185","120","101","0","200","271","499","24","73","0","313","10","134","40","0","0","855","416","225","72","226","0"
"publicpolygonfeature:5:41035","ZIP Code 34758","country:us/state:fl/zip:34758","34758","0","164","0","113","248","106","397","21","689","325","31","83","159","0","15","1610","581","339","3098","2493","758","96","1627","3281","3451","745","1025","0","1210","107","739","235","45","0","4143","5394","4122","1761","3699","0"
"publicpolygonfeature:5:42179","ZIP Code 32803","country:us/state:fl/zip:32803","32803","0","80","265","78","360","124","501","195","1466","421","119","162","43","0","28","539","524","223","779","469","909","261","1722","2561","1601","544","479","0","2819","157","669","55","114","0","6400","1380","1994","370","495","0"
"publicpolygonfeature:5:42277","ZIP Code 32804","country:us/state:fl/zip:32804","32804","0","53","173","151","255","110","222","76","1167","691","196","234","53","0","21","513","361","218","799","278","1073","88","2212","2436","1081","72","443","0","2436","223","470","89","163","0","5526","1152","2250","161","506","0"
"publicpolygonfeature:5:42303","ZIP Code 32805","country:us/state:fl/zip:32805","32805","40","0","48","13","72","59","228","29","103","137","29","0","138","0","11","473","219","99","1332","683","508","116","1064","1309","1598","215","364","0","347","83","283","32","151","0","1872","2470","1384","605","1660","0"
"publicpolygonfeature:5:42308","ZIP Code 32806","country:us/state:fl/zip:32806","32806","0","68","149","137","213","161","424","180","1034","386","104","32","137","0","35","778","625","196","1300","470","887","104","1571","3470","1726","291","384","4","2047","165","728","20","65","0","6143","1575","2385","788","946","4"
"publicpolygonfeature:5:42464","ZIP Code 32807","country:us/state:fl/zip:32807","32807","4","92","46","15","258","243","156","131","563","381","30","60","119","0","158","1760","717","378","2197","1457","823","175","1997","3341","2304","511","1140","52","1069","86","701","101","141","0","4736","3754","3548","2583","2337","52"
"publicpolygonfeature:5:42486","ZIP Code 32808","country:us/state:fl/zip:32808","32808","10","225","54","9","723","121","358","87","586","288","36","51","372","0","72","2340","988","277","3510","2110","1133","226","1771","4680","4827","967","519","0","1142","113","1304","241","120","0","4678","7222","4603","2604","4313","0"
"publicpolygonfeature:5:42510","ZIP Code 32809","country:us/state:fl/zip:32809","32809","1","170","63","81","104","108","110","154","249","122","3","49","32","0","96","1445","930","220","1078","1302","349","128","1602","1698","2407","142","386","0","337","210","423","213","63","0","2504","3444","2143","1724","1968","0"
"publicpolygonfeature:5:42583","ZIP Code 32810","country:us/state:fl/zip:32810","32810","0","56","86","0","234","64","395","267","816","409","52","42","50","0","11","1754","977","264","1720","1377","312","188","1596","3788","2610","491","777","16","1492","240","646","70","23","0","5018","3711","3060","2042","2050","0"
"publicpolygonfeature:5:42590","ZIP Code 32811","country:us/state:fl/zip:32811","32811","0","32","210","20","187","16","654","96","580","178","128","57","61","27","0","1013","663","450","3040","1873","571","35","1557","2890","4213","617","631","67","1047","50","998","23","101","27","4399","4532","4318","1301","3003","67"
"publicpolygonfeature:5:42669","ZIP Code 32812","country:us/state:fl/zip:32812","32812","14","233","299","35","39","29","471","119","938","290","205","89","94","0","0","1090","474","357","1788","1255","1229","206","2257","2819","2397","395","762","274","1627","163","787","108","170","0","5450","3077","3454","1173","1924","225"
"publicpolygonfeature:5:42672","ZIP Code 32814","country:us/state:fl/zip:32814","32814","0","50","168","47","0","52","391","28","579","296","140","19","10","0","0","170","175","24","95","281","367","40","775","1206","375","230","101","0","1285","67","293","90","45","0","2657","404","517","43","218","0"
"publicpolygonfeature:5:42694","ZIP Code 32817","country:us/state:fl/zip:32817","32817","0","71","213","25","321","103","390","60","653","718","173","79","31","0","56","1021","819","451","2105","948","793","203","1725","3682","3110","656","758","23","1672","313","736","27","89","0","5729","4041","3532","1061","1976","11"
"publicpolygonfeature:5:42739","ZIP Code 32818","country:us/state:fl/zip:32818","32818","0","130","95","0","210","117","311","48","908","457","448","163","19","0","30","1310","738","259","3142","2473","854","235","2304","5844","4956","845","1483","15","1352","575","748","58","173","0","5554","8330","4232","2021","4351","0"
"publicpolygonfeature:5:42754","ZIP Code 32819","country:us/state:fl/zip:32819","32819","0","17","149","53","210","243","454","115","1023","172","348","69","39","0","13","747","738","290","1204","860","523","111","1432","2340","4066","244","412","25","1800","229","674","96","93","0","5943","2875","2235","678","1249","25"
"publicpolygonfeature:5:42764","ZIP Code 32820","country:us/state:fl/zip:32820","32820","0","0","34","0","116","0","37","14","640","44","14","73","69","0","0","601","362","0","252","188","101","0","315","1410","723","607","208","0","855","25","161","0","0","0","2080","798","900","789","200","0"
"publicpolygonfeature:5:42777","ZIP Code 32821","country:us/state:fl/zip:32821","32821","33","134","24","0","134","55","372","45","713","372","387","0","82","0","44","631","557","146","1940","693","419","152","1607","1719","3946","309","476","0","1322","205","718","89","17","0","4610","3207","2611","714","1497","0"
"publicpolygonfeature:5:42802","ZIP Code 32822","country:us/state:fl/zip:32822","32822","0","255","258","70","113","410","498","232","1030","773","203","75","37","0","51","2168","1293","800","3821","3441","1551","406","3208","6025","3881","788","2413","0","2199","277","1022","69","387","0","7881","5961","5878","3070","7056","0"
"publicpolygonfeature:5:42808","ZIP Code 32824","country:us/state:fl/zip:32824","32824","0","76","148","178","284","60","1125","42","1086","882","405","105","54","12","147","1632","1127","863","3170","2162","1128","112","4341","4687","4394","923","1340","0","2655","209","1387","36","170","0","8894","5220","5773","2167","3972","0"
"publicpolygonfeature:5:42878","ZIP Code 32825","country:us/state:fl/zip:32825","32825","0","314","531","113","838","397","742","324","1657","872","355","236","232","9","98","1580","2181","447","3473","2103","1082","499","3041","6517","3993","814","1861","109","3080","387","2500","290","363","0","10859","5877","5840","1936","3225","61"
"publicpolygonfeature:5:42906","ZIP Code 32826","country:us/state:fl/zip:32826","32826","0","12","318","0","125","34","294","169","719","309","249","12","44","0","13","487","762","184","1047","554","547","82","1274","3168","2568","366","457","0","1233","126","726","97","103","0","4774","2946","2419","591","779","0"
"publicpolygonfeature:5:42986","ZIP Code 32827","country:us/state:fl/zip:32827","32827","0","26","257","78","148","101","246","24","775","509","77","12","0","38","0","415","140","185","638","734","387","44","1039","2372","614","307","81","148","1781","27","395","0","50","38","3790","923","1215","311","865","0"
"publicpolygonfeature:5:43058","ZIP Code 32828","country:us/state:fl/zip:32828","32828","0","104","205","152","380","789","867","303","2829","1378","685","215","393","0","0","1288","1897","483","2974","1934","1608","613","4099","6937","3356","1092","1652","107","5478","390","1888","296","248","0","13904","4435","5794","1198","2602","107"
"publicpolygonfeature:5:43065","ZIP Code 32829","country:us/state:fl/zip:32829","32829","0","113","138","8","139","22","244","107","422","314","87","68","20","0","4","523","359","223","1088","1154","844","211","797","2159","1028","665","664","0","1303","19","252","108","0","0","3853","1517","2660","622","1067","0"
"publicpolygonfeature:5:43100","ZIP Code 32830","country:us/state:fl/zip:32830","32830","0","0","3","0","0","2","0","0","2","0","2","0","0","0","0","0","51","0","0","1","0","0","68","47","3","3","0","0","7","0","2","0","0","0","170","0","2","0","1","0"
"publicpolygonfeature:5:43105","ZIP Code 32831","country:us/state:fl/zip:32831","32831","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17","0","0","0","0","0","0","7","6","21","0","0","0","0","0","0","0","0","17","27","7","0","0","0"
