"feature id","feature label","shid","geoid","Workers in Agriculture, Fishing, and Mining who Work From Home (2020-2024)","Workers in Construction who Work From Home (2020-2024)","Workers in Manufacturing who Work From Home (2020-2024)","Workers in Wholesale Trade who Work From Home (2020-2024)","Workers in Retail Trade who Work From Home (2020-2024)","Workers in Transportation who Work From Home (2020-2024)","Workers in Finance and Insurance who Work From Home (2020-2024)","Workers in Information who Work From Home (2020-2024)","Workers in Scientific and Professional who Work From Home (2020-2024)","Workers in Education and Health Care who Work From Home (2020-2024)","Workers in Arts, Food, and Entertainment who Work From Home (2020-2024)","Workers in Public Administration who Work From Home (2020-2024)","Workers in Other Services who Work From Home (2020-2024)","Workers in Armed Forces who Work From Home (2020-2024)","Workers in Agriculture, Fishing, and Mining who Commute to Work (2020-2024)","Workers in Construction who Commute to Work (2020-2024)","Workers in Manufacturing who Commute to Work (2020-2024)","Workers in Wholesale Trade who Commute to Work (2020-2024)","Workers in Retail Trade who Commute to Work (2020-2024)","Workers in Transportation who Commute to Work (2020-2024)","Workers in Finance and Insurance who Commute to Work (2020-2024)","Workers in Information who Commute to Work (2020-2024)","Workers in Scientific and Professional who Commute to Work (2020-2024)","Workers in Education and Health Care who Commute to Work (2020-2024)","Workers in Arts, Food, and Entertainment who Commute to Work (2020-2024)","Workers in Public Administration who Commute to Work (2020-2024)","Workers in Other Services who Commute to Work (2020-2024)","Workers in Armed Forces who Commute to Work (2020-2024)","Management, Business, Science, and Arts Occupations Work From Home (2020-2024)","Service Occupations Work From Home (2020-2024)","Sales and Office Occupations Work From Home (2020-2024)","Natural Resources, Construction, and Maintenance Occupations Work From Home (2020-2024)","Production, Transportation, and Material Moving Occupations Work From Home (2020-2024)","Military Occupations Work From Home (2020-2024)","Management, Business, Science, and Arts Occupations Commute to Work (2020-2024)","Service Occupations Commute to Work (2020-2024)","Sales and Office Occupations Commute to Work (2020-2024)","Natural Resources, Construction, and Maintenance Occupations Commute to Work (2020-2024)","Production, Transportation, and Material Moving Occupations Commute to Work (2020-2024)","Military Occupations Commute to Work (2020-2024)"
"publicpolygonfeature:5:34186","ZIP Code 08029","country:us/state:nj/zip:08029","08029","0","0","14","0","77","0","26","14","24","9","13","8","130","0","0","173","70","41","206","129","75","60","184","632","158","198","157","0","164","8","13","0","130","0","875","463","338","144","263","0"
"publicpolygonfeature:5:34855","ZIP Code 08003","country:us/state:nj/zip:08003","08003","21","111","409","76","354","87","878","174","1040","763","90","123","228","0","22","291","625","239","1178","579","641","159","1461","3718","1146","432","648","69","3206","144","799","52","153","0","7002","1445","1853","437","471","0"
"publicpolygonfeature:5:34869","ZIP Code 08065","country:us/state:nj/zip:08065","08065","0","13","15","8","14","71","154","16","214","88","37","30","31","0","0","175","543","181","545","207","190","95","358","612","257","146","163","0","387","73","229","0","2","0","1163","472","1075","212","550","0"
"publicpolygonfeature:5:34888","ZIP Code 08001","country:us/state:nj/zip:08001","08001","0","0","0","0","0","0","12","0","0","0","0","0","0","0","0","198","72","0","32","110","0","0","13","57","20","65","16","0","12","0","0","0","0","0","87","34","113","198","151","0"
"publicpolygonfeature:5:34889","ZIP Code 08002","country:us/state:nj/zip:08002","08002","9","92","198","21","229","200","183","153","727","375","50","81","131","13","0","634","648","137","1004","531","498","42","1163","2442","727","500","639","51","1576","31","498","128","229","0","4492","1051","1815","633","1025","0"
"publicpolygonfeature:5:34898","ZIP Code 08004","country:us/state:nj/zip:08004","08004","0","55","29","19","48","0","113","32","52","28","13","58","83","0","92","633","455","57","613","392","332","57","576","1215","439","368","327","0","367","13","99","0","51","0","2076","962","1305","716","497","0"
"publicpolygonfeature:5:34901","ZIP Code 08007","country:us/state:nj/zip:08007","08007","0","0","0","20","46","34","35","0","155","13","0","18","1","0","67","140","146","0","430","175","153","30","217","1083","33","135","71","0","159","0","106","0","57","0","1480","343","509","135","213","0"
"publicpolygonfeature:5:34903","ZIP Code 08014","country:us/state:nj/zip:08014","08014","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","83","0","0","31","17","0","0","35","16","0","20","0","0","0","0","0","0","0","0","35","0","51","100","16","0"
"publicpolygonfeature:5:34904","ZIP Code 08009","country:us/state:nj/zip:08009","08009","24","0","34","16","110","11","148","8","164","261","82","19","0","0","22","357","391","226","793","490","564","59","840","1545","611","336","310","0","445","46","343","24","19","0","2379","1073","1750","361","981","0"
"publicpolygonfeature:5:34905","ZIP Code 08010","country:us/state:nj/zip:08010","08010","0","10","0","0","10","22","138","18","250","200","6","3","0","22","0","414","233","156","665","631","221","71","337","1188","478","397","414","0","462","22","76","0","119","0","1790","726","1091","681","917","0"
"publicpolygonfeature:5:34906","ZIP Code 08011","country:us/state:nj/zip:08011","08011","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","0","11","0","0","0","12","0","0","0","0","0","0","0","0","12","0","0","0","22","0"
"publicpolygonfeature:5:34907","ZIP Code 08012","country:us/state:nj/zip:08012","08012","0","135","89","36","216","240","606","125","819","584","171","128","84","0","0","1354","1210","544","3368","1597","724","155","1793","4916","1532","809","848","23","1934","190","932","0","177","0","7146","2988","4682","1390","2656","11"
"publicpolygonfeature:5:34909","ZIP Code 08015","country:us/state:nj/zip:08015","08015","0","0","22","45","22","27","74","17","89","186","29","163","0","0","18","503","557","185","1374","550","227","52","787","2365","902","797","282","368","352","121","201","0","0","0","2452","2230","1066","1026","1937","256"
"publicpolygonfeature:5:34910","ZIP Code 08016","country:us/state:nj/zip:08016","08016","0","98","200","11","279","94","530","166","553","331","69","73","24","0","0","864","1202","491","2746","1432","565","312","1503","3718","1048","1381","425","183","1528","57","749","33","61","0","6264","2370","3487","1105","2609","35"
"publicpolygonfeature:5:34911","ZIP Code 08019","country:us/state:nj/zip:08019","08019","0","93","0","3","2","0","2","0","4","3","0","0","0","0","9","18","44","0","71","12","18","6","13","156","16","15","6","0","102","0","5","0","0","0","195","39","80","15","55","0"
"publicpolygonfeature:5:34912","ZIP Code 08020","country:us/state:nj/zip:08020","08020","0","0","0","0","25","23","0","39","95","91","32","33","0","0","0","121","65","39","15","55","123","0","83","297","41","101","42","30","260","0","78","0","0","0","581","98","212","56","35","30"
"publicpolygonfeature:5:34913","ZIP Code 08021","country:us/state:nj/zip:08021","08021","0","34","120","49","110","246","382","64","476","426","159","150","26","0","63","1047","1569","420","3065","2277","915","202","2353","6357","1610","1192","1325","12","1288","175","570","52","157","0","7105","4702","4595","1748","4245","12"
"publicpolygonfeature:5:34914","ZIP Code 08022","country:us/state:nj/zip:08022","08022","18","6","43","28","80","0","69","44","108","134","30","39","28","0","0","272","197","91","115","148","225","75","349","812","138","595","195","19","315","53","218","27","14","0","1882","478","464","182","206","19"
"publicpolygonfeature:5:34915","ZIP Code 08023","country:us/state:nj/zip:08023","08023","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18","0","28","45","44","0","0","0","48","78","0","0","0","0","0","0","0","0","0","21","105","94","0","41","0"
"publicpolygonfeature:5:34916","ZIP Code 08026","country:us/state:nj/zip:08026","08026","0","5","9","6","0","0","65","13","56","23","0","0","1","0","6","84","61","4","129","77","61","1","74","202","108","39","7","0","108","0","37","0","33","0","374","100","246","73","60","0"
"publicpolygonfeature:5:34917","ZIP Code 08027","country:us/state:nj/zip:08027","08027","8","28","0","0","0","0","114","0","59","42","0","31","26","0","8","147","205","48","227","220","147","26","170","418","58","175","57","0","200","29","71","8","0","0","765","227","436","272","206","0"
"publicpolygonfeature:5:34918","ZIP Code 08028","country:us/state:nj/zip:08028","08028","0","0","49","19","122","26","129","47","328","761","104","89","96","0","3","573","629","257","1471","708","592","30","635","3016","1252","361","352","53","904","317","500","0","49","0","3546","1826","2505","890","1165","0"
"publicpolygonfeature:5:34919","ZIP Code 08030","country:us/state:nj/zip:08030","08030","0","3","59","0","7","32","108","7","183","30","14","0","9","0","5","510","376","167","1001","461","101","86","359","1087","558","342","260","0","308","19","81","16","28","0","1595","1324","1101","347","946","0"
