"feature id","feature label","shid","geoid","Workers in Agriculture, Fishing, and Mining who Work From Home (2020-2024)","Workers in Construction who Work From Home (2020-2024)","Workers in Manufacturing who Work From Home (2020-2024)","Workers in Wholesale Trade who Work From Home (2020-2024)","Workers in Retail Trade who Work From Home (2020-2024)","Workers in Transportation who Work From Home (2020-2024)","Workers in Finance and Insurance who Work From Home (2020-2024)","Workers in Information who Work From Home (2020-2024)","Workers in Scientific and Professional who Work From Home (2020-2024)","Workers in Education and Health Care who Work From Home (2020-2024)","Workers in Arts, Food, and Entertainment who Work From Home (2020-2024)","Workers in Public Administration who Work From Home (2020-2024)","Workers in Other Services who Work From Home (2020-2024)","Workers in Armed Forces who Work From Home (2020-2024)","Workers in Agriculture, Fishing, and Mining who Commute to Work (2020-2024)","Workers in Construction who Commute to Work (2020-2024)","Workers in Manufacturing who Commute to Work (2020-2024)","Workers in Wholesale Trade who Commute to Work (2020-2024)","Workers in Retail Trade who Commute to Work (2020-2024)","Workers in Transportation who Commute to Work (2020-2024)","Workers in Finance and Insurance who Commute to Work (2020-2024)","Workers in Information who Commute to Work (2020-2024)","Workers in Scientific and Professional who Commute to Work (2020-2024)","Workers in Education and Health Care who Commute to Work (2020-2024)","Workers in Arts, Food, and Entertainment who Commute to Work (2020-2024)","Workers in Public Administration who Commute to Work (2020-2024)","Workers in Other Services who Commute to Work (2020-2024)","Workers in Armed Forces who Commute to Work (2020-2024)","Management, Business, Science, and Arts Occupations Work From Home (2020-2024)","Service Occupations Work From Home (2020-2024)","Sales and Office Occupations Work From Home (2020-2024)","Natural Resources, Construction, and Maintenance Occupations Work From Home (2020-2024)","Production, Transportation, and Material Moving Occupations Work From Home (2020-2024)","Military Occupations Work From Home (2020-2024)","Management, Business, Science, and Arts Occupations Commute to Work (2020-2024)","Service Occupations Commute to Work (2020-2024)","Sales and Office Occupations Commute to Work (2020-2024)","Natural Resources, Construction, and Maintenance Occupations Commute to Work (2020-2024)","Production, Transportation, and Material Moving Occupations Commute to Work (2020-2024)","Military Occupations Commute to Work (2020-2024)"
"publicpolygonfeature:5:57629","ZIP Code 78219","country:us/state:tx/zip:78219","78219","0","19","12","0","62","66","97","31","92","75","12","2","9","0","114","950","551","93","1004","340","361","40","539","1505","658","233","289","137","137","68","174","49","49","0","1605","1583","1317","882","1427","0"
"publicpolygonfeature:5:58177","ZIP Code 78205","country:us/state:tx/zip:78205","78205","0","24","0","0","20","0","57","0","29","21","0","0","0","0","0","52","0","17","105","7","43","0","114","265","90","17","15","43","94","0","33","24","0","0","419","132","98","71","29","19"
"publicpolygonfeature:5:58190","ZIP Code 78207","country:us/state:tx/zip:78207","78207","0","0","14","0","50","10","183","22","128","195","43","6","14","0","24","2801","1124","491","1663","969","743","96","1653","3063","2918","460","957","50","278","112","261","0","14","0","2303","5396","2803","3307","3153","50"
"publicpolygonfeature:5:58193","ZIP Code 78208","country:us/state:tx/zip:78208","78208","0","0","0","0","0","0","18","0","0","28","0","41","0","0","4","75","80","69","216","127","17","0","225","218","254","32","102","13","14","14","59","0","0","0","302","410","225","85","397","13"
"publicpolygonfeature:5:59270","ZIP Code 78220","country:us/state:tx/zip:78220","78220","0","11","9","0","87","88","51","0","82","63","113","37","0","0","35","995","574","65","1084","386","348","101","400","909","671","72","529","16","205","114","213","0","9","0","724","1533","1400","1160","1352","16"
"publicpolygonfeature:5:59326","ZIP Code 78221","country:us/state:tx/zip:78221","78221","0","7","0","9","23","111","200","16","223","300","105","19","31","0","541","2377","1535","233","2081","1506","895","170","1690","3875","1897","481","986","80","412","42","482","77","31","0","4160","4454","3669","2795","3226","43"
"publicpolygonfeature:5:59515","ZIP Code 78229","country:us/state:tx/zip:78229","78229","11","51","0","30","240","41","408","184","600","490","56","55","16","0","55","841","626","227","2385","926","633","51","1806","4390","3175","540","887","195","899","213","817","56","197","0","5571","3995","3772","1101","2236","62"
"publicpolygonfeature:5:59551","ZIP Code 78230","country:us/state:tx/zip:78230","78230","26","191","127","30","513","57","881","134","855","779","194","351","175","0","90","888","937","244","1908","1047","1499","336","2335","4293","2329","500","597","219","3123","135","856","110","89","0","6999","3050","4608","841","1724","0"
"publicpolygonfeature:5:59570","ZIP Code 78237","country:us/state:tx/zip:78237","78237","12","12","0","0","89","18","263","19","204","472","24","9","75","0","81","2344","978","156","1285","773","518","111","1108","2892","1720","401","771","28","378","274","448","73","24","0","1955","3740","2332","2785","2354","0"
"publicpolygonfeature:5:59575","ZIP Code 78238","country:us/state:tx/zip:78238","78238","0","38","58","0","71","64","476","103","200","229","55","0","11","0","76","630","754","245","1476","586","614","163","1328","2561","1556","628","497","89","559","205","486","28","27","0","3441","2871","2253","1283","1305","50"
"publicpolygonfeature:5:59593","ZIP Code 78239","country:us/state:tx/zip:78239","78239","82","52","20","23","44","48","87","32","307","340","0","140","78","0","125","966","809","233","743","1030","560","162","878","2093","1363","642","1039","132","779","119","291","64","0","0","2878","2871","2248","1086","1634","58"
"publicpolygonfeature:5:59596","ZIP Code 78240","country:us/state:tx/zip:78240","78240","0","100","202","9","381","155","920","139","1341","1285","199","125","73","54","112","1448","1517","228","2348","987","1393","206","3636","6703","3717","1151","799","206","3102","484","1053","144","146","54","10420","4996","4856","1766","2350","63"
"publicpolygonfeature:5:59623","ZIP Code 78242","country:us/state:tx/zip:78242","78242","15","20","72","0","40","85","192","15","126","103","23","53","50","0","53","1981","1231","218","1528","587","615","121","1043","2215","1818","427","627","224","232","182","293","27","60","0","2320","3211","2258","2500","2257","142"
"publicpolygonfeature:5:59629","ZIP Code 78243","country:us/state:tx/zip:78243","78243","0","0","0","0","6","0","0","0","0","0","0","0","0","128","0","0","0","0","0","0","0","0","0","6","0","24","0","62","0","43","0","0","6","85","38","30","0","0","11","13"
"publicpolygonfeature:5:59668","ZIP Code 78002","country:us/state:tx/zip:78002","78002","0","0","0","0","0","0","13","0","0","8","0","0","86","0","146","506","183","70","330","379","61","0","310","507","160","83","39","11","0","12","13","0","82","0","372","525","515","939","423","11"
"publicpolygonfeature:5:59669","ZIP Code 78003","country:us/state:tx/zip:78003","78003","55","0","0","1","72","13","11","59","40","27","0","0","0","0","129","506","145","20","324","147","202","92","443","650","462","103","280","0","159","8","86","0","25","0","1245","712","468","677","401","0"
