"feature id","feature label","shid","geoid","Workers in Agriculture, Fishing, and Mining who Work From Home (2020-2024)","Workers in Construction who Work From Home (2020-2024)","Workers in Manufacturing who Work From Home (2020-2024)","Workers in Wholesale Trade who Work From Home (2020-2024)","Workers in Retail Trade who Work From Home (2020-2024)","Workers in Transportation who Work From Home (2020-2024)","Workers in Finance and Insurance who Work From Home (2020-2024)","Workers in Information who Work From Home (2020-2024)","Workers in Scientific and Professional who Work From Home (2020-2024)","Workers in Education and Health Care who Work From Home (2020-2024)","Workers in Arts, Food, and Entertainment who Work From Home (2020-2024)","Workers in Public Administration who Work From Home (2020-2024)","Workers in Other Services who Work From Home (2020-2024)","Workers in Armed Forces who Work From Home (2020-2024)","Workers in Agriculture, Fishing, and Mining who Commute to Work (2020-2024)","Workers in Construction who Commute to Work (2020-2024)","Workers in Manufacturing who Commute to Work (2020-2024)","Workers in Wholesale Trade who Commute to Work (2020-2024)","Workers in Retail Trade who Commute to Work (2020-2024)","Workers in Transportation who Commute to Work (2020-2024)","Workers in Finance and Insurance who Commute to Work (2020-2024)","Workers in Information who Commute to Work (2020-2024)","Workers in Scientific and Professional who Commute to Work (2020-2024)","Workers in Education and Health Care who Commute to Work (2020-2024)","Workers in Arts, Food, and Entertainment who Commute to Work (2020-2024)","Workers in Public Administration who Commute to Work (2020-2024)","Workers in Other Services who Commute to Work (2020-2024)","Workers in Armed Forces who Commute to Work (2020-2024)","Management, Business, Science, and Arts Occupations Work From Home (2020-2024)","Service Occupations Work From Home (2020-2024)","Sales and Office Occupations Work From Home (2020-2024)","Natural Resources, Construction, and Maintenance Occupations Work From Home (2020-2024)","Production, Transportation, and Material Moving Occupations Work From Home (2020-2024)","Military Occupations Work From Home (2020-2024)","Management, Business, Science, and Arts Occupations Commute to Work (2020-2024)","Service Occupations Commute to Work (2020-2024)","Sales and Office Occupations Commute to Work (2020-2024)","Natural Resources, Construction, and Maintenance Occupations Commute to Work (2020-2024)","Production, Transportation, and Material Moving Occupations Commute to Work (2020-2024)","Military Occupations Commute to Work (2020-2024)"
"publicpolygonfeature:5:61229","ZIP Code 94133","country:us/state:ca/zip:94133","94133","0","27","193","185","243","141","562","309","1820","478","258","126","49","0","12","383","538","19","627","421","783","386","1874","1859","1130","278","397","28","3257","245","625","27","237","0","4499","1673","1748","247","540","28"
"publicpolygonfeature:5:61462","ZIP Code 94134","country:us/state:ca/zip:94134","94134","15","74","156","10","210","137","185","333","879","621","165","220","36","0","7","1117","995","186","1352","1492","788","268","2044","3488","1926","890","837","8","1821","413","488","126","193","0","5070","3773","3395","1250","1902","8"
"publicpolygonfeature:5:63101","ZIP Code 94158","country:us/state:ca/zip:94158","94158","0","10","67","35","200","0","137","663","1104","520","23","20","23","0","0","17","196","0","304","176","227","359","1398","1631","239","92","59","34","2676","46","80","0","0","0","3966","268","332","17","115","34"
"publicpolygonfeature:5:63105","ZIP Code 94555","country:us/state:ca/zip:94555","94555","0","15","795","0","279","60","579","572","2687","874","106","68","37","0","17","238","2296","412","665","581","773","761","2943","2125","834","333","316","27","5276","191","459","57","89","0","8231","1365","1407","396","922","0"
"publicpolygonfeature:5:63344","ZIP Code 94596","country:us/state:ca/zip:94596","94596","0","113","304","20","66","95","674","324","1216","544","91","55","136","0","116","781","467","140","1419","298","1134","168","1613","2294","767","274","391","32","2814","125","651","31","17","0","5899","1095","1877","484","539","0"
"publicpolygonfeature:5:63365","ZIP Code 94063","country:us/state:ca/zip:94063","94063","15","77","161","40","249","174","257","440","1050","546","140","153","119","0","141","1739","1057","278","1204","622","302","596","3031","2754","1643","549","789","78","2194","362","604","64","197","0","5245","4112","1732","1867","1749","78"
"publicpolygonfeature:5:63377","ZIP Code 94065","country:us/state:ca/zip:94065","94065","17","0","152","31","157","17","151","259","1004","305","18","11","59","0","13","136","441","65","159","71","208","385","942","699","277","148","91","0","1891","30","236","6","18","0","2818","311","373","14","119","0"
"publicpolygonfeature:5:63384","ZIP Code 94707","country:us/state:ca/zip:94707","94707","0","16","101","26","129","71","256","239","912","743","161","209","41","0","1","79","128","7","266","82","132","139","632","1211","201","144","151","0","2470","103","272","7","52","0","2429","138","357","52","197","0"
"publicpolygonfeature:5:63393","ZIP Code 94066","country:us/state:ca/zip:94066","94066","6","296","314","61","418","354","259","259","1148","410","119","176","264","0","135","1299","1075","229","2078","1469","1065","420","2623","4328","1928","974","973","14","2690","474","475","223","222","0","8348","3347","3765","1416","1734","0"
"publicpolygonfeature:5:63398","ZIP Code 94111","country:us/state:ca/zip:94111","94111","0","0","74","9","8","67","132","77","324","85","30","38","0","0","0","8","97","0","294","46","49","62","528","176","254","6","21","0","686","43","115","0","0","0","702","240","364","15","220","0"
"publicpolygonfeature:5:63405","ZIP Code 94112","country:us/state:ca/zip:94112","94112","0","175","205","114","299","266","605","401","2535","1489","417","415","550","0","177","2179","2308","572","3095","2773","1931","720","4444","7090","3590","2061","1906","0","5039","1193","844","146","249","0","12709","7593","6034","2463","4047","0"
"publicpolygonfeature:5:63439","ZIP Code 94021","country:us/state:ca/zip:94021","94021","0","0","0","0","0","0","0","0","13","0","0","0","0","0","17","0","0","0","0","0","48","0","27","27","24","0","0","0","13","0","0","0","0","0","143","0","0","0","0","0"
"publicpolygonfeature:5:63449","ZIP Code 94027","country:us/state:ca/zip:94027","94027","0","12","116","0","25","9","149","66","465","176","75","0","14","0","9","6","149","46","201","12","319","70","290","326","135","0","55","0","954","46","104","0","3","0","1220","144","219","14","21","0"
"publicpolygonfeature:5:63453","ZIP Code 94114","country:us/state:ca/zip:94114","94114","0","157","463","118","528","231","807","1171","3738","1136","312","226","291","34","0","246","656","79","729","391","686","1035","3761","3104","680","412","501","0","7783","271","856","138","164","0","9585","1131","1058","129","377","0"
"publicpolygonfeature:5:63455","ZIP Code 94115","country:us/state:ca/zip:94115","94115","3","33","204","71","458","233","1021","780","3177","961","264","47","68","0","6","456","507","75","1010","378","1850","551","3502","2538","682","315","450","34","5863","382","979","14","82","0","8411","1273","2004","227","405","34"
"publicpolygonfeature:5:63458","ZIP Code 94116","country:us/state:ca/zip:94116","94116","8","71","177","217","267","168","638","585","2034","1071","187","218","192","0","16","475","859","380","1238","1129","1075","458","2539","4112","1642","1198","551","12","4594","328","733","79","99","0","8412","2695","2878","416","1283","0"
"publicpolygonfeature:5:63490","ZIP Code 94014","country:us/state:ca/zip:94014","94014","7","13","205","188","193","251","431","263","920","624","125","104","181","0","163","1421","1663","390","2190","2007","897","297","2298","5243","2552","887","1124","314","2178","330","850","37","110","0","6454","5234","4091","2041","3331","295"
"publicpolygonfeature:5:63510","ZIP Code 94015","country:us/state:ca/zip:94015","94015","0","152","486","55","633","325","830","216","1460","887","176","320","259","0","32","1458","1506","189","3567","3263","1665","431","3936","7215","3327","1074","1038","10","3579","459","985","148","628","0","11008","5978","6393","1850","3472","10"
"publicpolygonfeature:5:63515","ZIP Code 94117","country:us/state:ca/zip:94117","94117","0","112","233","99","409","146","764","1063","4008","1619","313","317","255","0","50","346","868","137","869","436","1071","1207","4221","3298","1609","385","490","10","7760","311","1132","49","86","0","10772","1340","1995","314","576","0"
"publicpolygonfeature:5:63528","ZIP Code 94118","country:us/state:ca/zip:94118","94118","0","138","199","193","302","94","973","668","3391","1160","279","147","339","0","64","358","730","84","1448","371","1998","590","2877","3573","1400","559","553","55","6396","227","1044","121","95","0","9320","1706","2568","258","753","55"
