"feature id","feature label","shid","geoid","Workers in Agriculture, Fishing, and Mining who Work From Home (2020-2024)","Workers in Construction who Work From Home (2020-2024)","Workers in Manufacturing who Work From Home (2020-2024)","Workers in Wholesale Trade who Work From Home (2020-2024)","Workers in Retail Trade who Work From Home (2020-2024)","Workers in Transportation who Work From Home (2020-2024)","Workers in Finance and Insurance who Work From Home (2020-2024)","Workers in Information who Work From Home (2020-2024)","Workers in Scientific and Professional who Work From Home (2020-2024)","Workers in Education and Health Care who Work From Home (2020-2024)","Workers in Arts, Food, and Entertainment who Work From Home (2020-2024)","Workers in Public Administration who Work From Home (2020-2024)","Workers in Other Services who Work From Home (2020-2024)","Workers in Armed Forces who Work From Home (2020-2024)","Workers in Agriculture, Fishing, and Mining who Commute to Work (2020-2024)","Workers in Construction who Commute to Work (2020-2024)","Workers in Manufacturing who Commute to Work (2020-2024)","Workers in Wholesale Trade who Commute to Work (2020-2024)","Workers in Retail Trade who Commute to Work (2020-2024)","Workers in Transportation who Commute to Work (2020-2024)","Workers in Finance and Insurance who Commute to Work (2020-2024)","Workers in Information who Commute to Work (2020-2024)","Workers in Scientific and Professional who Commute to Work (2020-2024)","Workers in Education and Health Care who Commute to Work (2020-2024)","Workers in Arts, Food, and Entertainment who Commute to Work (2020-2024)","Workers in Public Administration who Commute to Work (2020-2024)","Workers in Other Services who Commute to Work (2020-2024)","Workers in Armed Forces who Commute to Work (2020-2024)","Management, Business, Science, and Arts Occupations Work From Home (2020-2024)","Service Occupations Work From Home (2020-2024)","Sales and Office Occupations Work From Home (2020-2024)","Natural Resources, Construction, and Maintenance Occupations Work From Home (2020-2024)","Production, Transportation, and Material Moving Occupations Work From Home (2020-2024)","Military Occupations Work From Home (2020-2024)","Management, Business, Science, and Arts Occupations Commute to Work (2020-2024)","Service Occupations Commute to Work (2020-2024)","Sales and Office Occupations Commute to Work (2020-2024)","Natural Resources, Construction, and Maintenance Occupations Commute to Work (2020-2024)","Production, Transportation, and Material Moving Occupations Commute to Work (2020-2024)","Military Occupations Commute to Work (2020-2024)"
"publicpolygonfeature:5:38396","ZIP Code 33626","country:us/state:fl/zip:33626","33626","88","117","372","268","263","27","1031","48","1716","645","214","180","79","33","7","442","547","264","1084","469","1372","165","1669","2715","1194","404","314","37","3530","200","1152","139","27","33","5974","1445","2444","285","514","21"
"publicpolygonfeature:5:38411","ZIP Code 33629","country:us/state:fl/zip:33629","33629","13","112","173","244","209","96","934","139","1071","404","147","86","106","0","10","655","433","226","731","388","1338","116","1926","2443","775","336","171","71","2490","69","1096","0","79","0","6524","749","1707","137","476","26"
"publicpolygonfeature:5:39990","ZIP Code 33634","country:us/state:fl/zip:33634","33634","1","85","70","68","126","16","464","142","668","260","119","8","38","0","2","755","711","447","1115","922","442","290","1503","1564","846","220","617","110","899","291","836","39","0","0","2839","1614","2194","868","1919","110"
"publicpolygonfeature:5:40399","ZIP Code 33635","country:us/state:fl/zip:33635","33635","14","25","17","20","71","0","614","24","516","259","84","37","54","0","56","709","743","210","1389","737","830","35","1218","1917","711","299","661","92","1137","83","481","25","9","0","3522","2109","1445","941","1519","71"
"publicpolygonfeature:5:40408","ZIP Code 34654","country:us/state:fl/zip:34654","34654","0","181","35","30","323","63","139","0","560","434","46","20","48","0","18","1081","536","66","1475","620","482","45","577","2319","688","607","444","0","863","69","886","15","46","0","3041","1632","2309","1088","888","0"
"publicpolygonfeature:5:40423","ZIP Code 34677","country:us/state:fl/zip:34677","34677","0","42","178","43","48","167","439","15","903","446","71","54","69","9","0","616","740","152","1295","569","715","187","1106","1717","828","235","338","0","1628","117","674","35","30","0","3640","1385","2268","363","842","0"
"publicpolygonfeature:5:40425","ZIP Code 34679","country:us/state:fl/zip:34679","34679","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","39","0","0","0","0","0","0","41","0","0","0","0","0","0","0","0","0","0","0","39","0","41","0","0","0"
"publicpolygonfeature:5:40426","ZIP Code 34681","country:us/state:fl/zip:34681","34681","0","0","0","0","100","16","70","0","42","88","0","0","49","0","0","0","0","0","14","0","14","0","46","84","0","0","0","0","124","49","192","0","0","0","144","0","14","0","0","0"
"publicpolygonfeature:5:40429","ZIP Code 34691","country:us/state:fl/zip:34691","34691","0","49","66","43","280","128","176","34","306","146","29","37","42","0","23","717","517","115","1224","544","430","110","1022","1723","1097","396","352","0","638","55","502","89","52","0","2447","1783","1925","948","1167","0"
"publicpolygonfeature:5:40464","ZIP Code 34695","country:us/state:fl/zip:34695","34695","7","0","127","27","173","8","554","49","683","421","119","86","13","0","12","583","334","223","529","261","545","163","846","1597","913","320","271","22","1635","43","515","16","58","0","2979","1238","1456","422","502","22"
"publicpolygonfeature:5:40514","ZIP Code 33705","country:us/state:fl/zip:33705","33705","0","81","220","46","137","5","390","103","665","411","289","112","48","0","86","506","766","205","1173","524","639","141","1583","2798","1355","390","571","14","1564","186","585","52","120","0","4548","1954","2260","697","1292","0"
"publicpolygonfeature:5:40552","ZIP Code 33706","country:us/state:fl/zip:33706","33706","0","37","202","67","110","10","533","59","778","208","66","20","62","0","4","190","357","157","371","252","632","161","733","791","487","89","144","15","1728","28","377","0","19","0","2284","654","1011","128","306","0"
"publicpolygonfeature:5:40560","ZIP Code 33707","country:us/state:fl/zip:33707","33707","13","51","60","114","150","53","375","84","578","277","114","85","90","18","0","428","349","99","1020","467","782","64","806","2043","1206","382","274","62","1395","179","355","34","99","0","3521","1496","1523","727","653","62"
"publicpolygonfeature:5:40573","ZIP Code 33708","country:us/state:fl/zip:33708","33708","0","56","72","116","113","81","232","64","574","348","129","29","52","0","40","447","326","145","741","135","411","118","582","1137","427","253","226","0","1197","118","489","6","56","0","2362","619","1268","375","364","0"
"publicpolygonfeature:5:40965","ZIP Code 33709","country:us/state:fl/zip:33709","33709","0","7","101","37","154","13","186","36","383","225","46","33","57","0","26","820","786","303","1403","390","578","87","1092","1979","1029","163","841","25","669","77","458","10","64","0","2644","2358","2346","918","1238","18"
"publicpolygonfeature:5:40987","ZIP Code 33710","country:us/state:fl/zip:33710","33710","0","164","518","71","265","75","698","53","1057","621","84","150","84","4","116","829","1318","333","2117","524","979","132","1955","2806","1535","682","570","17","2626","184","748","185","97","4","6033","2337","3337","661","1528","17"
"publicpolygonfeature:5:41015","ZIP Code 33711","country:us/state:fl/zip:33711","33711","0","84","128","149","115","17","240","41","499","288","123","56","13","0","7","468","288","127","729","287","375","43","435","1978","1231","500","253","24","806","356","554","17","20","0","2349","1821","1313","711","527","24"
"publicpolygonfeature:5:41116","ZIP Code 33756","country:us/state:fl/zip:33756","33756","0","136","153","10","289","92","579","73","631","273","89","45","134","0","10","1106","474","245","1265","543","884","152","1474","2828","1518","518","718","11","1358","91","865","60","130","0","4121","2880","2386","1271","1078","10"
"publicpolygonfeature:5:41209","ZIP Code 33772","country:us/state:fl/zip:33772","33772","11","58","183","72","168","80","209","39","362","485","142","97","112","0","10","513","934","132","1082","414","675","139","969","2587","1125","452","510","66","1174","130","568","88","58","0","3816","2089","1984","596","1071","52"
"publicpolygonfeature:5:41241","ZIP Code 33782","country:us/state:fl/zip:33782","33782","0","22","86","0","15","51","283","114","649","131","88","0","21","0","86","297","1002","320","1322","467","680","85","1073","1912","1101","471","426","29","868","112","446","0","34","0","3537","1734","2192","614","1192","2"
"publicpolygonfeature:5:41244","ZIP Code 33785","country:us/state:fl/zip:33785","33785","0","24","58","93","64","0","220","53","130","45","31","19","15","0","0","108","92","121","111","43","202","37","125","329","274","15","52","0","480","15","228","15","14","0","645","261","394","145","64","0"
"publicpolygonfeature:5:41247","ZIP Code 33786","country:us/state:fl/zip:33786","33786","0","0","21","0","8","8","53","3","70","9","5","3","19","0","0","31","37","11","13","21","73","0","57","163","30","13","14","0","139","1","57","0","2","0","301","30","70","21","41","0"
