"feature id","feature label","shid","geoid","Management, Business, Science, and Arts Occupations Commute by Drive Alone (2020-2024)","Service Occupations Commute by Drive Alone (2020-2024)","Sales and Office Occupations Commute by Drive Alone (2020-2024)","Natural Resources, Construction, and Maintenance Occupations Commute by Drive Alone (2020-2024)","Production, Transportation, and Material Moving Occupations Commute by Drive Alone (2020-2024)","Military Occupations Commute by Drive Alone (2020-2024)","Management, Business, Science, and Arts Occupations Commute by Drive Carpool (2020-2024)","Service Occupations Commute by Drive Carpool (2020-2024)","Sales and Office Occupations Commute by Drive Carpool (2020-2024)","Natural Resources, Construction, and Maintenance Occupations Commute by Drive Carpool (2020-2024)","Production, Transportation, and Material Moving Occupations Commute by Drive Carpool (2020-2024)","Military Occupations Commute by Drive Carpool (2020-2024)","Management, Business, Science, and Arts Occupations Commute by Public Transit (2020-2024)","Service Occupations Commute by Public Transit (2020-2024)","Sales and Office Occupations Commute by Public Transit (2020-2024)","Natural Resources, Construction, and Maintenance Occupations Commute by Public Transit (2020-2024)","Production, Transportation, and Material Moving Occupations Commute by Public Transit (2020-2024)","Military Occupations Commute by Public Transit (2020-2024)","Management, Business, Science, and Arts Occupations Commute by Walk (2020-2024)","Service Occupations Commute by Walk (2020-2024)","Sales and Office Occupations Commute by Walk (2020-2024)","Natural Resources, Construction, and Maintenance Occupations Commute by Walk (2020-2024)","Production, Transportation, and Material Moving Occupations Commute by Walk (2020-2024)","Military Occupations Commute by Walk (2020-2024)","Management, Business, Science, and Arts Occupations Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Service Occupations Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Sales and Office Occupations Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Natural Resources, Construction, and Maintenance Occupations Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Production, Transportation, and Material Moving Occupations Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Military Occupations Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)"
"publicpolygonfeature:5:50937","ZIP Code 78749","country:us/state:tx/zip:78749","78749","6974","1262","2301","397","624","0","644","122","51","69","32","0","22","10","13","0","39","0","23","102","0","0","142","0","127","2","69","0","11","0"
"publicpolygonfeature:5:50942","ZIP Code 78757","country:us/state:tx/zip:78757","78757","4667","511","801","368","276","0","601","329","66","0","32","0","165","0","0","76","23","0","30","40","24","0","0","0","308","66","79","0","109","0"
"publicpolygonfeature:5:57982","ZIP Code 78758","country:us/state:tx/zip:78758","78758","8292","2691","2761","1279","1941","0","1033","939","282","444","190","0","75","402","122","435","0","0","532","95","149","0","0","0","336","98","45","45","30","0"
"publicpolygonfeature:5:59174","ZIP Code 76511","country:us/state:tx/zip:76511","76511","150","217","179","160","190","0","31","22","6","40","45","0","0","0","0","0","0","0","12","0","0","5","0","0","0","0","0","0","5","0"
"publicpolygonfeature:5:59180","ZIP Code 76527","country:us/state:tx/zip:76527","76527","400","268","195","362","150","0","125","15","0","87","49","0","0","0","0","0","0","0","22","13","0","0","0","0","9","0","0","11","32","0"
"publicpolygonfeature:5:59182","ZIP Code 76530","country:us/state:tx/zip:76530","76530","398","86","159","142","242","0","17","23","8","12","13","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0"
"publicpolygonfeature:5:59187","ZIP Code 76537","country:us/state:tx/zip:76537","76537","2347","1040","1341","1295","754","0","272","268","41","114","266","0","0","0","0","0","0","0","15","49","0","14","56","0","0","37","77","4","7","0"
"publicpolygonfeature:5:59214","ZIP Code 76573","country:us/state:tx/zip:76573","76573","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:59218","ZIP Code 76574","country:us/state:tx/zip:76574","76574","2430","1177","1906","907","1032","0","231","180","102","31","119","0","10","0","0","31","0","0","27","0","13","0","36","0","32","6","80","0","130","0"
"publicpolygonfeature:5:59221","ZIP Code 76578","country:us/state:tx/zip:76578","76578","180","232","121","60","99","33","34","0","11","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:59938","ZIP Code 78602","country:us/state:tx/zip:78602","78602","4888","1856","2174","1939","1640","61","756","511","266","420","280","28","0","0","120","0","16","0","248","70","90","135","0","146","43","56","154","0","118","0"
"publicpolygonfeature:5:59939","ZIP Code 78701","country:us/state:tx/zip:78701","78701","2595","250","318","6","32","0","93","15","23","0","0","0","15","6","0","0","0","11","665","122","234","0","61","0","201","17","49","0","0","0"
"publicpolygonfeature:5:59940","ZIP Code 78702","country:us/state:tx/zip:78702","78702","5102","730","1249","400","578","0","279","88","125","11","297","0","236","50","30","0","0","0","348","191","213","90","0","0","636","33","277","18","24","0"
"publicpolygonfeature:5:59943","ZIP Code 78703","country:us/state:tx/zip:78703","78703","4921","337","1283","60","364","0","248","10","19","0","0","0","423","81","20","0","0","0","671","38","21","0","0","0","197","34","30","0","0","0"
"publicpolygonfeature:5:59946","ZIP Code 78610","country:us/state:tx/zip:78610","78610","8161","2423","3940","1505","2652","0","646","397","416","342","99","0","0","0","0","0","0","0","60","3","10","12","53","0","139","12","2","0","27","0"
"publicpolygonfeature:5:59947","ZIP Code 78612","country:us/state:tx/zip:78612","78612","1532","948","977","624","1012","0","211","194","72","129","49","0","23","0","0","0","0","0","94","0","4","0","0","0","29","70","130","74","104","0"
"publicpolygonfeature:5:59949","ZIP Code 78704","country:us/state:tx/zip:78704","78704","9575","2369","3005","717","621","0","675","171","209","30","114","0","328","95","201","132","96","0","517","270","309","8","28","0","849","82","306","38","62","0"
