"feature id","feature label","shid","geoid","Management, Business, Science, and Arts Occupations Commute by Drive Alone (2020-2024)","Service Occupations Commute by Drive Alone (2020-2024)","Sales and Office Occupations Commute by Drive Alone (2020-2024)","Natural Resources, Construction, and Maintenance Occupations Commute by Drive Alone (2020-2024)","Production, Transportation, and Material Moving Occupations Commute by Drive Alone (2020-2024)","Military Occupations Commute by Drive Alone (2020-2024)","Management, Business, Science, and Arts Occupations Commute by Drive Carpool (2020-2024)","Service Occupations Commute by Drive Carpool (2020-2024)","Sales and Office Occupations Commute by Drive Carpool (2020-2024)","Natural Resources, Construction, and Maintenance Occupations Commute by Drive Carpool (2020-2024)","Production, Transportation, and Material Moving Occupations Commute by Drive Carpool (2020-2024)","Military Occupations Commute by Drive Carpool (2020-2024)","Management, Business, Science, and Arts Occupations Commute by Public Transit (2020-2024)","Service Occupations Commute by Public Transit (2020-2024)","Sales and Office Occupations Commute by Public Transit (2020-2024)","Natural Resources, Construction, and Maintenance Occupations Commute by Public Transit (2020-2024)","Production, Transportation, and Material Moving Occupations Commute by Public Transit (2020-2024)","Military Occupations Commute by Public Transit (2020-2024)","Management, Business, Science, and Arts Occupations Commute by Walk (2020-2024)","Service Occupations Commute by Walk (2020-2024)","Sales and Office Occupations Commute by Walk (2020-2024)","Natural Resources, Construction, and Maintenance Occupations Commute by Walk (2020-2024)","Production, Transportation, and Material Moving Occupations Commute by Walk (2020-2024)","Military Occupations Commute by Walk (2020-2024)","Management, Business, Science, and Arts Occupations Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Service Occupations Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Sales and Office Occupations Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Natural Resources, Construction, and Maintenance Occupations Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Production, Transportation, and Material Moving Occupations Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Military Occupations Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)"
"publicpolygonfeature:5:39808","ZIP Code 28209","country:us/state:nc/zip:28209","28209","6191","811","1589","343","690","12","169","106","85","112","7","0","332","21","170","0","31","0","94","64","38","0","9","0","127","43","84","0","36","0"
"publicpolygonfeature:5:40060","ZIP Code 28210","country:us/state:nc/zip:28210","28210","7689","2110","3420","873","1589","4","591","475","282","1039","130","0","160","149","83","32","68","20","150","87","151","75","134","0","153","75","79","32","30","0"
"publicpolygonfeature:5:40123","ZIP Code 28211","country:us/state:nc/zip:28211","28211","6401","989","2084","507","824","38","390","95","134","11","14","0","100","62","16","0","80","0","110","64","110","12","18","0","87","47","38","7","29","0"
"publicpolygonfeature:5:40131","ZIP Code 28212","country:us/state:nc/zip:28212","28212","3187","2709","2220","2031","2397","0","317","695","671","993","596","0","81","328","35","36","29","0","25","9","12","0","52","0","83","97","37","141","1","0"
"publicpolygonfeature:5:40641","ZIP Code 28077","country:us/state:nc/zip:28077","28077","0","11","0","0","48","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:40772","ZIP Code 28213","country:us/state:nc/zip:28213","28213","5088","2041","3106","1042","1959","11","490","463","386","1037","324","0","156","34","39","66","131","0","10","137","119","0","0","0","71","13","92","32","31","0"
"publicpolygonfeature:5:40960","ZIP Code 28226","country:us/state:nc/zip:28226","28226","6687","1149","2301","768","930","6","563","333","252","63","190","0","54","0","13","16","0","0","21","0","16","0","9","0","112","16","18","0","15","0"
"publicpolygonfeature:5:41016","ZIP Code 27013","country:us/state:nc/zip:27013","27013","690","179","472","188","793","0","61","23","32","22","38","0","0","0","0","0","0","0","0","8","0","0","0","0","0","0","14","0","0","0"
"publicpolygonfeature:5:41042","ZIP Code 28081","country:us/state:nc/zip:28081","28081","3702","1931","2411","1506","2456","0","221","256","240","162","455","0","111","0","1","0","9","0","23","6","0","0","26","0","96","92","0","42","17","0"
"publicpolygonfeature:5:41046","ZIP Code 28083","country:us/state:nc/zip:28083","28083","3910","1050","2163","1087","2094","13","436","222","227","213","257","0","35","20","0","0","0","0","17","14","0","53","0","0","37","5","70","0","0","0"
