"feature id","feature label","shid","geoid","Management, Business, Science, and Arts Occupations Commute by Drive Alone (2020-2024)","Service Occupations Commute by Drive Alone (2020-2024)","Sales and Office Occupations Commute by Drive Alone (2020-2024)","Natural Resources, Construction, and Maintenance Occupations Commute by Drive Alone (2020-2024)","Production, Transportation, and Material Moving Occupations Commute by Drive Alone (2020-2024)","Military Occupations Commute by Drive Alone (2020-2024)","Management, Business, Science, and Arts Occupations Commute by Drive Carpool (2020-2024)","Service Occupations Commute by Drive Carpool (2020-2024)","Sales and Office Occupations Commute by Drive Carpool (2020-2024)","Natural Resources, Construction, and Maintenance Occupations Commute by Drive Carpool (2020-2024)","Production, Transportation, and Material Moving Occupations Commute by Drive Carpool (2020-2024)","Military Occupations Commute by Drive Carpool (2020-2024)","Management, Business, Science, and Arts Occupations Commute by Public Transit (2020-2024)","Service Occupations Commute by Public Transit (2020-2024)","Sales and Office Occupations Commute by Public Transit (2020-2024)","Natural Resources, Construction, and Maintenance Occupations Commute by Public Transit (2020-2024)","Production, Transportation, and Material Moving Occupations Commute by Public Transit (2020-2024)","Military Occupations Commute by Public Transit (2020-2024)","Management, Business, Science, and Arts Occupations Commute by Walk (2020-2024)","Service Occupations Commute by Walk (2020-2024)","Sales and Office Occupations Commute by Walk (2020-2024)","Natural Resources, Construction, and Maintenance Occupations Commute by Walk (2020-2024)","Production, Transportation, and Material Moving Occupations Commute by Walk (2020-2024)","Military Occupations Commute by Walk (2020-2024)","Management, Business, Science, and Arts Occupations Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Service Occupations Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Sales and Office Occupations Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Natural Resources, Construction, and Maintenance Occupations Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Production, Transportation, and Material Moving Occupations Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Military Occupations Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)"
"publicpolygonfeature:5:49363","ZIP Code 80206","country:us/state:co/zip:80206","80206","6003","659","1113","233","319","0","265","261","10","0","0","0","364","109","143","0","12","0","363","113","73","24","17","0","423","62","159","15","19","0"
"publicpolygonfeature:5:49399","ZIP Code 80207","country:us/state:co/zip:80207","80207","3965","734","908","462","527","15","271","111","68","0","29","0","123","79","60","33","57","0","86","70","55","0","0","0","206","36","62","80","68","0"
"publicpolygonfeature:5:54224","ZIP Code 80123","country:us/state:co/zip:80123","80123","7253","2268","2934","1180","1347","45","888","251","459","139","102","0","113","22","51","52","0","0","68","30","46","0","34","0","110","71","93","0","18","0"
"publicpolygonfeature:5:54261","ZIP Code 80124","country:us/state:co/zip:80124","80124","4430","522","1409","368","361","28","311","118","65","27","70","0","162","0","95","0","0","0","155","22","16","0","0","0","176","0","54","17","0","0"
"publicpolygonfeature:5:55559","ZIP Code 80209","country:us/state:co/zip:80209","80209","5802","766","1266","379","331","3","191","20","65","0","57","0","193","79","48","0","0","0","451","128","31","14","0","0","260","114","87","0","0","0"
"publicpolygonfeature:5:55648","ZIP Code 80210","country:us/state:co/zip:80210","80210","7633","1339","1500","170","733","38","506","223","189","52","101","0","732","74","248","0","2","0","442","334","214","0","52","0","345","88","74","22","50","0"
"publicpolygonfeature:5:55661","ZIP Code 80211","country:us/state:co/zip:80211","80211","8469","1100","2169","537","522","14","577","252","113","119","94","0","487","105","128","10","33","0","558","82","202","6","89","0","720","27","62","66","86","0"
"publicpolygonfeature:5:57224","ZIP Code 80219","country:us/state:co/zip:80219","80219","5283","4601","3784","5144","2235","0","526","275","495","270","349","18","209","462","129","89","270","0","48","87","26","0","20","0","296","121","91","0","36","0"
"publicpolygonfeature:5:57244","ZIP Code 80220","country:us/state:co/zip:80220","80220","7858","1726","1578","488","693","0","489","332","172","220","257","0","133","121","39","9","46","0","235","130","34","0","19","0","276","196","53","10","16","0"
"publicpolygonfeature:5:57249","ZIP Code 80221","country:us/state:co/zip:80221","80221","4297","2258","2570","2047","2645","0","417","577","316","502","286","0","94","107","250","54","23","0","127","151","145","12","56","0","68","30","125","25","61","0"
"publicpolygonfeature:5:57257","ZIP Code 80222","country:us/state:co/zip:80222","80222","4516","1161","1460","466","725","0","700","95","178","199","48","0","119","57","262","94","41","0","106","216","229","12","36","0","154","84","26","9","0","0"
"publicpolygonfeature:5:57292","ZIP Code 80231","country:us/state:co/zip:80231","80231","5738","1803","2797","978","1437","28","671","452","340","119","329","0","268","133","202","0","82","0","99","68","76","0","26","0","141","0","29","16","70","0"
"publicpolygonfeature:5:57329","ZIP Code 80232","country:us/state:co/zip:80232","80232","3270","1318","1974","1041","1185","0","134","190","93","46","55","0","41","41","101","0","66","0","9","60","0","0","53","0","37","7","40","0","0","0"
