"feature id","feature label","shid","geoid","Management, Business, Science, and Arts Occupations Commute by Drive Alone (2020-2024)","Service Occupations Commute by Drive Alone (2020-2024)","Sales and Office Occupations Commute by Drive Alone (2020-2024)","Natural Resources, Construction, and Maintenance Occupations Commute by Drive Alone (2020-2024)","Production, Transportation, and Material Moving Occupations Commute by Drive Alone (2020-2024)","Military Occupations Commute by Drive Alone (2020-2024)","Management, Business, Science, and Arts Occupations Commute by Drive Carpool (2020-2024)","Service Occupations Commute by Drive Carpool (2020-2024)","Sales and Office Occupations Commute by Drive Carpool (2020-2024)","Natural Resources, Construction, and Maintenance Occupations Commute by Drive Carpool (2020-2024)","Production, Transportation, and Material Moving Occupations Commute by Drive Carpool (2020-2024)","Military Occupations Commute by Drive Carpool (2020-2024)","Management, Business, Science, and Arts Occupations Commute by Public Transit (2020-2024)","Service Occupations Commute by Public Transit (2020-2024)","Sales and Office Occupations Commute by Public Transit (2020-2024)","Natural Resources, Construction, and Maintenance Occupations Commute by Public Transit (2020-2024)","Production, Transportation, and Material Moving Occupations Commute by Public Transit (2020-2024)","Military Occupations Commute by Public Transit (2020-2024)","Management, Business, Science, and Arts Occupations Commute by Walk (2020-2024)","Service Occupations Commute by Walk (2020-2024)","Sales and Office Occupations Commute by Walk (2020-2024)","Natural Resources, Construction, and Maintenance Occupations Commute by Walk (2020-2024)","Production, Transportation, and Material Moving Occupations Commute by Walk (2020-2024)","Military Occupations Commute by Walk (2020-2024)","Management, Business, Science, and Arts Occupations Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Service Occupations Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Sales and Office Occupations Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Natural Resources, Construction, and Maintenance Occupations Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Production, Transportation, and Material Moving Occupations Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Military Occupations Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)"
"publicpolygonfeature:5:47377","ZIP Code 46151","country:us/state:in/zip:46151","46151","4179","2015","2277","1581","2307","0","305","155","156","196","337","0","0","0","0","0","0","0","77","40","20","0","30","0","76","57","39","7","119","0"
"publicpolygonfeature:5:47551","ZIP Code 46001","country:us/state:in/zip:46001","46001","1758","854","685","432","891","0","133","30","125","61","62","0","0","0","0","0","0","0","11","1","17","0","12","0","0","0","25","0","1","0"
"publicpolygonfeature:5:47552","ZIP Code 46011","country:us/state:in/zip:46011","46011","2005","896","1189","727","869","0","244","96","100","48","130","0","7","0","12","0","13","0","0","5","2","0","0","0","7","0","12","5","0","0"
"publicpolygonfeature:5:47553","ZIP Code 46240","country:us/state:in/zip:46240","46240","4778","868","1538","366","543","0","259","90","94","97","96","0","0","2","0","0","0","0","52","0","8","47","0","0","4","34","27","0","7","0"
"publicpolygonfeature:5:47559","ZIP Code 46012","country:us/state:in/zip:46012","46012","2472","1618","1482","631","1399","0","222","261","80","164","109","0","0","12","0","0","2","0","46","132","43","9","21","0","96","60","17","8","0","0"
"publicpolygonfeature:5:47560","ZIP Code 46013","country:us/state:in/zip:46013","46013","2405","1168","1272","606","1218","0","110","211","195","176","141","0","0","19","6","0","0","0","9","33","17","0","0","0","25","107","0","0","65","0"
"publicpolygonfeature:5:47561","ZIP Code 46016","country:us/state:in/zip:46016","46016","884","1138","799","506","1547","0","58","454","281","107","291","0","13","20","0","0","21","0","19","28","10","0","71","0","7","71","9","12","103","0"
"publicpolygonfeature:5:47562","ZIP Code 46017","country:us/state:in/zip:46017","46017","593","328","363","259","344","0","41","123","58","13","47","0","0","0","1","0","0","0","4","0","7","0","16","0","0","0","0","0","0","0"
"publicpolygonfeature:5:47563","ZIP Code 46030","country:us/state:in/zip:46030","46030","450","179","177","108","113","0","83","0","34","0","3","0","0","0","0","0","0","0","2","0","13","0","0","0","5","8","0","0","0","0"
"publicpolygonfeature:5:47564","ZIP Code 46268","country:us/state:in/zip:46268","46268","3931","1700","2277","676","2100","0","555","218","161","15","283","0","44","47","0","26","20","0","16","33","11","27","66","0","13","127","18","0","18","0"
"publicpolygonfeature:5:47565","ZIP Code 46031","country:us/state:in/zip:46031","46031","394","141","172","153","168","0","10","15","7","32","6","0","0","0","0","0","2","0","0","0","0","3","0","0","2","0","0","0","0","0"
"publicpolygonfeature:5:47566","ZIP Code 46032","country:us/state:in/zip:46032","46032","11810","1685","3292","371","983","0","434","173","231","76","76","0","5","8","0","0","0","0","113","60","40","21","30","0","215","24","23","0","9","0"
"publicpolygonfeature:5:47567","ZIP Code 46033","country:us/state:in/zip:46033","46033","8626","1470","2545","573","795","38","533","238","143","47","99","0","5","0","0","0","0","0","236","0","111","0","0","0","41","0","48","92","6","0"
"publicpolygonfeature:5:47568","ZIP Code 46034","country:us/state:in/zip:46034","46034","1661","477","503","227","237","0","42","83","17","25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","28","0","0","0","0","0"
"publicpolygonfeature:5:47569","ZIP Code 46035","country:us/state:in/zip:46035","46035","87","70","38","81","270","0","2","12","5","0","12","0","0","0","0","0","0","0","5","0","3","0","0","0","0","0","0","5","0","0"
"publicpolygonfeature:5:47571","ZIP Code 46036","country:us/state:in/zip:46036","46036","956","793","765","509","1205","25","128","149","118","105","242","0","0","0","0","0","0","0","15","0","0","0","0","0","9","0","0","0","26","0"
"publicpolygonfeature:5:47572","ZIP Code 46037","country:us/state:in/zip:46037","46037","9296","1279","3698","532","1162","112","564","56","367","39","209","14","0","0","0","0","0","0","30","17","47","0","0","0","108","32","71","0","15","0"
"publicpolygonfeature:5:47573","ZIP Code 46038","country:us/state:in/zip:46038","46038","9477","2133","2909","619","1442","59","776","257","248","89","212","0","0","0","0","0","0","0","20","19","40","0","0","0","134","50","29","0","96","0"
"publicpolygonfeature:5:47575","ZIP Code 46040","country:us/state:in/zip:46040","46040","2821","691","1234","458","786","0","105","192","193","34","95","0","0","0","0","0","0","0","0","29","22","0","17","90","52","0","0","0","19","0"
"publicpolygonfeature:5:47577","ZIP Code 46044","country:us/state:in/zip:46044","46044","330","100","242","169","222","0","16","61","13","2","22","0","15","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","1","0"
"publicpolygonfeature:5:47578","ZIP Code 46045","country:us/state:in/zip:46045","46045","3","0","5","0","43","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:47579","ZIP Code 46047","country:us/state:in/zip:46047","46047","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:47580","ZIP Code 46048","country:us/state:in/zip:46048","46048","235","102","57","44","188","0","19","65","0","6","7","0","0","0","0","0","15","0","3","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:47581","ZIP Code 46049","country:us/state:in/zip:46049","46049","74","44","21","49","74","0","2","10","0","0","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0"
"publicpolygonfeature:5:47582","ZIP Code 46278","country:us/state:in/zip:46278","46278","2143","544","346","101","198","0","42","68","26","0","37","0","0","0","0","0","0","0","0","0","41","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:47583","ZIP Code 46050","country:us/state:in/zip:46050","46050","259","128","165","85","133","0","3","2","28","12","20","0","0","0","0","0","0","0","1","0","0","0","1","0","4","0","0","0","0","0"
"publicpolygonfeature:5:47584","ZIP Code 46051","country:us/state:in/zip:46051","46051","442","164","316","158","103","0","12","8","22","8","0","0","0","0","0","7","0","0","17","29","0","0","0","0","0","0","7","0","0","0"
"publicpolygonfeature:5:47585","ZIP Code 46052","country:us/state:in/zip:46052","46052","3425","1337","1982","762","1983","0","332","183","263","22","258","0","0","0","0","0","10","0","5","28","0","0","0","0","17","39","21","0","0","0"
"publicpolygonfeature:5:47587","ZIP Code 46055","country:us/state:in/zip:46055","46055","3086","739","1434","256","580","0","234","154","62","73","19","0","0","0","0","0","0","0","0","202","0","0","0","0","17","0","15","0","79","0"
