"feature id","feature label","shid","geoid","Management, Business, Science, and Arts Occupations Commute by Drive Alone (2020-2024)","Service Occupations Commute by Drive Alone (2020-2024)","Sales and Office Occupations Commute by Drive Alone (2020-2024)","Natural Resources, Construction, and Maintenance Occupations Commute by Drive Alone (2020-2024)","Production, Transportation, and Material Moving Occupations Commute by Drive Alone (2020-2024)","Military Occupations Commute by Drive Alone (2020-2024)","Management, Business, Science, and Arts Occupations Commute by Drive Carpool (2020-2024)","Service Occupations Commute by Drive Carpool (2020-2024)","Sales and Office Occupations Commute by Drive Carpool (2020-2024)","Natural Resources, Construction, and Maintenance Occupations Commute by Drive Carpool (2020-2024)","Production, Transportation, and Material Moving Occupations Commute by Drive Carpool (2020-2024)","Military Occupations Commute by Drive Carpool (2020-2024)","Management, Business, Science, and Arts Occupations Commute by Public Transit (2020-2024)","Service Occupations Commute by Public Transit (2020-2024)","Sales and Office Occupations Commute by Public Transit (2020-2024)","Natural Resources, Construction, and Maintenance Occupations Commute by Public Transit (2020-2024)","Production, Transportation, and Material Moving Occupations Commute by Public Transit (2020-2024)","Military Occupations Commute by Public Transit (2020-2024)","Management, Business, Science, and Arts Occupations Commute by Walk (2020-2024)","Service Occupations Commute by Walk (2020-2024)","Sales and Office Occupations Commute by Walk (2020-2024)","Natural Resources, Construction, and Maintenance Occupations Commute by Walk (2020-2024)","Production, Transportation, and Material Moving Occupations Commute by Walk (2020-2024)","Military Occupations Commute by Walk (2020-2024)","Management, Business, Science, and Arts Occupations Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Service Occupations Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Sales and Office Occupations Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Natural Resources, Construction, and Maintenance Occupations Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Production, Transportation, and Material Moving Occupations Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Military Occupations Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)"
"publicpolygonfeature:5:41095","ZIP Code 32202","country:us/state:fl/zip:32202","32202","431","161","129","33","58","0","38","0","17","0","0","13","21","3","45","0","8","0","33","265","41","20","15","0","0","4","33","0","10","0"
"publicpolygonfeature:5:41100","ZIP Code 32204","country:us/state:fl/zip:32204","32204","1721","422","670","238","312","85","124","116","57","31","59","19","0","15","0","0","0","0","32","0","53","0","0","0","78","67","35","13","0","0"
"publicpolygonfeature:5:41113","ZIP Code 32205","country:us/state:fl/zip:32205","32205","5089","1316","2251","918","1472","107","372","90","176","76","282","0","0","178","37","0","0","0","44","95","74","69","13","0","269","92","20","25","100","0"
"publicpolygonfeature:5:41181","ZIP Code 32206","country:us/state:fl/zip:32206","32206","1332","685","1089","265","837","12","145","263","152","136","335","0","51","141","85","74","23","0","18","27","7","0","9","0","92","24","64","134","60","0"
"publicpolygonfeature:5:41191","ZIP Code 32207","country:us/state:fl/zip:32207","32207","5589","1978","2365","996","1752","9","638","286","392","156","359","0","15","56","0","0","2","0","218","16","50","2","9","0","223","332","29","73","72","0"
"publicpolygonfeature:5:41305","ZIP Code 32208","country:us/state:fl/zip:32208","32208","2347","2025","2107","785","1799","16","373","308","497","118","225","0","292","76","108","12","53","0","125","3","0","0","61","0","43","79","44","31","67","0"
"publicpolygonfeature:5:41320","ZIP Code 32209","country:us/state:fl/zip:32209","32209","1611","1788","1696","583","2010","6","216","469","426","62","243","0","29","227","504","29","130","0","44","78","27","97","6","0","33","86","147","0","64","0"
"publicpolygonfeature:5:42938","ZIP Code 32065","country:us/state:fl/zip:32065","32065","5078","1966","3717","1155","2384","67","540","360","531","142","54","0","0","0","0","0","0","0","19","80","8","0","4","0","84","40","1","26","35","58"
"publicpolygonfeature:5:42941","ZIP Code 32072","country:us/state:fl/zip:32072","32072","0","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:42945","ZIP Code 32073","country:us/state:fl/zip:32073","32073","6469","2990","3163","1261","2283","131","324","317","485","165","268","0","29","2","2","0","0","0","41","30","0","0","131","0","55","250","126","0","33","0"
"publicpolygonfeature:5:42946","ZIP Code 32079","country:us/state:fl/zip:32079","32079","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","6","0","0","0"
"publicpolygonfeature:5:42950","ZIP Code 32080","country:us/state:fl/zip:32080","32080","3134","840","810","415","373","0","376","146","172","13","56","0","0","0","0","0","0","0","50","35","9","0","0","0","169","68","44","0","29","0"
"publicpolygonfeature:5:42951","ZIP Code 32081","country:us/state:fl/zip:32081","32081","3399","511","1313","363","282","0","245","92","9","0","100","0","0","0","0","0","0","0","0","0","0","0","0","0","301","0","0","0","52","0"
"publicpolygonfeature:5:42953","ZIP Code 32082","country:us/state:fl/zip:32082","32082","4943","1173","2129","188","298","3","187","60","28","66","31","0","0","0","0","0","0","0","130","0","41","0","12","0","70","58","16","0","16","0"
"publicpolygonfeature:5:42967","ZIP Code 32084","country:us/state:fl/zip:32084","32084","4161","3211","2415","1153","970","0","477","154","602","96","216","0","0","0","0","0","0","15","114","115","56","55","61","0","34","67","153","201","179","0"
"publicpolygonfeature:5:42981","ZIP Code 32086","country:us/state:fl/zip:32086","32086","4048","2127","2622","905","1048","14","372","869","201","114","608","0","0","21","4","52","0","0","0","0","0","0","0","0","111","103","134","25","48","0"
"publicpolygonfeature:5:42990","ZIP Code 32210","country:us/state:fl/zip:32210","32210","7173","4610","4875","2386","4296","88","414","767","747","283","640","17","49","257","53","2","44","0","46","51","16","0","8","0","435","233","178","324","245","0"
"publicpolygonfeature:5:42992","ZIP Code 32211","country:us/state:fl/zip:32211","32211","3568","2418","2753","1388","1420","205","478","819","223","110","200","0","31","52","58","0","96","0","0","30","0","51","0","0","14","155","73","53","239","0"
"publicpolygonfeature:5:42993","ZIP Code 32212","country:us/state:fl/zip:32212","32212","136","86","8","221","147","337","2","8","0","19","11","57","0","0","0","0","0","0","19","39","0","121","44","259","0","8","0","0","0","0"
"publicpolygonfeature:5:42997","ZIP Code 32216","country:us/state:fl/zip:32216","32216","5157","2177","3003","1448","2431","225","450","402","383","63","283","0","0","12","4","51","0","0","142","26","100","20","11","0","190","115","186","76","0","0"
"publicpolygonfeature:5:43001","ZIP Code 32217","country:us/state:fl/zip:32217","32217","3007","791","1972","598","796","0","134","122","99","101","81","0","8","107","84","0","0","0","5","0","18","0","0","0","25","173","28","0","126","0"
"publicpolygonfeature:5:43007","ZIP Code 32223","country:us/state:fl/zip:32223","32223","4073","1202","1702","747","546","89","438","37","240","83","63","0","26","30","0","0","0","0","53","0","43","14","0","0","157","63","30","30","16","0"
"publicpolygonfeature:5:43011","ZIP Code 32254","country:us/state:fl/zip:32254","32254","833","862","946","386","804","0","140","166","62","23","251","0","0","113","35","0","41","0","18","51","100","44","46","0","9","85","0","0","13","0"
"publicpolygonfeature:5:43013","ZIP Code 32256","country:us/state:fl/zip:32256","32256","11574","3822","5540","1246","2333","173","834","231","488","127","210","17","17","13","18","0","2","0","34","0","18","195","56","0","142","317","218","138","105","0"
"publicpolygonfeature:5:43015","ZIP Code 32257","country:us/state:fl/zip:32257","32257","6322","2301","3289","1443","1410","73","773","642","581","273","121","0","0","0","0","41","0","0","44","11","58","10","128","0","138","60","73","58","145","9"
"publicpolygonfeature:5:43016","ZIP Code 32258","country:us/state:fl/zip:32258","32258","7265","1461","2867","1842","1787","226","301","198","267","63","131","35","0","0","0","0","0","0","0","0","268","0","0","0","103","20","22","0","15","0"
"publicpolygonfeature:5:43018","ZIP Code 32259","country:us/state:fl/zip:32259","32259","12285","3131","6160","766","1127","112","566","241","218","154","101","0","0","0","0","0","0","0","139","14","46","0","0","0","166","86","64","12","14","0"
"publicpolygonfeature:5:43019","ZIP Code 32266","country:us/state:fl/zip:32266","32266","1396","491","683","169","182","0","58","71","75","14","0","0","0","0","0","0","0","0","12","0","0","0","0","0","66","0","0","0","0","0"
"publicpolygonfeature:5:43041","ZIP Code 32277","country:us/state:fl/zip:32277","32277","3527","1292","2531","1080","1546","327","873","583","338","359","880","0","90","34","34","0","51","0","104","78","97","0","0","0","39","124","277","0","191","0"
"publicpolygonfeature:5:43047","ZIP Code 32145","country:us/state:fl/zip:32145","32145","461","318","442","499","132","0","128","13","16","315","3","0","0","3","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:43189","ZIP Code 32003","country:us/state:fl/zip:32003","32003","5022","1261","1819","558","482","281","683","55","92","87","76","0","10","0","0","0","0","0","0","0","0","0","0","29","106","333","9","10","66","0"
"publicpolygonfeature:5:43196","ZIP Code 32009","country:us/state:fl/zip:32009","32009","661","120","332","307","322","0","19","0","0","0","0","0","0","0","0","0","0","0","22","0","49","0","0","0","0","40","0","9","0","0"
"publicpolygonfeature:5:43200","ZIP Code 32011","country:us/state:fl/zip:32011","32011","1863","843","1100","847","782","21","174","82","68","77","160","0","0","0","0","0","0","0","0","33","9","0","0","0","20","8","0","29","0","0"
"publicpolygonfeature:5:43201","ZIP Code 32033","country:us/state:fl/zip:32033","32033","422","260","421","99","116","0","0","30","88","0","45","0","0","0","0","0","0","0","17","0","21","21","0","0","19","0","0","0","0","0"
"publicpolygonfeature:5:43202","ZIP Code 32034","country:us/state:fl/zip:32034","32034","5219","1913","2697","1158","1398","87","380","277","118","47","152","0","0","0","0","0","0","0","43","23","47","0","0","0","71","38","33","9","39","0"
"publicpolygonfeature:5:43206","ZIP Code 32040","country:us/state:fl/zip:32040","32040","1233","1111","448","552","646","0","3","42","0","49","22","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:43208","ZIP Code 32043","country:us/state:fl/zip:32043","32043","3957","2118","2801","1228","1140","266","510","226","184","420","123","0","0","1","0","42","0","0","19","16","42","91","10","0","69","212","149","0","121","0"
"publicpolygonfeature:5:43210","ZIP Code 32046","country:us/state:fl/zip:32046","32046","1074","555","970","596","681","0","52","8","81","21","14","0","0","0","0","0","0","0","19","0","8","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:43218","ZIP Code 32063","country:us/state:fl/zip:32063","32063","1516","582","778","342","969","0","410","142","172","88","171","0","0","0","0","0","0","0","0","231","107","6","0","0","72","42","0","31","36","0"
