"feature id","feature label","shid","geoid","Management, Business, Science, and Arts Occupations Commute by Drive Alone (2020-2024)","Service Occupations Commute by Drive Alone (2020-2024)","Sales and Office Occupations Commute by Drive Alone (2020-2024)","Natural Resources, Construction, and Maintenance Occupations Commute by Drive Alone (2020-2024)","Production, Transportation, and Material Moving Occupations Commute by Drive Alone (2020-2024)","Military Occupations Commute by Drive Alone (2020-2024)","Management, Business, Science, and Arts Occupations Commute by Drive Carpool (2020-2024)","Service Occupations Commute by Drive Carpool (2020-2024)","Sales and Office Occupations Commute by Drive Carpool (2020-2024)","Natural Resources, Construction, and Maintenance Occupations Commute by Drive Carpool (2020-2024)","Production, Transportation, and Material Moving Occupations Commute by Drive Carpool (2020-2024)","Military Occupations Commute by Drive Carpool (2020-2024)","Management, Business, Science, and Arts Occupations Commute by Public Transit (2020-2024)","Service Occupations Commute by Public Transit (2020-2024)","Sales and Office Occupations Commute by Public Transit (2020-2024)","Natural Resources, Construction, and Maintenance Occupations Commute by Public Transit (2020-2024)","Production, Transportation, and Material Moving Occupations Commute by Public Transit (2020-2024)","Military Occupations Commute by Public Transit (2020-2024)","Management, Business, Science, and Arts Occupations Commute by Walk (2020-2024)","Service Occupations Commute by Walk (2020-2024)","Sales and Office Occupations Commute by Walk (2020-2024)","Natural Resources, Construction, and Maintenance Occupations Commute by Walk (2020-2024)","Production, Transportation, and Material Moving Occupations Commute by Walk (2020-2024)","Military Occupations Commute by Walk (2020-2024)","Management, Business, Science, and Arts Occupations Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Service Occupations Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Sales and Office Occupations Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Natural Resources, Construction, and Maintenance Occupations Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Production, Transportation, and Material Moving Occupations Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Military Occupations Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)"
"publicpolygonfeature:5:35000","ZIP Code 33009","country:us/state:fl/zip:33009","33009","4530","3190","2875","1398","1946","0","481","604","295","120","399","0","263","196","134","48","44","0","125","299","223","0","53","0","301","377","52","38","69","0"
"publicpolygonfeature:5:35288","ZIP Code 33010","country:us/state:fl/zip:33010","33010","2958","2654","2520","1559","2915","0","347","587","403","294","443","0","121","27","72","117","96","0","27","142","153","14","30","0","39","302","172","79","144","0"
"publicpolygonfeature:5:36789","ZIP Code 33012","country:us/state:fl/zip:33012","33012","5785","4268","6178","2916","5064","0","1128","673","1170","558","885","0","225","91","138","36","26","0","28","123","125","0","198","0","181","147","60","168","108","0"
"publicpolygonfeature:5:36822","ZIP Code 33013","country:us/state:fl/zip:33013","33013","2200","2644","2171","1529","2392","0","268","236","191","168","320","0","61","18","46","18","18","0","66","51","38","0","14","0","32","63","68","35","21","0"
"publicpolygonfeature:5:36951","ZIP Code 33014","country:us/state:fl/zip:33014","33014","5851","2730","3445","1835","3234","71","636","532","585","175","338","0","48","136","40","124","0","0","108","102","45","44","0","0","112","78","57","69","215","0"
"publicpolygonfeature:5:36956","ZIP Code 33015","country:us/state:fl/zip:33015","33015","10584","4489","7638","2621","3412","0","991","607","649","324","642","11","150","125","157","0","0","0","0","96","78","16","48","0","247","151","170","134","225","0"
"publicpolygonfeature:5:36968","ZIP Code 33016","country:us/state:fl/zip:33016","33016","5055","2939","3744","1567","3185","0","859","395","630","261","577","0","0","94","47","12","0","0","54","8","102","7","58","0","63","8","0","120","0","0"
"publicpolygonfeature:5:36976","ZIP Code 33018","country:us/state:fl/zip:33018","33018","8281","3579","5863","2813","3558","0","1095","816","599","170","370","0","34","11","60","11","19","0","62","42","0","0","0","0","135","67","12","2","8","0"
"publicpolygonfeature:5:39367","ZIP Code 33019","country:us/state:fl/zip:33019","33019","2052","443","848","288","293","0","100","81","187","40","45","0","24","24","0","0","0","0","25","0","24","0","0","0","16","43","27","22","24","0"
"publicpolygonfeature:5:39380","ZIP Code 33020","country:us/state:fl/zip:33020","33020","4658","3314","4078","1740","2073","0","485","380","840","335","356","0","161","493","181","131","226","0","73","219","232","40","35","0","428","606","209","170","119","0"
"publicpolygonfeature:5:39385","ZIP Code 33021","country:us/state:fl/zip:33021","33021","6873","3322","3312","1500","1937","0","757","396","380","331","163","0","57","88","43","53","31","0","93","324","32","0","0","13","306","212","321","5","346","0"
"publicpolygonfeature:5:39392","ZIP Code 33023","country:us/state:fl/zip:33023","33023","7202","6159","6302","2976","3997","12","899","405","969","485","663","0","142","485","328","0","267","0","8","70","213","37","30","0","175","112","278","0","268","0"
"publicpolygonfeature:5:39419","ZIP Code 33024","country:us/state:fl/zip:33024","33024","9003","6047","6908","3123","2896","37","1665","1149","568","707","588","0","105","30","144","0","16","0","61","153","17","34","19","0","255","227","311","77","179","0"
"publicpolygonfeature:5:39425","ZIP Code 33025","country:us/state:fl/zip:33025","33025","11407","6359","7152","2955","3442","0","1539","581","1099","156","362","0","237","307","75","0","42","0","102","193","122","31","16","0","252","89","174","3","62","0"
"publicpolygonfeature:5:39437","ZIP Code 33026","country:us/state:fl/zip:33026","33026","4636","1961","2812","1052","1089","24","496","173","377","41","59","27","0","0","0","0","0","0","0","7","53","0","0","0","69","35","87","0","22","0"
"publicpolygonfeature:5:39438","ZIP Code 33027","country:us/state:fl/zip:33027","33027","11539","4671","4511","1467","2041","13","1053","104","453","102","110","0","200","90","125","15","0","0","19","137","0","8","31","0","342","81","163","0","100","0"
"publicpolygonfeature:5:39439","ZIP Code 33028","country:us/state:fl/zip:33028","33028","5455","1521","2216","335","1020","134","838","410","418","30","33","0","0","0","52","0","0","0","27","0","11","0","0","0","43","0","73","0","87","0"
"publicpolygonfeature:5:39445","ZIP Code 33029","country:us/state:fl/zip:33029","33029","8302","1873","3680","469","729","41","1113","274","774","74","138","0","91","0","0","0","0","0","68","90","30","0","0","0","59","57","105","25","68","0"
"publicpolygonfeature:5:39605","ZIP Code 33160","country:us/state:fl/zip:33160","33160","5308","1819","2755","440","1151","0","519","221","249","225","164","0","128","280","111","62","74","0","102","102","198","0","56","0","290","28","224","102","189","0"
"publicpolygonfeature:5:39623","ZIP Code 33161","country:us/state:fl/zip:33161","33161","4451","4770","3729","1797","2754","14","434","549","539","256","253","0","229","1108","204","150","235","0","209","222","184","0","69","0","186","169","196","53","301","0"
"publicpolygonfeature:5:39641","ZIP Code 33162","country:us/state:fl/zip:33162","33162","3938","4215","2620","1046","2215","0","520","880","598","189","346","0","142","600","341","42","209","0","30","57","51","0","20","0","259","160","305","42","95","0"
"publicpolygonfeature:5:39827","ZIP Code 33165","country:us/state:fl/zip:33165","33165","6489","4134","4737","1973","1986","0","663","531","680","338","130","0","42","161","31","13","60","0","72","37","49","0","0","0","148","126","91","24","20","0"
"publicpolygonfeature:5:39831","ZIP Code 33166","country:us/state:fl/zip:33166","33166","4271","1451","2480","590","1691","0","721","684","250","31","134","0","47","31","23","2","0","0","169","90","114","0","27","0","103","61","105","40","51","0"
