"feature id","feature label","shid","geoid","Management, Business, Science, and Arts Occupations Commute by Drive Alone (2020-2024)","Service Occupations Commute by Drive Alone (2020-2024)","Sales and Office Occupations Commute by Drive Alone (2020-2024)","Natural Resources, Construction, and Maintenance Occupations Commute by Drive Alone (2020-2024)","Production, Transportation, and Material Moving Occupations Commute by Drive Alone (2020-2024)","Military Occupations Commute by Drive Alone (2020-2024)","Management, Business, Science, and Arts Occupations Commute by Drive Carpool (2020-2024)","Service Occupations Commute by Drive Carpool (2020-2024)","Sales and Office Occupations Commute by Drive Carpool (2020-2024)","Natural Resources, Construction, and Maintenance Occupations Commute by Drive Carpool (2020-2024)","Production, Transportation, and Material Moving Occupations Commute by Drive Carpool (2020-2024)","Military Occupations Commute by Drive Carpool (2020-2024)","Management, Business, Science, and Arts Occupations Commute by Public Transit (2020-2024)","Service Occupations Commute by Public Transit (2020-2024)","Sales and Office Occupations Commute by Public Transit (2020-2024)","Natural Resources, Construction, and Maintenance Occupations Commute by Public Transit (2020-2024)","Production, Transportation, and Material Moving Occupations Commute by Public Transit (2020-2024)","Military Occupations Commute by Public Transit (2020-2024)","Management, Business, Science, and Arts Occupations Commute by Walk (2020-2024)","Service Occupations Commute by Walk (2020-2024)","Sales and Office Occupations Commute by Walk (2020-2024)","Natural Resources, Construction, and Maintenance Occupations Commute by Walk (2020-2024)","Production, Transportation, and Material Moving Occupations Commute by Walk (2020-2024)","Military Occupations Commute by Walk (2020-2024)","Management, Business, Science, and Arts Occupations Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Service Occupations Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Sales and Office Occupations Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Natural Resources, Construction, and Maintenance Occupations Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Production, Transportation, and Material Moving Occupations Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Military Occupations Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)"
"publicpolygonfeature:5:39476","ZIP Code 32798","country:us/state:fl/zip:32798","32798","331","87","276","69","142","0","77","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:39865","ZIP Code 32801","country:us/state:fl/zip:32801","32801","4878","790","934","100","336","0","237","0","0","0","0","0","77","0","33","0","0","0","359","37","297","0","10","0","145","53","0","0","0","0"
"publicpolygonfeature:5:41020","ZIP Code 34737","country:us/state:fl/zip:34737","34737","834","393","182","131","121","0","51","9","19","44","12","0","0","0","4","0","0","0","18","0","6","6","0","0","12","9","11","0","0","0"
"publicpolygonfeature:5:41026","ZIP Code 34756","country:us/state:fl/zip:34756","34756","755","361","191","72","205","0","30","27","34","0","7","0","0","0","0","0","11","0","26","0","0","0","0","0","44","28","0","0","3","0"
"publicpolygonfeature:5:41035","ZIP Code 34758","country:us/state:fl/zip:34758","34758","3532","4421","3197","1649","3413","0","599","889","621","85","245","0","0","24","0","0","0","0","0","23","0","0","0","0","12","37","304","27","41","0"
"publicpolygonfeature:5:42179","ZIP Code 32803","country:us/state:fl/zip:32803","32803","5740","1221","1789","345","433","0","347","71","24","0","17","0","12","29","0","25","37","0","103","0","34","0","8","0","198","59","147","0","0","0"
"publicpolygonfeature:5:42277","ZIP Code 32804","country:us/state:fl/zip:32804","32804","5336","937","2094","155","378","0","39","79","81","0","55","0","0","15","0","6","49","0","127","28","51","0","0","0","24","93","24","0","24","0"
"publicpolygonfeature:5:42303","ZIP Code 32805","country:us/state:fl/zip:32805","32805","1566","1578","955","537","1390","0","111","376","307","51","96","0","100","392","91","0","125","0","0","0","25","17","42","0","95","124","6","0","7","0"
"publicpolygonfeature:5:42308","ZIP Code 32806","country:us/state:fl/zip:32806","32806","5549","1361","2167","705","670","4","246","173","139","68","167","0","146","4","0","0","0","0","54","0","0","15","0","0","148","37","79","0","109","0"
"publicpolygonfeature:5:42464","ZIP Code 32807","country:us/state:fl/zip:32807","32807","3869","2442","2857","1692","1748","23","547","895","533","591","554","29","140","204","14","216","2","0","51","113","73","35","15","0","129","100","71","49","18","0"
"publicpolygonfeature:5:42486","ZIP Code 32808","country:us/state:fl/zip:32808","32808","3794","5568","3675","2030","3642","0","527","763","470","313","413","0","148","530","206","0","65","0","10","50","131","67","0","0","199","311","121","194","193","0"
"publicpolygonfeature:5:42510","ZIP Code 32809","country:us/state:fl/zip:32809","32809","2237","2008","1633","1180","1590","0","122","1019","334","461","135","0","34","296","40","14","47","0","0","49","84","42","16","0","111","72","52","27","180","0"
"publicpolygonfeature:5:42583","ZIP Code 32810","country:us/state:fl/zip:32810","32810","4389","3128","2427","1603","1303","0","480","389","231","439","340","0","0","65","115","0","3","0","80","0","265","0","284","0","69","129","22","0","120","0"
"publicpolygonfeature:5:42590","ZIP Code 32811","country:us/state:fl/zip:32811","32811","3356","3136","3137","923","2543","22","942","888","790","315","281","45","28","107","200","38","114","0","0","149","0","0","33","0","73","252","191","25","32","0"
"publicpolygonfeature:5:42669","ZIP Code 32812","country:us/state:fl/zip:32812","32812","5046","2646","2748","988","1652","225","349","389","405","185","200","0","0","2","122","0","0","0","0","0","78","0","0","0","55","40","101","0","72","0"
"publicpolygonfeature:5:42672","ZIP Code 32814","country:us/state:fl/zip:32814","32814","2277","370","512","34","218","0","179","30","0","9","0","0","16","0","0","0","0","0","173","4","5","0","0","0","12","0","0","0","0","0"
"publicpolygonfeature:5:42694","ZIP Code 32817","country:us/state:fl/zip:32817","32817","5020","3464","3122","652","1755","11","455","437","270","354","158","0","78","26","7","38","34","0","106","33","51","0","6","0","70","81","82","17","23","0"
"publicpolygonfeature:5:42739","ZIP Code 32818","country:us/state:fl/zip:32818","32818","4664","6091","3380","1421","3163","0","626","1289","417","123","647","0","38","640","277","276","164","0","59","113","25","61","65","0","167","197","133","140","312","0"
"publicpolygonfeature:5:42754","ZIP Code 32819","country:us/state:fl/zip:32819","32819","5160","2328","1951","579","1133","25","492","345","105","75","68","0","65","36","0","0","0","0","129","119","42","0","6","0","97","47","137","24","42","0"
"publicpolygonfeature:5:42764","ZIP Code 32820","country:us/state:fl/zip:32820","32820","1723","684","683","329","192","0","228","13","42","460","8","0","0","19","0","0","0","0","0","0","133","0","0","0","129","82","42","0","0","0"
"publicpolygonfeature:5:42777","ZIP Code 32821","country:us/state:fl/zip:32821","32821","3802","2582","2059","638","1212","0","402","515","531","43","265","0","0","0","0","33","7","0","249","96","10","0","13","0","157","14","11","0","0","0"
"publicpolygonfeature:5:42802","ZIP Code 32822","country:us/state:fl/zip:32822","32822","6656","4730","4418","2715","6020","0","1137","684","961","330","686","0","43","83","197","0","135","0","0","124","45","25","15","0","45","340","257","0","200","0"
"publicpolygonfeature:5:42808","ZIP Code 32824","country:us/state:fl/zip:32824","32824","7423","4379","4855","1641","3543","0","1387","636","613","240","375","0","64","18","79","225","41","0","20","93","175","27","0","0","0","94","51","34","13","0"
"publicpolygonfeature:5:42878","ZIP Code 32825","country:us/state:fl/zip:32825","32825","9282","5078","4919","1791","2614","61","1199","492","737","111","495","0","0","158","27","0","14","0","129","109","0","34","39","0","249","40","157","0","63","0"
"publicpolygonfeature:5:42906","ZIP Code 32826","country:us/state:fl/zip:32826","32826","4233","2324","2169","506","758","0","187","366","158","74","21","0","112","20","24","0","0","0","136","121","52","11","0","0","106","115","16","0","0","0"
"publicpolygonfeature:5:42986","ZIP Code 32827","country:us/state:fl/zip:32827","32827","3074","819","1108","311","846","0","536","0","56","0","0","0","0","42","0","0","0","0","151","0","0","0","0","0","29","62","51","0","19","0"
"publicpolygonfeature:5:43058","ZIP Code 32828","country:us/state:fl/zip:32828","32828","12845","3795","4977","1062","2258","107","880","569","670","117","260","0","0","0","5","0","0","0","85","21","0","19","5","0","94","50","142","0","79","0"
"publicpolygonfeature:5:43065","ZIP Code 32829","country:us/state:fl/zip:32829","32829","3207","1283","2205","591","885","0","546","155","394","31","152","0","0","0","0","0","0","0","14","0","0","0","0","0","86","79","61","0","30","0"
"publicpolygonfeature:5:43100","ZIP Code 32830","country:us/state:fl/zip:32830","32830","170","0","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:43105","ZIP Code 32831","country:us/state:fl/zip:32831","32831","17","27","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:43116","ZIP Code 32832","country:us/state:fl/zip:32832","32832","7532","1991","2832","696","1754","27","1028","255","435","117","73","0","0","0","32","0","0","0","16","70","21","0","0","0","137","43","0","0","334","0"
"publicpolygonfeature:5:43119","ZIP Code 32833","country:us/state:fl/zip:32833","32833","1647","288","646","285","627","0","183","58","72","103","15","0","0","112","0","0","8","0","28","14","0","0","0","0","37","32","0","0","0","0"
"publicpolygonfeature:5:43128","ZIP Code 32835","country:us/state:fl/zip:32835","32835","6578","3855","3278","1776","1364","0","795","1272","692","364","286","0","296","164","99","0","0","0","25","94","126","0","0","0","179","432","203","9","98","0"
"publicpolygonfeature:5:43161","ZIP Code 32836","country:us/state:fl/zip:32836","32836","3455","1441","1517","383","618","0","327","186","160","194","156","0","0","79","0","0","0","0","92","134","0","0","33","0","181","24","0","16","0","0"
"publicpolygonfeature:5:43165","ZIP Code 32837","country:us/state:fl/zip:32837","32837","7390","3759","4240","1146","2284","0","872","609","715","258","613","0","83","0","61","0","0","0","97","155","108","0","30","0","345","108","166","73","396","0"
"publicpolygonfeature:5:43169","ZIP Code 32839","country:us/state:fl/zip:32839","32839","4800","5058","4382","1839","2726","102","389","850","786","488","334","0","87","628","170","135","133","0","18","123","125","17","468","0","127","1015","404","0","361","0"
"publicpolygonfeature:5:43226","ZIP Code 32102","country:us/state:fl/zip:32102","32102","143","130","126","160","182","0","53","13","0","50","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13","15","0","0","0"
"publicpolygonfeature:5:43249","ZIP Code 32159","country:us/state:fl/zip:32159","32159","1741","1439","1730","429","587","0","218","265","205","159","67","0","0","3","20","0","0","0","44","52","61","0","0","0","10","209","204","38","49","0"
"publicpolygonfeature:5:43412","ZIP Code 32714","country:us/state:fl/zip:32714","32714","5676","2824","3683","978","1681","0","894","609","327","280","90","0","26","0","24","43","26","14","13","21","13","0","8","0","15","13","61","0","3","0"
"publicpolygonfeature:5:43419","ZIP Code 32701","country:us/state:fl/zip:32701","32701","3602","1892","2500","509","1154","0","186","191","116","22","37","0","0","12","52","0","19","0","89","111","124","10","21","0","92","111","52","80","66","0"
"publicpolygonfeature:5:43422","ZIP Code 32702","country:us/state:fl/zip:32702","32702","125","122","224","164","35","0","11","17","0","17","0","0","0","0","0","0","0","0","7","0","5","0","0","0","0","0","0","9","11","0"
"publicpolygonfeature:5:43444","ZIP Code 32703","country:us/state:fl/zip:32703","32703","7663","3251","5598","2413","1982","48","1048","581","472","491","314","0","12","37","19","1","16","0","34","70","46","39","0","0","199","150","130","46","116","0"
"publicpolygonfeature:5:43445","ZIP Code 32707","country:us/state:fl/zip:32707","32707","5954","2196","3190","1348","1476","45","507","382","367","161","344","0","24","26","19","25","0","0","21","12","212","26","3","0","363","129","119","14","59","5"
"publicpolygonfeature:5:43446","ZIP Code 32708","country:us/state:fl/zip:32708","32708","7903","2387","4081","1499","1279","50","563","255","553","44","168","0","88","0","45","41","0","0","31","47","16","0","0","0","448","0","14","131","19","0"
"publicpolygonfeature:5:43447","ZIP Code 32735","country:us/state:fl/zip:32735","32735","414","396","423","172","208","0","158","96","31","14","40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
