"feature id","feature label","shid","geoid","Management, Business, Science, and Arts Occupations Commute by Drive Alone (2020-2024)","Service Occupations Commute by Drive Alone (2020-2024)","Sales and Office Occupations Commute by Drive Alone (2020-2024)","Natural Resources, Construction, and Maintenance Occupations Commute by Drive Alone (2020-2024)","Production, Transportation, and Material Moving Occupations Commute by Drive Alone (2020-2024)","Military Occupations Commute by Drive Alone (2020-2024)","Management, Business, Science, and Arts Occupations Commute by Drive Carpool (2020-2024)","Service Occupations Commute by Drive Carpool (2020-2024)","Sales and Office Occupations Commute by Drive Carpool (2020-2024)","Natural Resources, Construction, and Maintenance Occupations Commute by Drive Carpool (2020-2024)","Production, Transportation, and Material Moving Occupations Commute by Drive Carpool (2020-2024)","Military Occupations Commute by Drive Carpool (2020-2024)","Management, Business, Science, and Arts Occupations Commute by Public Transit (2020-2024)","Service Occupations Commute by Public Transit (2020-2024)","Sales and Office Occupations Commute by Public Transit (2020-2024)","Natural Resources, Construction, and Maintenance Occupations Commute by Public Transit (2020-2024)","Production, Transportation, and Material Moving Occupations Commute by Public Transit (2020-2024)","Military Occupations Commute by Public Transit (2020-2024)","Management, Business, Science, and Arts Occupations Commute by Walk (2020-2024)","Service Occupations Commute by Walk (2020-2024)","Sales and Office Occupations Commute by Walk (2020-2024)","Natural Resources, Construction, and Maintenance Occupations Commute by Walk (2020-2024)","Production, Transportation, and Material Moving Occupations Commute by Walk (2020-2024)","Military Occupations Commute by Walk (2020-2024)","Management, Business, Science, and Arts Occupations Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Service Occupations Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Sales and Office Occupations Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Natural Resources, Construction, and Maintenance Occupations Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Production, Transportation, and Material Moving Occupations Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)","Military Occupations Commute by Bicycle, Taxi, Ride Hailing Service, Motorcycle, or Other (2020-2024)"
"publicpolygonfeature:5:61229","ZIP Code 94133","country:us/state:ca/zip:94133","94133","1630","193","667","34","223","28","200","36","40","19","35","0","795","963","419","69","155","0","1354","406","589","53","110","0","520","75","33","72","17","0"
"publicpolygonfeature:5:61462","ZIP Code 94134","country:us/state:ca/zip:94134","94134","3210","1949","1809","805","1316","8","684","726","643","343","197","0","885","988","879","42","322","0","83","87","29","13","43","0","208","23","35","47","24","0"
"publicpolygonfeature:5:63101","ZIP Code 94158","country:us/state:ca/zip:94158","94158","942","58","102","17","50","34","343","0","0","0","17","0","1065","70","153","0","48","0","1410","63","47","0","0","0","206","77","30","0","0","0"
"publicpolygonfeature:5:63105","ZIP Code 94555","country:us/state:ca/zip:94555","94555","6204","1093","1185","380","698","0","831","112","159","0","115","0","746","119","26","16","10","0","134","23","7","0","0","0","316","18","30","0","99","0"
"publicpolygonfeature:5:63344","ZIP Code 94596","country:us/state:ca/zip:94596","94596","4082","769","1423","367","364","0","754","149","159","55","39","0","741","65","96","0","90","0","242","70","177","62","19","0","80","42","22","0","27","0"
"publicpolygonfeature:5:63365","ZIP Code 94063","country:us/state:ca/zip:94063","94063","3637","2671","1376","1203","1351","40","647","837","254","497","199","38","559","203","80","126","87","0","273","245","0","5","91","0","129","156","22","36","21","0"
"publicpolygonfeature:5:63377","ZIP Code 94065","country:us/state:ca/zip:94065","94065","2184","203","362","14","119","0","303","97","11","0","0","0","204","0","0","0","0","0","73","11","0","0","0","0","54","0","0","0","0","0"
"publicpolygonfeature:5:63384","ZIP Code 94707","country:us/state:ca/zip:94707","94707","1159","78","254","32","145","0","352","26","11","0","24","0","537","0","80","6","3","0","148","28","5","0","0","0","233","6","7","14","25","0"
"publicpolygonfeature:5:63393","ZIP Code 94066","country:us/state:ca/zip:94066","94066","6399","2489","2816","1131","1356","0","1004","405","489","202","227","0","428","120","186","0","78","0","355","49","204","74","46","0","162","284","70","9","27","0"
"publicpolygonfeature:5:63398","ZIP Code 94111","country:us/state:ca/zip:94111","94111","212","21","21","0","50","0","0","0","15","0","106","0","127","85","132","0","0","0","280","134","185","8","60","0","83","0","11","7","4","0"
"publicpolygonfeature:5:63405","ZIP Code 94112","country:us/state:ca/zip:94112","94112","6431","3140","3008","1654","2438","0","1976","1085","613","336","542","0","3087","2735","2168","407","770","0","374","194","86","0","63","0","841","439","159","66","234","0"
"publicpolygonfeature:5:63439","ZIP Code 94021","country:us/state:ca/zip:94021","94021","119","0","0","0","0","0","24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:63449","ZIP Code 94027","country:us/state:ca/zip:94027","94027","936","116","141","14","21","0","163","16","10","0","0","0","33","0","13","0","0","0","36","12","55","0","0","0","52","0","0","0","0","0"
"publicpolygonfeature:5:63453","ZIP Code 94114","country:us/state:ca/zip:94114","94114","3309","338","422","106","146","0","634","33","51","8","42","0","3579","430","373","6","80","0","738","161","155","0","51","0","1325","169","57","9","58","0"
"publicpolygonfeature:5:63455","ZIP Code 94115","country:us/state:ca/zip:94115","94115","3256","229","533","164","225","13","736","136","151","0","8","0","2342","616","780","14","101","7","1023","186","153","29","41","14","1054","106","387","20","30","0"
"publicpolygonfeature:5:63458","ZIP Code 94116","country:us/state:ca/zip:94116","94116","5195","1471","1435","281","727","0","924","209","264","65","219","0","1808","519","788","45","251","0","176","273","193","10","13","0","309","223","198","15","73","0"
"publicpolygonfeature:5:63490","ZIP Code 94014","country:us/state:ca/zip:94014","94014","4158","3030","2687","1509","1998","26","991","877","438","373","660","0","995","971","606","79","469","0","61","80","303","20","154","269","249","276","57","60","50","0"
"publicpolygonfeature:5:63510","ZIP Code 94015","country:us/state:ca/zip:94015","94015","7766","3469","4395","1328","2538","0","1533","886","748","294","640","10","1293","1119","967","127","142","0","96","269","125","0","79","0","320","235","158","101","73","0"
"publicpolygonfeature:5:63515","ZIP Code 94117","country:us/state:ca/zip:94117","94117","3387","449","581","131","208","0","609","60","79","8","68","0","4174","217","489","83","185","0","994","535","422","61","102","0","1608","79","424","31","13","0"
"publicpolygonfeature:5:63528","ZIP Code 94118","country:us/state:ca/zip:94118","94118","3973","671","1202","221","378","0","616","175","119","0","63","0","2991","657","737","23","185","55","814","118","257","0","87","0","926","85","253","14","40","0"
"publicpolygonfeature:5:63543","ZIP Code 94002","country:us/state:ca/zip:94002","94002","5015","737","669","329","453","0","605","76","91","64","14","0","398","135","87","0","30","0","153","70","51","0","0","0","151","0","29","0","0","0"
"publicpolygonfeature:5:63544","ZIP Code 94005","country:us/state:ca/zip:94005","94005","493","109","157","50","37","0","253","17","60","0","66","0","41","94","39","0","0","0","0","0","0","0","0","0","0","0","20","0","12","0"
"publicpolygonfeature:5:63545","ZIP Code 94010","country:us/state:ca/zip:94010","94010","6848","1216","1438","692","865","0","633","93","121","20","40","0","690","114","175","22","53","0","288","385","164","61","0","0","383","110","144","0","41","0"
"publicpolygonfeature:5:63546","ZIP Code 94019","country:us/state:ca/zip:94019","94019","1772","953","631","296","302","0","79","184","58","34","17","0","54","0","0","0","0","0","23","246","12","9","6","0","115","0","60","0","0","0"
"publicpolygonfeature:5:63547","ZIP Code 94020","country:us/state:ca/zip:94020","94020","483","14","46","18","0","0","24","0","39","8","0","0","0","0","0","0","0","0","59","7","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:63550","ZIP Code 94025","country:us/state:ca/zip:94025","94025","6175","1453","1232","352","572","0","742","196","99","31","37","0","241","32","114","0","0","0","306","50","25","0","10","0","1495","118","176","15","0","0"
"publicpolygonfeature:5:63551","ZIP Code 94028","country:us/state:ca/zip:94028","94028","965","110","59","107","22","0","0","0","0","54","0","0","24","2","0","0","0","0","38","0","0","27","0","0","0","0","12","44","0","0"
"publicpolygonfeature:5:63552","ZIP Code 94030","country:us/state:ca/zip:94030","94030","3573","804","1089","514","640","0","342","291","132","45","93","0","519","84","162","48","25","0","32","37","64","12","7","0","129","47","20","0","9","0"
