"feature id","feature label","shid","geoid","Education 9th to 12th Grade, No Diploma (2020-2024)","Education Less than 9th Grade (2020-2024)","Education High School Degree (2020-2024)","Education Some College No Degree (2020-2024)","Education Associate Degree (2020-2024)","Education Bachelor's Degree (2020-2024)","Education Graduate Degree (2020-2024)","Blue-collar Employment (2020-2024)","Employment Entropy Index (2023)","Employment Access Index (2016)","Management, Business, Science, and Arts Occupations (2020-2024)","Service Occupations (2020-2024)","Sales and Office Occupations (2020-2024)","Natural Resources, Construction, and Maintenance Occupations (2020-2024)","Production, Transportation, and Material Moving Occupations (2020-2024)","Military Occupations (2020-2024)"
"publicpolygonfeature:5:50937","ZIP Code 78749","country:us/state:tx/zip:78749","78749","322","575","2333","3805","1531","10534","7059","1742","0.8168559102843356","21210.0223","12863","1770","3426","588","1154","0"
"publicpolygonfeature:5:50942","ZIP Code 78757","country:us/state:tx/zip:78757","78757","318","357","2030","2197","865","7459","4692","979","0.8411352282190795","67588.7152","10070","1213","1638","444","535","0"
"publicpolygonfeature:5:57982","ZIP Code 78758","country:us/state:tx/zip:78758","78758","1325","3036","6590","6164","1984","10415","6678","4805","0.8599461348092706","58073.0368","16053","4746","4818","2276","2529","0"
"publicpolygonfeature:5:59174","ZIP Code 76511","country:us/state:tx/zip:76511","76511","191","148","675","318","170","158","100","445","0.7255385790306437","2295.6288","247","258","206","205","240","0"
"publicpolygonfeature:5:59180","ZIP Code 76527","country:us/state:tx/zip:76527","76527","264","299","988","613","301","468","224","783","0.5866299108124491","2738.6934","804","306","298","484","299","0"
"publicpolygonfeature:5:59182","ZIP Code 76530","country:us/state:tx/zip:76530","76530","140","89","729","428","111","352","79","455","0.5422951782255133","2379.5094","407","109","196","154","301","0"
"publicpolygonfeature:5:59187","ZIP Code 76537","country:us/state:tx/zip:76537","76537","526","877","3030","2575","928","1837","606","2539","0.8280109385363046","2964.6693","3252","1471","1649","1451","1088","0"
"publicpolygonfeature:5:59214","ZIP Code 76573","country:us/state:tx/zip:76573","76573","0","0","0","0","0","0","0","0","0","2329.6593","0","0","0","0","0","0"
"publicpolygonfeature:5:59218","ZIP Code 76574","country:us/state:tx/zip:76574","76574","948","1035","5118","3447","903","2187","1073","2479","0.8532487781967273","5794.2026","3600","1686","2345","1058","1421","0"
"publicpolygonfeature:5:59221","ZIP Code 76578","country:us/state:tx/zip:76578","76578","103","99","418","299","25","233","39","166","0.6235391450320331","2632.6261","290","234","155","60","106","33"
"publicpolygonfeature:5:59938","ZIP Code 78602","country:us/state:tx/zip:78602","78602","2052","1215","7574","5255","2123","4969","2700","4639","0.9428590521402374","5086.1438","7331","2853","3337","2406","2233","378"
"publicpolygonfeature:5:59939","ZIP Code 78701","country:us/state:tx/zip:78701","78701","121","144","530","849","278","5121","3845","160","0.843137509212943","172531.6373","7115","437","1151","6","154","20"
"publicpolygonfeature:5:59940","ZIP Code 78702","country:us/state:tx/zip:78702","78702","792","1166","2309","2766","730","8553","4931","1461","0.9062457840300384","97720.6537","11532","1360","3076","545","916","0"
"publicpolygonfeature:5:59943","ZIP Code 78703","country:us/state:tx/zip:78703","78703","115","218","599","1292","329","8065","7651","627","0.9383241217869894","114393.427","10494","680","2349","86","541","0"
"publicpolygonfeature:5:59946","ZIP Code 78610","country:us/state:tx/zip:78610","78610","1359","1248","7221","6500","2531","9656","4293","5015","0.8351577661655265","7554.2523","12886","3121","5553","1974","3041","0"
"publicpolygonfeature:5:59947","ZIP Code 78612","country:us/state:tx/zip:78612","78612","1320","1804","2820","2321","523","1649","1108","2252","0.6808441307683336","4361.1928","2858","1256","1701","947","1305","0"
"publicpolygonfeature:5:59949","ZIP Code 78704","country:us/state:tx/zip:78704","78704","669","1411","3524","4656","1322","17581","10058","2315","0.8991907794848106","82568.2833","22700","3355","6290","1137","1178","0"
"publicpolygonfeature:5:59950","ZIP Code 78705","country:us/state:tx/zip:78705","78705","78","16","642","616","185","3886","2785","1159","0.711908599366456","136800.1439","8815","2886","3650","393","766","0"
"publicpolygonfeature:5:59951","ZIP Code 78613","country:us/state:tx/zip:78613","78613","1220","857","9143","10925","4934","22150","12085","5308","0.8985926692635848","14841.9351","29056","4815","8780","2055","3253","29"
"publicpolygonfeature:5:59953","ZIP Code 78712","country:us/state:tx/zip:78712","78712","0","0","0","0","0","0","0","0","0.10192366509521297","134248","0","0","9","0","0","0"
"publicpolygonfeature:5:59955","ZIP Code 78615","country:us/state:tx/zip:78615","78615","26","75","300","256","59","142","135","205","0.29057693704647564","4263.4135","293","114","94","97","108","0"
"publicpolygonfeature:5:59956","ZIP Code 78616","country:us/state:tx/zip:78616","78616","1225","855","1897","1246","306","540","207","1907","0.5524984121046451","2773.3326","1056","964","919","1383","524","0"
"publicpolygonfeature:5:59958","ZIP Code 78617","country:us/state:tx/zip:78617","78617","2925","3294","5986","2934","1033","2764","989","5110","0.6253074002249835","7975.4456","3348","2519","2827","3075","2035","0"
"publicpolygonfeature:5:59959","ZIP Code 78620","country:us/state:tx/zip:78620","78620","329","66","1677","2347","736","6847","3472","1264","0.8704897759507065","5094.4353","7256","943","1948","496","768","19"
"publicpolygonfeature:5:59961","ZIP Code 78619","country:us/state:tx/zip:78619","78619","28","0","521","916","289","1667","1262","262","0.8086083436670032","4877.6515","1702","178","998","88","174","0"
"publicpolygonfeature:5:59962","ZIP Code 78621","country:us/state:tx/zip:78621","78621","1490","2537","5629","4132","1151","3017","1785","4363","0.9080883099215956","4456.0482","4947","2307","2856","1996","2367","0"
"publicpolygonfeature:5:59963","ZIP Code 78622","country:us/state:tx/zip:78622","78622","0","8","105","74","13","32","24","68","0.2984775214688992","4162","51","40","20","23","45","0"
"publicpolygonfeature:5:59966","ZIP Code 78626","country:us/state:tx/zip:78626","78626","1352","1619","6634","7120","2996","6510","4591","4351","0.9407522516937192","10259.2994","11294","4039","5810","1982","2369","126"
"publicpolygonfeature:5:59967","ZIP Code 78628","country:us/state:tx/zip:78628","78628","1132","834","5128","6465","2682","12731","7130","3428","0.939044357995731","8625.6737","13459","2687","5050","1690","1738","166"
"publicpolygonfeature:5:59969","ZIP Code 78656","country:us/state:tx/zip:78656","78656","163","213","523","598","44","334","149","591","0.5569306612392754","4282.0527","498","343","201","192","399","0"
"publicpolygonfeature:5:59971","ZIP Code 78632","country:us/state:tx/zip:78632","78632","40","3","298","427","32","123","20","76","0.4387324347099157","2541.2837","271","26","79","18","58","0"
"publicpolygonfeature:5:59972","ZIP Code 78633","country:us/state:tx/zip:78633","78633","383","296","3466","5145","2070","8487","5901","1117","0.8436685210688948","3976.0376","4980","1252","1442","470","647","76"
