"feature id","feature label","shid","geoid","Education 9th to 12th Grade, No Diploma (2020-2024)","Education Less than 9th Grade (2020-2024)","Education High School Degree (2020-2024)","Education Some College No Degree (2020-2024)","Education Associate Degree (2020-2024)","Education Bachelor's Degree (2020-2024)","Education Graduate Degree (2020-2024)","Blue-collar Employment (2020-2024)","Employment Entropy Index (2023)","Employment Access Index (2016)","Management, Business, Science, and Arts Occupations (2020-2024)","Service Occupations (2020-2024)","Sales and Office Occupations (2020-2024)","Natural Resources, Construction, and Maintenance Occupations (2020-2024)","Production, Transportation, and Material Moving Occupations (2020-2024)","Military Occupations (2020-2024)"
"publicpolygonfeature:5:39808","ZIP Code 28209","country:us/state:nc/zip:28209","28209","164","306","1773","2251","745","8332","4418","1522","0.8603482710324135","59976.7746","10420","1285","2894","569","953","27"
"publicpolygonfeature:5:40060","ZIP Code 28210","country:us/state:nc/zip:28210","28210","1145","2183","3691","4474","2100","12579","7412","4305","0.8774736299160064","39397.0747","13428","3175","5631","2230","2075","24"
"publicpolygonfeature:5:40123","ZIP Code 28211","country:us/state:nc/zip:28211","28211","578","744","1850","2858","1395","9106","6642","1816","0.8858946587344152","39864.2551","10250","1508","3430","616","1200","38"
"publicpolygonfeature:5:40131","ZIP Code 28212","country:us/state:nc/zip:28212","28212","2524","3767","6872","5091","1942","4012","2039","7398","0.9349680597686114","26053.704","5009","4403","4093","3514","3884","0"
"publicpolygonfeature:5:40641","ZIP Code 28077","country:us/state:nc/zip:28077","28077","2","2","55","50","12","0","12","48","0.24986526427391179","4314","0","11","0","0","48","0"
"publicpolygonfeature:5:40772","ZIP Code 28213","country:us/state:nc/zip:28213","28213","1648","2962","5581","6299","2570","6605","3047","6325","0.8697505795311179","24519.2732","9272","3631","5588","2710","3615","31"
"publicpolygonfeature:5:40960","ZIP Code 28226","country:us/state:nc/zip:28226","28226","443","779","2895","3666","1808","11029","6846","2294","0.9104058999827614","26810.6217","12240","1716","3859","958","1336","6"
"publicpolygonfeature:5:41016","ZIP Code 27013","country:us/state:nc/zip:27013","27013","216","215","1773","1054","493","535","151","1189","0.32492966108555454","5451.3412","792","274","559","305","884","0"
"publicpolygonfeature:5:41042","ZIP Code 28081","country:us/state:nc/zip:28081","28081","1397","851","5885","5021","2108","3328","2102","4728","0.948511184283177","9187.5347","4977","2435","3095","1710","3018","0"
"publicpolygonfeature:5:41046","ZIP Code 28083","country:us/state:nc/zip:28083","28083","1135","1112","6395","4998","2096","3037","1165","3911","0.851298875706749","9837.7842","5076","1660","3019","1430","2481","13"
"publicpolygonfeature:5:41047","ZIP Code 27054","country:us/state:nc/zip:27054","27054","94","15","313","523","321","188","36","193","0.33643397040088696","6162.1291","377","141","189","0","193","0"
"publicpolygonfeature:5:41049","ZIP Code 28098","country:us/state:nc/zip:28098","28098","264","47","700","894","230","431","215","450","0.7478276699855126","19018.8689","768","116","580","164","286","0"
"publicpolygonfeature:5:41053","ZIP Code 28101","country:us/state:nc/zip:28101","28101","12","3","175","72","37","226","149","66","0.41669902687273624","12662.3261","260","35","79","21","45","0"
"publicpolygonfeature:5:41054","ZIP Code 28102","country:us/state:nc/zip:28102","28102","26","20","22","4","1","6","9","22","0","1851","7","4","2","21","1","0"
"publicpolygonfeature:5:41144","ZIP Code 28270","country:us/state:nc/zip:28270","28270","309","221","2251","2821","1699","9137","6126","1490","0.8878251299028214","20407.7981","10660","1380","3284","603","887","12"
