"feature id","feature label","shid","geoid","Education 9th to 12th Grade, No Diploma (2020-2024)","Education Less than 9th Grade (2020-2024)","Education High School Degree (2020-2024)","Education Some College No Degree (2020-2024)","Education Associate Degree (2020-2024)","Education Bachelor's Degree (2020-2024)","Education Graduate Degree (2020-2024)","Blue-collar Employment (2020-2024)","Employment Entropy Index (2023)","Employment Access Index (2016)","Management, Business, Science, and Arts Occupations (2020-2024)","Service Occupations (2020-2024)","Sales and Office Occupations (2020-2024)","Natural Resources, Construction, and Maintenance Occupations (2020-2024)","Production, Transportation, and Material Moving Occupations (2020-2024)","Military Occupations (2020-2024)"
"publicpolygonfeature:5:49363","ZIP Code 80206","country:us/state:co/zip:80206","80206","380","148","1196","2547","493","8503","7332","899","0.8436724578004386","107638.0729","11626","1333","2290","354","545","21"
"publicpolygonfeature:5:49399","ZIP Code 80207","country:us/state:co/zip:80207","80207","686","637","1932","2339","591","5081","4347","1364","0.8634296599700135","60413.8524","6885","1405","1704","629","735","26"
"publicpolygonfeature:5:54224","ZIP Code 80123","country:us/state:co/zip:80123","80123","762","442","6052","5877","2342","11347","6595","3021","0.7934668581397955","28769.6343","12502","3082","4748","1488","1533","45"
"publicpolygonfeature:5:54261","ZIP Code 80124","country:us/state:co/zip:80124","80124","173","97","1461","2565","1329","6659","4686","979","0.8515383494332248","41239.2587","8847","898","2311","480","499","28"
"publicpolygonfeature:5:55559","ZIP Code 80209","country:us/state:co/zip:80209","80209","111","220","1273","2325","571","10744","7859","896","0.7840321430688695","98405.9392","12237","1431","2627","440","456","87"
"publicpolygonfeature:5:55648","ZIP Code 80210","country:us/state:co/zip:80210","80210","282","71","1460","3005","1167","12483","8997","1421","0.8394395950563011","68449.893","15835","2349","3888","309","1112","54"
"publicpolygonfeature:5:55661","ZIP Code 80211","country:us/state:co/zip:80211","80211","839","1264","2098","3259","1199","14907","8406","1751","0.8504252551061628","91715.012","19102","1965","4583","763","988","31"
"publicpolygonfeature:5:57224","ZIP Code 80219","country:us/state:co/zip:80219","80219","6061","5785","10908","5810","2048","6011","2655","8998","0.9011642702070769","51964.4559","8380","5928","5371","5803","3195","18"
"publicpolygonfeature:5:57244","ZIP Code 80220","country:us/state:co/zip:80220","80220","835","1194","2173","3983","935","9959","8055","1945","0.6593180988169266","61893.3133","13841","2729","2829","796","1149","0"
"publicpolygonfeature:5:57249","ZIP Code 80221","country:us/state:co/zip:80221","80221","1909","1661","7745","5019","1715","5532","3012","6069","0.81282736496874","41061.4825","7815","3312","4186","2677","3392","10"
"publicpolygonfeature:5:57257","ZIP Code 80222","country:us/state:co/zip:80222","80222","240","506","2471","3150","1113","6343","4330","1702","0.8363729057957239","63245.8199","8027","1779","2759","823","879","0"
"publicpolygonfeature:5:57292","ZIP Code 80231","country:us/state:co/zip:80231","80231","753","876","4001","4759","1821","8065","5108","3614","0.8335788049201182","51631.6562","9765","2932","4646","1326","2288","28"
"publicpolygonfeature:5:57329","ZIP Code 80232","country:us/state:co/zip:80232","80232","829","401","4895","3482","1255","4488","2206","2709","0.9391324538062296","33057.5396","5615","1822","2640","1204","1505","0"
"publicpolygonfeature:5:57438","ZIP Code 80233","country:us/state:co/zip:80233","80233","2428","1214","9883","7269","3425","6799","2542","7662","0.9144648625107533","24569.968","9551","4282","5771","3342","4320","116"
"publicpolygonfeature:5:57456","ZIP Code 80234","country:us/state:co/zip:80234","80234","729","722","5079","4226","2188","5140","2741","4047","0.9085905335162247","27836.4086","7242","2786","3585","1696","2351","35"
"publicpolygonfeature:5:57463","ZIP Code 80235","country:us/state:co/zip:80235","80235","146","5","1083","1447","708","1986","711","521","0.8852715386338582","32306.3165","2142","862","940","215","306","0"
"publicpolygonfeature:5:57489","ZIP Code 80236","country:us/state:co/zip:80236","80236","1201","552","2963","2202","814","2516","1194","1661","0.6979975480940012","42522.9175","3248","1558","1827","698","963","61"
"publicpolygonfeature:5:57492","ZIP Code 80237","country:us/state:co/zip:80237","80237","363","184","2303","2585","1207","6489","4232","2009","0.6359947745999801","61004.1777","7570","1691","2828","852","1157","22"
"publicpolygonfeature:5:57499","ZIP Code 80238","country:us/state:co/zip:80238","80238","188","95","1369","2459","618","6863","7985","1121","0.7774188313781922","53009.8386","11597","1483","2535","400","721","158"
"publicpolygonfeature:5:57507","ZIP Code 80239","country:us/state:co/zip:80239","80239","2812","4121","8736","5375","2133","3241","2164","7440","0.6476029320403635","30634.0506","5944","4062","4294","3823","3617","9"
"publicpolygonfeature:5:57517","ZIP Code 80241","country:us/state:co/zip:80241","80241","1161","503","5157","4549","2283","5983","3308","3436","0.7814783119594241","17707.1677","9002","2737","4098","1846","1590","40"
"publicpolygonfeature:5:57526","ZIP Code 80246","country:us/state:co/zip:80246","80246","103","254","1463","1652","661","3679","2362","1174","0.8904971431495063","78150.3917","4712","1392","2359","412","762","0"
"publicpolygonfeature:5:57994","ZIP Code 80015","country:us/state:co/zip:80015","80015","1944","1010","8387","10299","4204","15119","9184","6610","0.8562804135452107","19217.8544","19468","5780","8567","2619","3991","215"
"publicpolygonfeature:5:57998","ZIP Code 80045","country:us/state:co/zip:80045","80045","9","10","249","205","91","393","413","163","0.4623357537062686","58335.1216","524","88","46","6","157","0"
"publicpolygonfeature:5:58158","ZIP Code 80212","country:us/state:co/zip:80212","80212","257","313","2269","2222","736","6674","4293","1101","0.8923962930447416","52581.4073","8737","1342","2036","561","540","0"
"publicpolygonfeature:5:58168","ZIP Code 80214","country:us/state:co/zip:80214","80214","1330","905","4997","3492","1860","5777","2903","3115","0.8728382582405878","47713.4701","7625","2859","2782","1390","1725","23"
"publicpolygonfeature:5:58185","ZIP Code 80215","country:us/state:co/zip:80215","80215","355","124","2732","2810","1355","4316","3105","1886","0.8957447188973063","42869.7073","5723","1367","1451","897","989","0"
"publicpolygonfeature:5:59760","ZIP Code 80247","country:us/state:co/zip:80247","80247","794","778","4130","4863","2416","5861","3313","3130","0.8372380799080736","47813.5004","7044","3254","3245","1148","1982","94"
"publicpolygonfeature:5:59764","ZIP Code 80249","country:us/state:co/zip:80249","80249","1227","1583","6099","6023","2732","4928","2978","5502","0.4931897161559015","18726.0395","7504","4505","5049","2270","3232","42"
"publicpolygonfeature:5:59775","ZIP Code 80260","country:us/state:co/zip:80260","80260","2883","2626","6860","3943","1212","2249","1038","5789","0.8739398080281798","30249.7774","3148","4097","3467","2819","2970","0"
"publicpolygonfeature:5:59781","ZIP Code 80264","country:us/state:co/zip:80264","80264","0","0","0","0","0","0","0","0","0.3987674206980027",,"0","0","0","0","0","0"
"publicpolygonfeature:5:59782","ZIP Code 80290","country:us/state:co/zip:80290","80290","0","0","61","13","16","234","76","61","0.5060075235941572","218600","199","147","56","61","0","0"
"publicpolygonfeature:5:59783","ZIP Code 80293","country:us/state:co/zip:80293","80293","0","0","0","0","0","0","0","0","0.5973180931016074",,"0","0","0","0","0","0"
"publicpolygonfeature:5:59792","ZIP Code 80294","country:us/state:co/zip:80294","80294","0","0","0","0","0","0","0","0","0.40239157182214197",,"0","0","0","0","0","0"
"publicpolygonfeature:5:60389","ZIP Code 80002","country:us/state:co/zip:80002","80002","1141","529","3129","2503","1083","4987","2648","1759","0.8682500204002854","34212.5164","6552","1996","2563","954","805","0"
"publicpolygonfeature:5:60390","ZIP Code 80003","country:us/state:co/zip:80003","80003","1363","569","7337","5118","2146","6395","2778","4483","0.8683415534777644","32668.4555","8772","3023","3371","2405","2078","0"
"publicpolygonfeature:5:60391","ZIP Code 80004","country:us/state:co/zip:80004","80004","877","347","6149","5066","2030","7330","4201","2908","0.9074333758077421","25355.984","9896","2689","3515","1338","1570","0"
"publicpolygonfeature:5:60392","ZIP Code 80005","country:us/state:co/zip:80005","80005","427","169","2820","3481","1339","7490","4931","1742","0.8468085513531652","22744.333","8871","1777","3301","767","975","0"
"publicpolygonfeature:5:60393","ZIP Code 80007","country:us/state:co/zip:80007","80007","173","5","1541","1587","900","5497","3319","698","0.7671937604868906","17043.2186","6279","1042","2009","447","251","0"
"publicpolygonfeature:5:60394","ZIP Code 80216","country:us/state:co/zip:80216","80216","992","1703","2155","1599","667","3228","1187","2469","0.5581801711136805","107627.5017","4546","1488","1430","1045","1424","0"
"publicpolygonfeature:5:60395","ZIP Code 80010","country:us/state:co/zip:80010","80010","2860","4835","7170","4495","1800","3349","1906","7039","0.743440269923839","50963.8927","5480","4957","2939","3830","3209","56"
"publicpolygonfeature:5:60396","ZIP Code 80011","country:us/state:co/zip:80011","80011","4076","4670","9269","6661","2234","4323","2356","9231","0.672881740952486","43592.2016","7066","6106","5359","4718","4513","239"
"publicpolygonfeature:5:60397","ZIP Code 80012","country:us/state:co/zip:80012","80012","2799","2570","8856","7364","2727","5987","3528","7220","0.8540875767788462","43339.1364","8101","5428","6082","3243","3977","97"
"publicpolygonfeature:5:60398","ZIP Code 80013","country:us/state:co/zip:80013","80013","2546","2446","11469","10640","5220","11383","5024","8719","0.8851973310364246","19946.3834","16014","6742","8489","4184","4535","100"
"publicpolygonfeature:5:60399","ZIP Code 80014","country:us/state:co/zip:80014","80014","1060","863","5746","6567","2583","8611","5044","3667","0.7712529175737824","41758.9043","9389","3156","4118","1335","2332","109"
"publicpolygonfeature:5:60400","ZIP Code 80016","country:us/state:co/zip:80016","80016","889","785","5415","7540","3599","15666","10721","4348","0.85169628542113","14268.5102","20434","4161","7122","1168","3180","147"
"publicpolygonfeature:5:60401","ZIP Code 80017","country:us/state:co/zip:80017","80017","2124","1744","8065","5525","2759","4219","1786","6006","0.7749997660821675","27763.0742","6763","4408","4465","2337","3669","317"
"publicpolygonfeature:5:60402","ZIP Code 80018","country:us/state:co/zip:80018","80018","223","530","2178","2696","1166","3446","1938","1743","0.7179400440559314","13349.8299","5555","1557","2159","637","1106","273"
"publicpolygonfeature:5:60403","ZIP Code 80019","country:us/state:co/zip:80019","80019","264","330","1601","982","323","1278","441","1305","0.471830513479282","16407","1862","807","1410","528","777","0"
"publicpolygonfeature:5:60404","ZIP Code 80020","country:us/state:co/zip:80020","80020","1352","391","5706","6769","3199","13224","7561","3903","0.9416424406693831","24994.403","17336","4420","5157","1509","2394","73"
"publicpolygonfeature:5:60405","ZIP Code 80021","country:us/state:co/zip:80021","80021","537","134","4051","5238","2861","10193","5327","3064","0.8206252072795334","29310.8291","13423","2967","3911","1531","1533","46"
"publicpolygonfeature:5:60406","ZIP Code 80218","country:us/state:co/zip:80218","80218","130","165","1300","2402","962","7799","4297","906","0.6137325411746934","170301.4898","9528","1585","1965","240","666","20"
"publicpolygonfeature:5:60407","ZIP Code 80022","country:us/state:co/zip:80022","80022","3351","3564","12223","7507","2944","6361","3259","9217","0.6762036707791897","22732.6334","11522","4599","5352","4155","5062","15"
"publicpolygonfeature:5:60408","ZIP Code 80023","country:us/state:co/zip:80023","80023","115","165","1825","2220","1270","6848","5734","763","0.8148380729357069","12712.217","9705","1209","2466","187","576","11"
"publicpolygonfeature:5:60409","ZIP Code 80024","country:us/state:co/zip:80024","80024","0","25","0","8","0","0","0","0","0","23937","0","0","8","0","0","0"
"publicpolygonfeature:5:60411","ZIP Code 80109","country:us/state:co/zip:80109","80109","260","48","2219","3977","1193","7157","3397","1069","0.8594855178751916","10764.9819","8732","2164","3326","472","597","48"
"publicpolygonfeature:5:60414","ZIP Code 80030","country:us/state:co/zip:80030","80030","920","588","3118","2108","703","1942","774","2494","0.8137026775902777","34989.7751","2385","915","1869","1147","1347","0"
"publicpolygonfeature:5:60415","ZIP Code 80031","country:us/state:co/zip:80031","80031","1750","955","5120","4715","2058","7923","4076","4218","0.9682480663211541","28834.4654","9115","2497","4130","1913","2305","30"
"publicpolygonfeature:5:60416","ZIP Code 80033","country:us/state:co/zip:80033","80033","533","346","4286","4574","1383","6522","3316","2418","0.8482410444254643","38764.4644","7386","2094","3252","1028","1390","9"
"publicpolygonfeature:5:60417","ZIP Code 80101","country:us/state:co/zip:80101","80101","10","2","111","46","38","51","66","27","0.41093612597110785","1194.6335","81","15","19","19","8","0"
"publicpolygonfeature:5:60418","ZIP Code 80102","country:us/state:co/zip:80102","80102","290","89","1327","988","456","886","373","1040","0.9311557676782597","3141.0894","1269","392","818","613","427","9"
"publicpolygonfeature:5:60419","ZIP Code 80110","country:us/state:co/zip:80110","80110","965","797","3823","3414","1491","4515","2617","2745","0.7733576421764541","51033.069","6641","2195","2510","1284","1461","10"
"publicpolygonfeature:5:60420","ZIP Code 80103","country:us/state:co/zip:80103","80103","41","52","662","510","206","177","165","412","0.7875230137613485","1911.6795","519","214","205","242","170","16"
"publicpolygonfeature:5:60421","ZIP Code 80104","country:us/state:co/zip:80104","80104","673","179","3616","5108","2240","9689","5242","3038","0.8722397661342041","10876.6679","11320","2929","4758","1162","1876","69"
