"feature id","feature label","shid","geoid","Education 9th to 12th Grade, No Diploma (2020-2024)","Education Less than 9th Grade (2020-2024)","Education High School Degree (2020-2024)","Education Some College No Degree (2020-2024)","Education Associate Degree (2020-2024)","Education Bachelor's Degree (2020-2024)","Education Graduate Degree (2020-2024)","Blue-collar Employment (2020-2024)","Employment Entropy Index (2023)","Employment Access Index (2016)","Management, Business, Science, and Arts Occupations (2020-2024)","Service Occupations (2020-2024)","Sales and Office Occupations (2020-2024)","Natural Resources, Construction, and Maintenance Occupations (2020-2024)","Production, Transportation, and Material Moving Occupations (2020-2024)","Military Occupations (2020-2024)"
"publicpolygonfeature:5:47377","ZIP Code 46151","country:us/state:in/zip:46151","46151","1827","570","9159","4539","2089","3252","1531","4911","0.9620070411790776","5396.8768","5503","2411","3129","1966","2945","0"
"publicpolygonfeature:5:47551","ZIP Code 46001","country:us/state:in/zip:46001","46001","465","177","2608","1685","727","1171","455","1459","0.8366585009186426","4163.6026","2007","887","928","493","966","0"
"publicpolygonfeature:5:47552","ZIP Code 46011","country:us/state:in/zip:46011","46011","648","189","4197","2511","1204","2121","1125","2036","0.7320910934550864","6495.4944","2836","1160","1502","840","1196","0"
"publicpolygonfeature:5:47553","ZIP Code 46240","country:us/state:in/zip:46240","46240","415","262","1602","2449","810","5588","3482","1229","0.8318089104155034","46321.5929","6508","1147","2481","526","703","0"
"publicpolygonfeature:5:47559","ZIP Code 46012","country:us/state:in/zip:46012","46012","1016","254","5337","3508","1475","2030","1346","2456","0.9345399024541072","8272.6179","3271","2218","1985","874","1582","0"
"publicpolygonfeature:5:47560","ZIP Code 46013","country:us/state:in/zip:46013","46013","747","328","5126","3033","1734","1350","984","2353","0.8423187994572745","9857.611","2864","1663","1789","862","1491","0"
"publicpolygonfeature:5:47561","ZIP Code 46016","country:us/state:in/zip:46016","46016","1514","790","5547","1990","819","784","319","2844","0.9182346362524767","11614.7514","1306","1901","1274","641","2203","0"
"publicpolygonfeature:5:47562","ZIP Code 46017","country:us/state:in/zip:46017","46017","134","82","1756","659","523","503","235","687","0.8627804008824944","5893.607","716","489","585","272","415","0"
"publicpolygonfeature:5:47563","ZIP Code 46030","country:us/state:in/zip:46030","46030","107","39","572","347","243","516","121","261","0.5947987820592535","4789.9673","824","190","272","139","122","0"
"publicpolygonfeature:5:47564","ZIP Code 46268","country:us/state:in/zip:46268","46268","583","935","4246","3375","1941","4441","2333","3402","0.7546336617606241","42093.939","5660","2249","2963","790","2612","0"
"publicpolygonfeature:5:47565","ZIP Code 46031","country:us/state:in/zip:46031","46031","178","34","557","338","121","398","103","375","0.5942209030257023","4661.5917","472","156","248","199","176","0"
"publicpolygonfeature:5:47566","ZIP Code 46032","country:us/state:in/zip:46032","46032","309","327","2471","3796","1689","15249","11158","1899","0.9158934883973863","32596.818","17925","2192","5332","521","1378","0"
"publicpolygonfeature:5:47567","ZIP Code 46033","country:us/state:in/zip:46033","46033","274","231","2351","3544","1366","11590","7833","1754","0.9002289867576915","22407.8207","13186","2026","3899","730","1024","38"
"publicpolygonfeature:5:47568","ZIP Code 46034","country:us/state:in/zip:46034","46034","20","40","1379","1007","658","1635","703","489","0.8458834761654956","5356.6887","2025","623","915","252","237","0"
"publicpolygonfeature:5:47569","ZIP Code 46035","country:us/state:in/zip:46035","46035","56","6","422","169","103","37","4","368","0.5048345841552965","6958.6473","113","103","68","86","282","0"
"publicpolygonfeature:5:47571","ZIP Code 46036","country:us/state:in/zip:46036","46036","335","256","4281","1665","762","742","347","2313","0.786881961128531","4402.9966","1240","978","937","660","1653","25"
