"feature id","feature label","shid","geoid","Education 9th to 12th Grade, No Diploma (2020-2024)","Education Less than 9th Grade (2020-2024)","Education High School Degree (2020-2024)","Education Some College No Degree (2020-2024)","Education Associate Degree (2020-2024)","Education Bachelor's Degree (2020-2024)","Education Graduate Degree (2020-2024)","Blue-collar Employment (2020-2024)","Employment Entropy Index (2023)","Employment Access Index (2016)","Management, Business, Science, and Arts Occupations (2020-2024)","Service Occupations (2020-2024)","Sales and Office Occupations (2020-2024)","Natural Resources, Construction, and Maintenance Occupations (2020-2024)","Production, Transportation, and Material Moving Occupations (2020-2024)","Military Occupations (2020-2024)"
"publicpolygonfeature:5:41095","ZIP Code 32202","country:us/state:fl/zip:32202","32202","880","219","1597","1338","239","672","261","206","0.8026805198143475","86346.542","625","433","377","53","153","13"
"publicpolygonfeature:5:41100","ZIP Code 32204","country:us/state:fl/zip:32204","32204","821","144","1682","1226","515","2114","1120","609","0.7800770613606899","66506.7483","2602","640","896","254","355","104"
"publicpolygonfeature:5:41113","ZIP Code 32205","country:us/state:fl/zip:32205","32205","1519","373","5710","3769","2413","4928","3469","3357","0.8385640879561945","30858.6492","7652","2011","3471","1148","2209","107"
"publicpolygonfeature:5:41181","ZIP Code 32206","country:us/state:fl/zip:32206","32206","1676","427","3628","2233","917","1712","876","1985","0.7210211701857453","44716.1134","2247","1332","1758","633","1352","12"
"publicpolygonfeature:5:41191","ZIP Code 32207","country:us/state:fl/zip:32207","32207","1667","1417","6005","5144","2098","6483","4025","3696","0.8222825690880284","45794.2503","8623","2963","3898","1410","2286","9"
"publicpolygonfeature:5:41305","ZIP Code 32208","country:us/state:fl/zip:32208","32208","2374","866","7930","5229","2023","2299","1102","3359","0.8192577762450494","14492.8318","3705","2821","3234","948","2411","16"
"publicpolygonfeature:5:41320","ZIP Code 32209","country:us/state:fl/zip:32209","32209","2950","998","8483","5449","1941","1994","838","3530","0.679538299391008","28328.7589","2144","2946","3175","868","2662","6"
"publicpolygonfeature:5:42938","ZIP Code 32065","country:us/state:fl/zip:32065","32065","1496","631","7874","7567","2756","4644","2071","4167","0.88879803619993","7450.8759","7872","2761","5083","1436","2731","125"
"publicpolygonfeature:5:42941","ZIP Code 32072","country:us/state:fl/zip:32072","32072","0","0","8","0","0","27","8","8","0.2704260414863776","1540","0","0","17","0","8","0"
"publicpolygonfeature:5:42945","ZIP Code 32073","country:us/state:fl/zip:32073","32073","1854","885","8609","8338","4261","5884","2827","4464","0.8409533351898383","16114.1425","8958","4123","4475","1445","3019","138"
"publicpolygonfeature:5:42946","ZIP Code 32079","country:us/state:fl/zip:32079","32079","12","28","112","58","15","81","113","0","0","3476.1427","0","7","13","0","0","0"
"publicpolygonfeature:5:42950","ZIP Code 32080","country:us/state:fl/zip:32080","32080","512","181","2602","2888","1927","5886","3468","978","0.8188127293513157","7145.4731","5292","1245","1462","484","494","10"
"publicpolygonfeature:5:42951","ZIP Code 32081","country:us/state:fl/zip:32081","32081","210","222","1603","2428","1192","9061","5483","783","0.8650613590466079","7827.9488","7743","757","2365","363","420","0"
"publicpolygonfeature:5:42953","ZIP Code 32082","country:us/state:fl/zip:32082","32082","176","207","2040","2953","1326","9927","6113","827","0.8101502676684635","9385.7048","7939","1398","2999","391","436","3"
