"feature id","feature label","shid","geoid","Education 9th to 12th Grade, No Diploma (2020-2024)","Education Less than 9th Grade (2020-2024)","Education High School Degree (2020-2024)","Education Some College No Degree (2020-2024)","Education Associate Degree (2020-2024)","Education Bachelor's Degree (2020-2024)","Education Graduate Degree (2020-2024)","Blue-collar Employment (2020-2024)","Employment Entropy Index (2023)","Employment Access Index (2016)","Management, Business, Science, and Arts Occupations (2020-2024)","Service Occupations (2020-2024)","Sales and Office Occupations (2020-2024)","Natural Resources, Construction, and Maintenance Occupations (2020-2024)","Production, Transportation, and Material Moving Occupations (2020-2024)","Military Occupations (2020-2024)"
"publicpolygonfeature:5:44090","ZIP Code 40117","country:us/state:ky/zip:40117","40117","161","15","635","233","181","153","72","250","0.7049229778943034","2627.1922","469","98","136","185","65","0"
"publicpolygonfeature:5:44105","ZIP Code 40118","country:us/state:ky/zip:40118","40118","1063","314","2849","974","617","829","268","2078","0.533901065676605","13176.7903","1062","618","1370","825","1253","24"
"publicpolygonfeature:5:44703","ZIP Code 40026","country:us/state:ky/zip:40026","40026","25","33","404","527","326","1351","1058","464","0.7573693057754187","5185.9458","1576","309","593","177","287","3"
"publicpolygonfeature:5:45451","ZIP Code 40041","country:us/state:ky/zip:40041","40041","13","0","90","177","22","107","146","0","0.2338370682397301","29241","0","0","0","0","0","0"
"publicpolygonfeature:5:45466","ZIP Code 40202","country:us/state:ky/zip:40202","40202","537","232","1951","1632","308","776","967","427","0.8359760363452996","107083.4383","1344","546","549","130","297","0"
"publicpolygonfeature:5:45468","ZIP Code 40203","country:us/state:ky/zip:40203","40203","895","587","3993","2461","1019","1714","884","1381","0.8545054550026495","89596.0139","2399","1745","1645","556","825","0"
"publicpolygonfeature:5:45484","ZIP Code 40204","country:us/state:ky/zip:40204","40204","298","195","1366","1776","670","3428","3388","1056","0.8972199205063187","60164.2723","5419","1010","1352","322","734","0"
"publicpolygonfeature:5:45487","ZIP Code 40205","country:us/state:ky/zip:40205","40205","317","218","1874","2297","1018","6082","5370","1182","0.8892241941225066","44773.0355","7917","1431","2355","375","807","0"
"publicpolygonfeature:5:45495","ZIP Code 40206","country:us/state:ky/zip:40206","40206","515","196","2474","2765","866","4562","4367","1678","0.8385018003340049","40212.4857","6832","1469","2315","350","1328","0"
"publicpolygonfeature:5:45500","ZIP Code 40207","country:us/state:ky/zip:40207","40207","279","156","1926","3585","998","7794","7068","1345","0.7759786469724399","36704.7925","10361","1221","2824","481","864","34"
"publicpolygonfeature:5:45508","ZIP Code 40208","country:us/state:ky/zip:40208","40208","529","232","1601","1780","423","1280","1265","1797","0.5990069251972406","56867.5085","3147","1610","2271","188","1609","13"
"publicpolygonfeature:5:45512","ZIP Code 40209","country:us/state:ky/zip:40209","40209","139","82","70","29","144","80","0","129","0.63066097100101","40525.9902","48","99","0","4","125","0"
"publicpolygonfeature:5:45514","ZIP Code 40210","country:us/state:ky/zip:40210","40210","966","616","3071","2513","974","389","353","1463","0.5117206917665088","46064.9337","1221","1055","1157","252","1211","66"
"publicpolygonfeature:5:45516","ZIP Code 40052","country:us/state:ky/zip:40052","40052","115","0","158","40","42","83","27","114","0.5636445192400665","1840.2078","63","40","71","64","50","0"
"publicpolygonfeature:5:45527","ZIP Code 40211","country:us/state:ky/zip:40211","40211","1702","165","5086","3457","1267","1008","428","2428","0.5366532525485849","29443.9801","1522","1759","1597","319","2109","0"
"publicpolygonfeature:5:45530","ZIP Code 40212","country:us/state:ky/zip:40212","40212","1473","373","4493","1884","708","722","533","1599","0.7624750696348088","35409.1597","1496","1209","1049","318","1281","48"
"publicpolygonfeature:5:45535","ZIP Code 40055","country:us/state:ky/zip:40055","40055","51","26","532","339","142","200","64","389","0.5063220916843513","3061.5773","268","82","141","237","152","0"
"publicpolygonfeature:5:45542","ZIP Code 40056","country:us/state:ky/zip:40056","40056","73","19","421","459","186","599","528","283","0.7420431143363064","9354.0393","960","211","381","77","206","0"
"publicpolygonfeature:5:45544","ZIP Code 40067","country:us/state:ky/zip:40067","40067","111","112","1086","870","403","1219","822","582","0.7341490308782627","4994.3033","1539","284","766","316","266","0"
"publicpolygonfeature:5:45551","ZIP Code 40218","country:us/state:ky/zip:40218","40218","1839","918","6961","4494","1343","4571","1656","5372","0.7255229190376223","46185.2644","5717","3719","2826","1573","3799","39"
"publicpolygonfeature:5:45667","ZIP Code 40003","country:us/state:ky/zip:40003","40003","20","44","530","170","178","263","200","178","0.405593703002025","2703.015","401","84","220","61","117","0"
"publicpolygonfeature:5:45669","ZIP Code 40007","country:us/state:ky/zip:40007","40007","0","0","38","0","0","9","0","8","0","2139","15","0","9","8","0","0"
"publicpolygonfeature:5:45670","ZIP Code 40004","country:us/state:ky/zip:40004","40004","1183","649","7766","3736","2533","3031","2345","4642","0.7989736303124666","7502.7011","5111","2694","2480","911","3731","36"
"publicpolygonfeature:5:45671","ZIP Code 40010","country:us/state:ky/zip:40010","40010","0","0","59","96","37","157","96","94","0.48415463647626256","8912","242","87","91","35","59","0"
"publicpolygonfeature:5:45672","ZIP Code 40008","country:us/state:ky/zip:40008","40008","172","58","1139","533","320","459","197","709","0.7476893758796128","2685.7034","630","246","387","254","455","0"
"publicpolygonfeature:5:45674","ZIP Code 40011","country:us/state:ky/zip:40011","40011","172","23","690","274","153","195","33","331","0.7651674939259493","2573.5568","271","199","358","152","179","0"
"publicpolygonfeature:5:45675","ZIP Code 40012","country:us/state:ky/zip:40012","40012","13","2","236","44","84","48","19","173","0.4270870960163706","2301.087","87","68","44","23","150","0"
"publicpolygonfeature:5:45676","ZIP Code 40022","country:us/state:ky/zip:40022","40022","8","53","226","97","62","130","91","177","0.6057595544533668","4030","139","20","126","87","90","0"
"publicpolygonfeature:5:45677","ZIP Code 40013","country:us/state:ky/zip:40013","40013","101","59","1642","643","795","878","446","1001","0.4425267779826631","3063.852","1346","292","383","555","446","0"
"publicpolygonfeature:5:45678","ZIP Code 40023","country:us/state:ky/zip:40023","40023","44","10","940","1078","409","1412","1017","794","0.5306825073444589","7002.0595","1629","255","693","246","548","0"
"publicpolygonfeature:5:45679","ZIP Code 40025","country:us/state:ky/zip:40025","40025","4","2","15","12","8","124","236","10","0.5483500136852318","13233","222","12","28","0","10","0"
"publicpolygonfeature:5:45680","ZIP Code 40014","country:us/state:ky/zip:40014","40014","387","217","3221","3215","1104","3969","3259","1956","0.8839819692112333","7646.5075","6214","1174","2552","699","1257","17"
"publicpolygonfeature:5:45681","ZIP Code 40019","country:us/state:ky/zip:40019","40019","238","113","988","551","261","187","187","586","0.7870155509413904","3404.655","473","376","296","74","512","4"
"publicpolygonfeature:5:45682","ZIP Code 40020","country:us/state:ky/zip:40020","40020","2","2","60","5","98","17","8","30","0.3060985002402652","3052","33","0","3","25","5","0"
"publicpolygonfeature:5:45683","ZIP Code 40031","country:us/state:ky/zip:40031","40031","1283","454","4675","3818","1861","3884","2547","2662","0.9665299865076384","6362.5845","5315","1965","1724","812","1850","0"
"publicpolygonfeature:5:45684","ZIP Code 40036","country:us/state:ky/zip:40036","40036","11","24","47","35","0","7","0","9","0","2165.3851","0","0","0","0","9","0"
"publicpolygonfeature:5:45686","ZIP Code 40228","country:us/state:ky/zip:40228","40228","518","409","3450","3082","1120","2506","1473","2346","0.6869629813455599","18256.6161","3605","1430","2173","372","1974","0"
"publicpolygonfeature:5:45687","ZIP Code 40046","country:us/state:ky/zip:40046","40046","0","39","387","244","61","50","26","222","0.4728548143998655","3285.2594","128","117","91","94","128","0"
"publicpolygonfeature:5:45688","ZIP Code 40047","country:us/state:ky/zip:40047","40047","815","257","5195","3969","1774","2607","1656","3508","0.8897267380103137","5481.6372","4722","1410","2585","1163","2345","13"
"publicpolygonfeature:5:45691","ZIP Code 40050","country:us/state:ky/zip:40050","40050","181","73","411","261","109","302","110","271","0.7130951737140494","2939.3492","315","101","106","71","200","0"
"publicpolygonfeature:5:45692","ZIP Code 40051","country:us/state:ky/zip:40051","40051","94","80","1404","740","472","343","110","790","0.6476538710401317","2285.3238","702","233","504","194","596","0"
"publicpolygonfeature:5:45693","ZIP Code 40057","country:us/state:ky/zip:40057","40057","233","102","1372","513","189","107","303","611","0.6914996391990949","2283.178","615","291","331","234","377","0"
"publicpolygonfeature:5:45694","ZIP Code 40058","country:us/state:ky/zip:40058","40058","13","0","12","1","0","0","11","0","0.5937586521214364","2939.3492","0","0","0","0","0","0"
"publicpolygonfeature:5:45695","ZIP Code 40059","country:us/state:ky/zip:40059","40059","209","29","1218","2095","860","5582","4772","1084","0.8730226415680468","10903.4082","5941","696","2046","367","717","0"
"publicpolygonfeature:5:45699","ZIP Code 40068","country:us/state:ky/zip:40068","40068","130","25","706","329","124","403","185","545","0.6279778100457181","3676.6396","481","223","139","196","349","0"
"publicpolygonfeature:5:45700","ZIP Code 40065","country:us/state:ky/zip:40065","40065","1566","1049","7012","3624","2066","4216","2386","4859","0.9192693889150134","8729.5204","5458","2322","3299","1268","3591","0"
"publicpolygonfeature:5:45702","ZIP Code 40070","country:us/state:ky/zip:40070","40070","41","0","70","111","4","0","33","14","0.3229000304682475","2977.9655","105","62","33","0","14","0"
