"feature id","feature label","shid","geoid","Education 9th to 12th Grade, No Diploma (2020-2024)","Education Less than 9th Grade (2020-2024)","Education High School Degree (2020-2024)","Education Some College No Degree (2020-2024)","Education Associate Degree (2020-2024)","Education Bachelor's Degree (2020-2024)","Education Graduate Degree (2020-2024)","Blue-collar Employment (2020-2024)","Employment Entropy Index (2023)","Employment Access Index (2016)","Management, Business, Science, and Arts Occupations (2020-2024)","Service Occupations (2020-2024)","Sales and Office Occupations (2020-2024)","Natural Resources, Construction, and Maintenance Occupations (2020-2024)","Production, Transportation, and Material Moving Occupations (2020-2024)","Military Occupations (2020-2024)"
"publicpolygonfeature:5:35000","ZIP Code 33009","country:us/state:fl/zip:33009","33009","2187","1488","9653","5388","2992","7514","5435","4701","0.8734555635324232","38502.9208","7224","4796","4798","1724","2977","0"
"publicpolygonfeature:5:35288","ZIP Code 33010","country:us/state:fl/zip:33010","33010","4293","4093","12723","2845","1780","4565","2111","8059","0.8896488831025398","54147.7513","4106","4658","3703","3376","4683","0"
"publicpolygonfeature:5:36789","ZIP Code 33012","country:us/state:fl/zip:33012","33012","6923","6916","19966","5053","4991","7537","3360","12356","0.830351882918885","49744.9698","8377","6361","8628","4883","7473","0"
"publicpolygonfeature:5:36822","ZIP Code 33013","country:us/state:fl/zip:33013","33013","3137","3252","8372","2578","1752","2643","1616","5824","0.7147139584127676","45368.0884","3028","3621","3090","2521","3303","0"
"publicpolygonfeature:5:36951","ZIP Code 33014","country:us/state:fl/zip:33014","33014","2627","2141","8691","4134","3947","6288","2939","6503","0.7208756556615934","47013.0527","8002","3842","4818","2375","4128","71"
"publicpolygonfeature:5:36956","ZIP Code 33015","country:us/state:fl/zip:33015","33015","2720","2582","14061","6377","7333","10957","4520","7934","0.8193335818342914","31688.6651","14266","5949","9646","3260","4674","11"
"publicpolygonfeature:5:36968","ZIP Code 33016","country:us/state:fl/zip:33016","33016","3215","2428","9963","3994","4103","6820","2566","6715","0.8679799772432849","48204.1827","6805","3956","5162","2304","4411","0"
"publicpolygonfeature:5:36976","ZIP Code 33018","country:us/state:fl/zip:33018","33018","3152","2919","11660","5721","5945","8428","3677","7462","0.6896029810130501","38207.4554","11746","5039","7486","3318","4144","0"
"publicpolygonfeature:5:39367","ZIP Code 33019","country:us/state:fl/zip:33019","33019","398","159","1542","1663","661","3503","3704","774","0.653154873698748","28735.5373","3364","800","1536","360","414","13"
"publicpolygonfeature:5:39380","ZIP Code 33020","country:us/state:fl/zip:33020","33020","2170","1502","10498","6096","3751","6273","3893","5566","0.9277753514058668","41774.7792","8126","5347","6708","2676","2890","0"
"publicpolygonfeature:5:39385","ZIP Code 33021","country:us/state:fl/zip:33021","33021","1981","1265","8078","6762","3164","8054","5924","4663","0.8311300401861982","44674.0874","10444","4629","4949","2002","2661","13"
"publicpolygonfeature:5:39392","ZIP Code 33023","country:us/state:fl/zip:33023","33023","4436","3266","16136","9686","5288","7071","3459","9368","0.8948373056500111","32920.6337","9841","7672","9371","3821","5547","12"
"publicpolygonfeature:5:39419","ZIP Code 33024","country:us/state:fl/zip:33024","33024","3049","2597","15364","11028","6329","9030","5368","8215","0.9523403201621483","32994.0349","13956","7985","8879","4402","3813","37"
"publicpolygonfeature:5:39425","ZIP Code 33025","country:us/state:fl/zip:33025","33025","1997","1968","19012","8064","5169","12123","6859","7839","0.7624273900092708","33928.148","16338","8085","10509","3343","4496","0"
"publicpolygonfeature:5:39437","ZIP Code 33026","country:us/state:fl/zip:33026","33026","600","644","5977","4445","2193","5655","3788","2399","0.7286265307372647","31513.4511","6997","2395","3954","1196","1203","51"
"publicpolygonfeature:5:39438","ZIP Code 33027","country:us/state:fl/zip:33027","33027","1520","1781","14398","6185","4808","14355","7684","4300","0.9442498048826559","30216.2164","16902","5355","6261","1806","2494","13"
"publicpolygonfeature:5:39439","ZIP Code 33028","country:us/state:fl/zip:33028","33028","428","328","3228","2005","1925","6624","4524","1661","0.7038006796613064","23640.8909","7887","2072","3604","464","1197","134"
"publicpolygonfeature:5:39445","ZIP Code 33029","country:us/state:fl/zip:33029","33029","661","833","6754","4582","3251","8659","5526","1874","0.8440797828670189","15882.2596","13677","2718","5817","620","1254","41"
"publicpolygonfeature:5:39605","ZIP Code 33160","country:us/state:fl/zip:33160","33160","1350","892","5860","5029","2887","9930","7406","2717","0.876520777145198","34901.9605","9048","3086","5095","945","1772","62"
"publicpolygonfeature:5:39623","ZIP Code 33161","country:us/state:fl/zip:33161","33161","3078","3926","12422","5383","3228","5719","3094","6192","0.873652528857508","37631.245","6585","7610","5399","2362","3830","14"
"publicpolygonfeature:5:39641","ZIP Code 33162","country:us/state:fl/zip:33162","33162","2384","3760","10102","4790","2668","4664","2533","4602","0.9471142217650539","39621.0619","5900","6190","4381","1352","3250","0"
"publicpolygonfeature:5:39827","ZIP Code 33165","country:us/state:fl/zip:33165","33165","3654","2429","12285","4222","4198","7626","3672","5244","0.9047598780889848","39371.2198","9340","5415","6217","2726","2518","0"
"publicpolygonfeature:5:39831","ZIP Code 33166","country:us/state:fl/zip:33166","33166","1818","1050","3792","2835","1925","5327","3709","2924","0.7344138385972824","69934.0698","6711","2829","3477","707","2217","0"
"publicpolygonfeature:5:39860","ZIP Code 33167","country:us/state:fl/zip:33167","33167","1108","2372","6192","2673","1535","1673","795","3821","0.5152510221905371","34184.3562","2189","2775","1995","1501","2320","8"
"publicpolygonfeature:5:39890","ZIP Code 33168","country:us/state:fl/zip:33168","33168","1191","2354","5885","1761","1722","2297","714","3024","0.8404134630605788","35625.6771","2324","3251","1507","966","2058","0"
"publicpolygonfeature:5:39895","ZIP Code 33169","country:us/state:fl/zip:33169","33169","2044","1986","10074","5483","2525","3938","2495","5055","0.90048021912537","36737.155","5797","5234","4523","1998","3057","30"
"publicpolygonfeature:5:41403","ZIP Code 33030","country:us/state:fl/zip:33030","33030","2580","6143","6471","2469","1318","1921","1097","7029","0.9004689741576561","9607.0546","3366","4133","2128","4821","2208","0"
"publicpolygonfeature:5:41411","ZIP Code 33031","country:us/state:fl/zip:33031","33031","254","413","1899","644","790","646","257","592","0.4073308223289374","9999.4673","1154","249","1031","315","277","0"
"publicpolygonfeature:5:41416","ZIP Code 33032","country:us/state:fl/zip:33032","33032","3551","2676","14065","6479","4532","7328","3053","7480","0.8154178089336951","9117.3179","9111","6731","8496","3936","3544","28"
"publicpolygonfeature:5:41430","ZIP Code 33035","country:us/state:fl/zip:33035","33035","723","254","3243","2417","1145","2518","908","1604","0.555117441119283","8332","3449","1724","1755","883","721","66"
"publicpolygonfeature:5:41513","ZIP Code 33170","country:us/state:fl/zip:33170","33170","967","891","3874","1793","1109","1092","1156","2199","0.470505110925181","11883.4591","2250","1757","1575","914","1285","0"
"publicpolygonfeature:5:41519","ZIP Code 33172","country:us/state:fl/zip:33172","33172","3400","1948","7688","3490","2849","6529","3337","5319","0.8009684730009358","66647.7854","6750","4304","5901","1830","3489","85"
"publicpolygonfeature:5:41530","ZIP Code 33173","country:us/state:fl/zip:33173","33173","1042","920","4668","3344","3528","6218","3873","1658","0.8094427298270196","37240.6473","8164","1885","3809","683","975","48"
"publicpolygonfeature:5:41558","ZIP Code 33174","country:us/state:fl/zip:33174","33174","3816","1677","6771","2448","2246","4960","2127","4231","0.8173804501770808","51266.5548","5018","3971","3900","1715","2516","0"
"publicpolygonfeature:5:41600","ZIP Code 33054","country:us/state:fl/zip:33054","33054","2685","2473","8894","3253","1672","1641","638","4639","0.7450975250836958","35429.7588","2863","2834","2658","1778","2861","22"
