"feature id","feature label","shid","geoid","Education 9th to 12th Grade, No Diploma (2020-2024)","Education Less than 9th Grade (2020-2024)","Education High School Degree (2020-2024)","Education Some College No Degree (2020-2024)","Education Associate Degree (2020-2024)","Education Bachelor's Degree (2020-2024)","Education Graduate Degree (2020-2024)","Blue-collar Employment (2020-2024)","Employment Entropy Index (2023)","Employment Access Index (2016)","Management, Business, Science, and Arts Occupations (2020-2024)","Service Occupations (2020-2024)","Sales and Office Occupations (2020-2024)","Natural Resources, Construction, and Maintenance Occupations (2020-2024)","Production, Transportation, and Material Moving Occupations (2020-2024)","Military Occupations (2020-2024)"
"publicpolygonfeature:5:34186","ZIP Code 08029","country:us/state:nj/zip:08029","08029","201","60","1983","587","328","509","275","549","0.8217714603486762","30650.8826","1039","471","436","144","405","0"
"publicpolygonfeature:5:34855","ZIP Code 08003","country:us/state:nj/zip:08003","08003","317","551","3176","2572","1127","7451","7680","1106","0.8422916098316297","40447.985","10261","1589","2823","489","617","0"
"publicpolygonfeature:5:34869","ZIP Code 08065","country:us/state:nj/zip:08065","08065","198","114","1752","1087","625","1337","474","801","0.858737353681561","43042.1776","1594","562","1340","212","589","0"
"publicpolygonfeature:5:34888","ZIP Code 08001","country:us/state:nj/zip:08001","08001","0","0","388","106","28","66","69","349","0.6833819004273398","6891.3904","99","34","113","198","151","0"
"publicpolygonfeature:5:34889","ZIP Code 08002","country:us/state:nj/zip:08002","08002","668","962","3733","2318","1331","4817","3611","2140","0.8787248311884437","60437.7015","6132","1225","2383","761","1379","0"
"publicpolygonfeature:5:34898","ZIP Code 08004","country:us/state:nj/zip:08004","08004","432","289","3123","1761","367","1763","768","1264","0.8791653220061054","12665.4583","2473","975","1404","716","548","0"
"publicpolygonfeature:5:34901","ZIP Code 08007","country:us/state:nj/zip:08007","08007","116","138","1198","738","245","1311","422","471","0.7972529580420994","36928.2251","1639","343","637","135","336","0"
"publicpolygonfeature:5:34903","ZIP Code 08014","country:us/state:nj/zip:08014","08014","0","0","184","17","35","0","0","116","0.5374074899967186","21382.0138","35","0","51","100","16","0"
"publicpolygonfeature:5:34904","ZIP Code 08009","country:us/state:nj/zip:08009","08009","300","182","2897","1899","1295","2353","1010","1491","0.8518476656985161","17736.6054","2901","1147","2107","475","1016","0"
"publicpolygonfeature:5:34905","ZIP Code 08010","country:us/state:nj/zip:08010","08010","239","232","2803","1841","1160","1732","647","1701","0.8424704137684982","28631.8053","2280","771","1180","681","1020","0"
"publicpolygonfeature:5:34906","ZIP Code 08011","country:us/state:nj/zip:08011","08011","0","11","10","0","0","12","0","22","0","11500.1507","12","0","0","0","22","0"
"publicpolygonfeature:5:34907","ZIP Code 08012","country:us/state:nj/zip:08012","08012","798","844","8838","6110","2545","7032","2726","4311","0.9265749489754764","23393.8261","9344","3392","5699","1402","2909","11"
"publicpolygonfeature:5:34909","ZIP Code 08015","country:us/state:nj/zip:08015","08015","1204","586","5232","2719","1315","1778","932","2913","0.7420111481687043","9175.186","2845","2355","1306","976","1937","256"
"publicpolygonfeature:5:34910","ZIP Code 08016","country:us/state:nj/zip:08016","08016","1149","765","6378","6316","1932","5959","3018","3908","0.8298514345599552","25182.4784","7747","2478","4268","1154","2754","35"
"publicpolygonfeature:5:34911","ZIP Code 08019","country:us/state:nj/zip:08019","08019","23","16","258","56","74","188","31","73","0.4029533013897243","6096.9111","300","39","87","18","55","0"
"publicpolygonfeature:5:34912","ZIP Code 08020","country:us/state:nj/zip:08020","08020","38","41","548","313","232","511","255","91","0.8102555415565361","19331.6392","841","98","290","56","35","30"
"publicpolygonfeature:5:34913","ZIP Code 08021","country:us/state:nj/zip:08021","08021","2255","1290","12087","6750","2719","5866","2838","6492","0.9686483797745348","23379.8788","8470","5029","5281","1979","4513","12"
"publicpolygonfeature:5:34914","ZIP Code 08022","country:us/state:nj/zip:08022","08022","249","117","1532","1265","580","1426","1303","440","0.7798328596192212","13450.1124","2398","542","701","209","231","19"
"publicpolygonfeature:5:34915","ZIP Code 08023","country:us/state:nj/zip:08023","08023","50","0","103","24","66","0","7","41","0.33333333333333337","13987.4927","21","124","94","0","41","0"
"publicpolygonfeature:5:34916","ZIP Code 08026","country:us/state:nj/zip:08026","08026","41","28","698","363","90","272","205","168","0.9309874896129784","31031.1773","511","112","327","73","95","0"
"publicpolygonfeature:5:34917","ZIP Code 08027","country:us/state:nj/zip:08027","08027","159","188","1447","689","298","639","401","519","0.7812976211599691","23214.0173","975","265","514","313","206","0"
"publicpolygonfeature:5:34918","ZIP Code 08028","country:us/state:nj/zip:08028","08028","737","588","3512","2285","1122","3820","1992","2128","0.8646013475704639","18248.4153","4564","2289","3103","871","1257","0"
"publicpolygonfeature:5:34919","ZIP Code 08030","country:us/state:nj/zip:08030","08030","818","337","3786","1509","603","1095","540","1361","0.8607309702721352","48051.9042","1994","1418","1267","377","984","0"
"publicpolygonfeature:5:34920","ZIP Code 08031","country:us/state:nj/zip:08031","08031","520","305","3577","1394","540","1438","523","1189","0.7875247072687257","37509.9095","2394","947","1166","417","772","0"
"publicpolygonfeature:5:34921","ZIP Code 08033","country:us/state:nj/zip:08033","08033","125","78","1136","1403","443","4048","4585","418","0.8620468768586503","44225.9139","6649","599","1199","200","218","15"
"publicpolygonfeature:5:34922","ZIP Code 08034","country:us/state:nj/zip:08034","08034","535","381","2957","2017","1146","4959","3540","1058","0.8972452477863746","51252.9048","5955","1832","1977","479","579","0"
"publicpolygonfeature:5:34923","ZIP Code 08035","country:us/state:nj/zip:08035","08035","101","31","829","939","401","2065","1070","431","0.8580884696675075","39850.139","2646","475","624","274","157","0"
"publicpolygonfeature:5:34924","ZIP Code 08036","country:us/state:nj/zip:08036","08036","153","49","1222","559","416","1267","786","584","0.868928216585493","22588.5361","1389","304","932","217","367","0"
"publicpolygonfeature:5:34926","ZIP Code 08037","country:us/state:nj/zip:08037","08037","1062","765","6146","2631","1222","3459","1783","2750","0.8746050846080169","9108.9943","4188","2354","2124","1369","1381","27"
"publicpolygonfeature:5:34927","ZIP Code 08038","country:us/state:nj/zip:08038","08038","8","0","113","13","68","34","0","84","0","7667.0526","17","48","52","60","24","0"
"publicpolygonfeature:5:34928","ZIP Code 08039","country:us/state:nj/zip:08039","08039","0","0","6","0","13","7","0","0","0","10390.2092","0","5","14","0","0","0"
"publicpolygonfeature:5:34929","ZIP Code 08041","country:us/state:nj/zip:08041","08041","28","10","192","71","29","155","49","80","0.5976156262060506","13960.8161","159","21","46","28","52","0"
"publicpolygonfeature:5:34930","ZIP Code 08042","country:us/state:nj/zip:08042","08042","0","0","23","16","5","6","74","7","0","13960.8161","85","12","0","7","0","0"
"publicpolygonfeature:5:34931","ZIP Code 08043","country:us/state:nj/zip:08043","08043","269","493","4033","2769","1625","7340","6034","1367","0.7915152116089341","31878.5095","9029","1496","3041","324","1043","12"
"publicpolygonfeature:5:34932","ZIP Code 08045","country:us/state:nj/zip:08045","08045","111","61","993","638","124","244","333","374","0.47520801680791175","37477.0333","475","392","251","67","307","9"
"publicpolygonfeature:5:34933","ZIP Code 08046","country:us/state:nj/zip:08046","08046","1010","522","7270","5385","2052","4067","2219","3748","0.8997793698362138","24985.0657","5553","3007","3783","1008","2740","65"
"publicpolygonfeature:5:34934","ZIP Code 08048","country:us/state:nj/zip:08048","08048","374","79","2021","1470","1117","2377","1729","954","0.8030856101928119","19305.7498","3716","878","1238","322","632","51"
"publicpolygonfeature:5:34935","ZIP Code 08049","country:us/state:nj/zip:08049","08049","218","111","1590","665","241","892","272","677","0.910276288318261","34012.0533","970","357","743","299","378","16"
"publicpolygonfeature:5:34937","ZIP Code 08051","country:us/state:nj/zip:08051","08051","235","14","3314","1136","878","2176","1142","1142","0.8189770208995933","20502.2369","3094","1054","1804","409","733","0"
"publicpolygonfeature:5:34938","ZIP Code 08052","country:us/state:nj/zip:08052","08052","391","241","5110","2510","1340","3928","1299","2140","0.8875795155997647","48983.7942","4871","1185","2467","885","1255","24"
"publicpolygonfeature:5:34939","ZIP Code 08053","country:us/state:nj/zip:08053","08053","449","311","7207","5681","2700","12392","6120","1990","0.891758485861634","28947.4701","15836","2833","5337","808","1182","101"
"publicpolygonfeature:5:34940","ZIP Code 08054","country:us/state:nj/zip:08054","08054","508","832","5907","5006","2406","11886","8008","2320","0.8514226133721662","34292.1004","15829","2842","5159","939","1381","115"
"publicpolygonfeature:5:34941","ZIP Code 08055","country:us/state:nj/zip:08055","08055","219","102","3023","2801","1580","7868","5108","1210","0.9404651699031605","15812.1004","9175","1463","3251","506","704","12"
"publicpolygonfeature:5:34942","ZIP Code 08056","country:us/state:nj/zip:08056","08056","51","40","703","419","309","1140","791","342","0.7899985098162332","19314.9098","1684","319","473","187","155","0"
"publicpolygonfeature:5:34943","ZIP Code 08057","country:us/state:nj/zip:08057","08057","426","186","1963","1627","696","5255","4842","815","0.8061340320302935","40754.4434","6665","749","1985","218","597","0"
"publicpolygonfeature:5:34944","ZIP Code 08059","country:us/state:nj/zip:08059","08059","169","48","1730","720","453","881","213","775","0.8825283965783787","42883.5079","1321","477","786","456","319","0"
"publicpolygonfeature:5:34945","ZIP Code 08060","country:us/state:nj/zip:08060","08060","716","356","4955","3640","2260","4728","2387","2274","0.9112053837946771","21271.9135","6609","2010","2657","725","1549","175"
"publicpolygonfeature:5:34946","ZIP Code 08061","country:us/state:nj/zip:08061","08061","21","1","715","407","279","674","879","329","0.7170897524558957","19326.5908","1459","135","296","109","220","0"
"publicpolygonfeature:5:34947","ZIP Code 08062","country:us/state:nj/zip:08062","08062","367","196","2713","1568","858","3878","2262","1354","0.765539139591941","12467.8926","4884","915","1711","740","614","0"
"publicpolygonfeature:5:34948","ZIP Code 08063","country:us/state:nj/zip:08063","08063","128","46","971","432","233","201","102","404","0.7621208701645776","36294.9448","514","322","319","171","233","0"
"publicpolygonfeature:5:34949","ZIP Code 08064","country:us/state:nj/zip:08064","08064","0","0","17","0","0","0","0","0","0","11238.1429","0","0","0","0","0","0"
"publicpolygonfeature:5:34951","ZIP Code 08066","country:us/state:nj/zip:08066","08066","434","110","1828","1169","745","979","225","1105","0.5475508429835534","28536.8905","1400","557","560","186","919","0"
"publicpolygonfeature:5:34952","ZIP Code 08067","country:us/state:nj/zip:08067","08067","24","35","382","225","145","305","91","186","0.2207066010199081","13608.4552","401","88","141","54","132","0"
"publicpolygonfeature:5:34953","ZIP Code 08068","country:us/state:nj/zip:08068","08068","138","141","1764","1106","528","829","463","649","0.6379770709331769","12028.7978","1144","481","745","265","384","80"
"publicpolygonfeature:5:34954","ZIP Code 08069","country:us/state:nj/zip:08069","08069","820","342","3528","1939","683","1205","422","1529","0.7865509483412011","15059.8779","1596","890","1543","461","1068","0"
"publicpolygonfeature:5:34956","ZIP Code 08070","country:us/state:nj/zip:08070","08070","401","79","3296","1898","1036","1216","753","1101","0.9256179111039105","12566.859","2157","724","1405","423","678","0"
"publicpolygonfeature:5:34957","ZIP Code 08071","country:us/state:nj/zip:08071","08071","171","82","2125","941","493","2212","1039","922","0.9454543285028537","18922.3425","2544","670","1125","401","521","0"
"publicpolygonfeature:5:34958","ZIP Code 08072","country:us/state:nj/zip:08072","08072","0","0","16","8","29","18","40","10","0.5713115913466649","6495.9221","26","27","12","0","10","0"
"publicpolygonfeature:5:34959","ZIP Code 08073","country:us/state:nj/zip:08073","08073","0","0","12","4","4","0","0","0","0.06483665170855385","23785","0","0","0","0","0","0"
"publicpolygonfeature:5:34960","ZIP Code 08074","country:us/state:nj/zip:08074","08074","0","0","0","0","0","160","0","0","0","13104.1531","160","0","0","0","0","0"
"publicpolygonfeature:5:34961","ZIP Code 08075","country:us/state:nj/zip:08075","08075","1066","683","6266","3214","1454","5273","2825","4011","0.845926224214184","31163.156","6678","2253","3556","1848","2163","0"
"publicpolygonfeature:5:34962","ZIP Code 08077","country:us/state:nj/zip:08077","08077","226","410","3729","2590","981","4175","2558","1680","0.8955669307471992","38384.659","5235","1046","2588","797","883","11"
"publicpolygonfeature:5:34963","ZIP Code 08078","country:us/state:nj/zip:08078","08078","264","89","2027","1207","541","1273","425","1024","0.9210314991628495","33656.7824","1637","630","1083","416","608","0"
"publicpolygonfeature:5:34964","ZIP Code 08108","country:us/state:nj/zip:08108","08108","345","166","2184","1806","1264","4466","3725","735","0.9465766724088073","53009.7482","6411","1159","2106","234","501","38"
"publicpolygonfeature:5:34965","ZIP Code 08079","country:us/state:nj/zip:08079","08079","630","308","3175","1363","667","1107","490","1423","0.6928822729799097","7800.7277","1441","1008","960","423","1000","37"
"publicpolygonfeature:5:34967","ZIP Code 08080","country:us/state:nj/zip:08080","08080","745","425","6501","4395","2888","8445","3976","2219","0.9066648210022231","19125.0041","10868","2048","4537","1125","1094","0"
"publicpolygonfeature:5:34968","ZIP Code 08081","country:us/state:nj/zip:08081","08081","921","660","9582","7157","3340","7496","4825","4708","0.8872464932145959","14882.8103","11454","3669","6324","1535","3173","46"
"publicpolygonfeature:5:34969","ZIP Code 08083","country:us/state:nj/zip:08083","08083","391","110","2199","1513","721","1355","912","804","0.8428681599158951","30240.5224","1968","838","1327","300","504","4"
