"feature id","feature label","shid","geoid","Education 9th to 12th Grade, No Diploma (2020-2024)","Education Less than 9th Grade (2020-2024)","Education High School Degree (2020-2024)","Education Some College No Degree (2020-2024)","Education Associate Degree (2020-2024)","Education Bachelor's Degree (2020-2024)","Education Graduate Degree (2020-2024)","Blue-collar Employment (2020-2024)","Employment Entropy Index (2023)","Employment Access Index (2016)","Management, Business, Science, and Arts Occupations (2020-2024)","Service Occupations (2020-2024)","Sales and Office Occupations (2020-2024)","Natural Resources, Construction, and Maintenance Occupations (2020-2024)","Production, Transportation, and Material Moving Occupations (2020-2024)","Military Occupations (2020-2024)"
"publicpolygonfeature:5:57629","ZIP Code 78219","country:us/state:tx/zip:78219","78219","2095","1011","3569","2287","659","1192","327","2446","0.6043070346547527","27662.2043","1614","1674","1562","957","1489","0"
"publicpolygonfeature:5:58177","ZIP Code 78205","country:us/state:tx/zip:78205","78205","0","191","279","237","105","251","219","124","0.8832677511612538","95649.1972","489","132","131","95","29","19"
"publicpolygonfeature:5:58190","ZIP Code 78207","country:us/state:tx/zip:78207","78207","6572","6026","11848","6641","1330","1499","667","6739","0.8009679800159283","47987.7109","2773","5676","3153","3423","3316","50"
"publicpolygonfeature:5:58193","ZIP Code 78208","country:us/state:tx/zip:78208","78208","343","127","996","525","377","192","120","482","0.7509531287262263","49468.326","316","424","284","85","397","13"
"publicpolygonfeature:5:59270","ZIP Code 78220","country:us/state:tx/zip:78220","78220","1505","1432","4563","2213","817","840","265","2555","0.8395776360888009","21797.3178","929","1708","1629","1160","1395","16"
"publicpolygonfeature:5:59326","ZIP Code 78221","country:us/state:tx/zip:78221","78221","2960","3089","9809","5444","1885","2230","992","6314","0.8941902817583374","17817.6339","4610","4515","4202","2948","3366","43"
"publicpolygonfeature:5:59515","ZIP Code 78229","country:us/state:tx/zip:78229","78229","2269","1350","5574","5873","1495","3779","2633","3741","0.6024636021176681","89432.8736","6542","4263","4662","1239","2502","62"
"publicpolygonfeature:5:59551","ZIP Code 78230","country:us/state:tx/zip:78230","78230","1315","471","5180","5928","2116","9013","6246","2728","0.8592839898253752","55304.7308","10363","3127","5526","951","1777","0"
"publicpolygonfeature:5:59570","ZIP Code 78237","country:us/state:tx/zip:78237","78237","3923","4219","8620","4286","1194","1043","418","5420","0.820946012799155","26824.3582","2528","4205","2897","2921","2499","0"
"publicpolygonfeature:5:59575","ZIP Code 78238","country:us/state:tx/zip:78238","78238","1605","870","4841","4196","2073","2502","1242","2654","0.7793577261766055","45298.5509","4001","3213","2827","1320","1334","50"
"publicpolygonfeature:5:59593","ZIP Code 78239","country:us/state:tx/zip:78239","78239","919","1046","5846","4030","2029","3703","1647","2790","0.914994157397574","24098.5309","3649","3088","2628","1148","1642","58"
"publicpolygonfeature:5:59596","ZIP Code 78240","country:us/state:tx/zip:78240","78240","1526","1747","8160","8782","3574","8677","6176","4610","0.668821512926328","57951.7286","13897","5624","6084","2059","2551","117"
"publicpolygonfeature:5:59623","ZIP Code 78242","country:us/state:tx/zip:78242","78242","3497","2983","6650","3745","1137","1501","568","4951","0.5869318446542997","11119.3281","2560","3444","2599","2585","2366","142"
"publicpolygonfeature:5:59629","ZIP Code 78243","country:us/state:tx/zip:78243","78243","0","0","10","0","24","0","0","6","0.0850575339167399",,"0","30","0","0","6","98"
"publicpolygonfeature:5:59668","ZIP Code 78002","country:us/state:tx/zip:78002","78002","640","379","1445","999","304","300","153","1495","0.4698118703051912","5253.4346","372","537","528","990","505","11"
"publicpolygonfeature:5:59669","ZIP Code 78003","country:us/state:tx/zip:78003","78003","554","76","1966","1715","1079","1048","750","1103","0.9317126281182228","2353.6142","1419","743","554","677","426","0"
"publicpolygonfeature:5:59670","ZIP Code 78004","country:us/state:tx/zip:78004","78004","0","0","104","133","13","105","60","0","0.5199306047420508","3331","104","50","133","0","0","0"
"publicpolygonfeature:5:59672","ZIP Code 78008","country:us/state:tx/zip:78008","78008","0","0","82","0","4","61","0","40","0.3848003170230232","4042.6768","7","0","0","40","0","0"
"publicpolygonfeature:5:59673","ZIP Code 78006","country:us/state:tx/zip:78006","78006","992","532","5292","5898","2315","10255","5613","2809","0.953031383311976","4870.5532","10346","2512","4170","1757","1052","57"
"publicpolygonfeature:5:59675","ZIP Code 78009","country:us/state:tx/zip:78009","78009","217","335","1243","1839","717","1201","659","997","0.8110143788907067","3226.3804","1531","669","1119","303","694","5"
"publicpolygonfeature:5:59677","ZIP Code 78015","country:us/state:tx/zip:78015","78015","88","273","1693","2708","1306","6250","3692","909","0.8613960280022589","5192.7593","6934","1280","2272","378","531","0"
"publicpolygonfeature:5:59678","ZIP Code 78011","country:us/state:tx/zip:78011","78011","91","211","474","141","26","76","85","292","0.4647710641351542","1434.0612","106","232","56","143","149","0"
"publicpolygonfeature:5:59679","ZIP Code 78012","country:us/state:tx/zip:78012","78012","38","18","94","19","10","3","0","61","0.3060985002402652","3962","17","24","6","35","26","0"
"publicpolygonfeature:5:59680","ZIP Code 78016","country:us/state:tx/zip:78016","78016","758","430","3112","1346","433","1065","663","1315","0.9373031799041012","2895.6943","1902","766","924","771","544","0"
"publicpolygonfeature:5:59681","ZIP Code 78013","country:us/state:tx/zip:78013","78013","188","125","1059","955","145","829","504","667","0.6346073626948884","2751.6872","1067","237","378","421","246","0"
"publicpolygonfeature:5:59686","ZIP Code 78121","country:us/state:tx/zip:78121","78121","672","213","2828","2609","1044","2357","1126","1954","0.9213512673376116","2599.2228","3207","1116","1933","879","1075","13"
"publicpolygonfeature:5:59688","ZIP Code 78023","country:us/state:tx/zip:78023","78023","458","224","2155","3847","1459","6252","4744","1331","0.8209102233598188","11462.5134","8492","1346","2909","512","819","58"
"publicpolygonfeature:5:59694","ZIP Code 78026","country:us/state:tx/zip:78026","78026","442","237","1736","763","324","1011","70","1187","0.7718544957069853","3717.8799","998","224","610","759","428","19"
"publicpolygonfeature:5:59696","ZIP Code 78027","country:us/state:tx/zip:78027","78027","0","0","22","124","94","71","7","18","0.4097590576064077","2599","166","0","9","18","0","0"
"publicpolygonfeature:5:59701","ZIP Code 78039","country:us/state:tx/zip:78039","78039","62","27","755","162","38","320","196","184","0.7686315228071181","3078.2629","462","166","277","121","63","0"
"publicpolygonfeature:5:59703","ZIP Code 78050","country:us/state:tx/zip:78050","78050","0","29","127","76","39","29","0","60","0.5200169661825916","2166.566","79","17","24","42","18","0"
"publicpolygonfeature:5:59704","ZIP Code 78052","country:us/state:tx/zip:78052","78052","180","180","1633","1028","536","651","298","904","0.9004611175424403","3116.1084","907","540","742","534","370","0"
"publicpolygonfeature:5:59706","ZIP Code 78055","country:us/state:tx/zip:78055","78055","43","23","579","319","122","242","136","87","0.7404775437547856","1193.2849","267","152","72","62","25","0"
"publicpolygonfeature:5:59707","ZIP Code 78123","country:us/state:tx/zip:78123","78123","83","13","661","302","218","194","197","154","0.666551301866049","3846.8507","463","93","311","22","132","0"
"publicpolygonfeature:5:59708","ZIP Code 78209","country:us/state:tx/zip:78209","78209","613","642","4273","4535","1768","9254","9143","1921","0.903181950477481","48992.2666","12406","2850","4575","676","1245","196"
"publicpolygonfeature:5:59709","ZIP Code 78056","country:us/state:tx/zip:78056","78056","113","54","383","378","324","318","376","194","0.3001260881682102","3633.5913","557","80","418","85","109","0"
"publicpolygonfeature:5:59710","ZIP Code 78063","country:us/state:tx/zip:78063","78063","465","138","2642","1978","931","1493","888","1270","0.760359603524978","2014.9736","1964","657","1075","526","744","0"
"publicpolygonfeature:5:59711","ZIP Code 78057","country:us/state:tx/zip:78057","78057","0","43","378","120","38","20","43","113","0.23584499928166514","3634.832","56","84","15","94","19","0"
"publicpolygonfeature:5:59713","ZIP Code 78059","country:us/state:tx/zip:78059","78059","754","401","1473","938","210","414","215","1041","0.6580292599796528","2102.6327","802","420","393","458","583","0"
"publicpolygonfeature:5:59715","ZIP Code 78210","country:us/state:tx/zip:78210","78210","2465","2229","7606","5211","1302","2688","1139","3940","0.7530644073479178","37759.896","4851","3852","2835","1869","2071","10"
"publicpolygonfeature:5:59717","ZIP Code 78064","country:us/state:tx/zip:78064","78064","823","842","3584","2181","583","1462","586","1961","0.7614806686166","4716.3","1452","1321","1713","945","1016","0"
"publicpolygonfeature:5:59719","ZIP Code 78065","country:us/state:tx/zip:78065","78065","905","661","3218","1506","400","542","258","1856","0.7052400234484579","2325.8594","846","733","1104","801","1055","0"
"publicpolygonfeature:5:59720","ZIP Code 78066","country:us/state:tx/zip:78066","78066","0","0","45","57","0","72","85","13","0.5345748043299503","3677","52","0","9","0","13","0"
"publicpolygonfeature:5:59721","ZIP Code 78211","country:us/state:tx/zip:78211","78211","3190","4128","6666","3278","1318","1002","299","4364","0.7754641778369309","20768.3902","2297","3363","2814","2227","2137","11"
"publicpolygonfeature:5:59723","ZIP Code 78069","country:us/state:tx/zip:78069","78069","822","319","1909","869","263","369","80","1122","0.5872406719473363","3073.8087","809","258","704","725","397","0"
"publicpolygonfeature:5:59724","ZIP Code 78101","country:us/state:tx/zip:78101","78101","185","470","1479","975","482","861","331","764","0.5427724623947809","5960.7184","1429","267","599","473","291","0"
"publicpolygonfeature:5:59725","ZIP Code 78070","country:us/state:tx/zip:78070","78070","488","207","3018","3641","1484","4128","2061","1339","0.8827758926703189","2940.9582","4713","1294","2152","843","496","0"
"publicpolygonfeature:5:59729","ZIP Code 78112","country:us/state:tx/zip:78112","78112","852","630","2266","1892","805","463","138","1300","0.5088423803166234","4385.6255","1011","584","887","440","860","0"
"publicpolygonfeature:5:59730","ZIP Code 78147","country:us/state:tx/zip:78147","78147","55","62","296","302","94","187","34","173","0.6808162286643521","1590","255","191","126","70","103","0"
"publicpolygonfeature:5:59731","ZIP Code 78212","country:us/state:tx/zip:78212","78212","1114","1523","3496","3708","1226","3758","3839","2196","0.8726116886753349","59617.2662","6589","2060","2487","1201","995","12"
"publicpolygonfeature:5:59733","ZIP Code 78073","country:us/state:tx/zip:78073","78073","975","835","2130","1219","527","537","126","1915","0.5133829105205274","4049.7432","804","976","828","802","1113","0"
"publicpolygonfeature:5:59738","ZIP Code 78108","country:us/state:tx/zip:78108","78108","1084","971","6571","5620","3542","8159","4852","3586","0.8688102784563114","7746.0996","9466","3577","4306","1111","2475","226"
"publicpolygonfeature:5:59739","ZIP Code 78109","country:us/state:tx/zip:78109","78109","1824","1237","10065","9122","4472","8224","3800","6233","0.8231837852477673","13748.607","10939","5612","7287","1837","4396","266"
"publicpolygonfeature:5:59740","ZIP Code 78113","country:us/state:tx/zip:78113","78113","68","82","683","468","256","273","163","366","0.6527424171116071","1797.1884","434","85","309","173","193","0"
"publicpolygonfeature:5:59741","ZIP Code 78114","country:us/state:tx/zip:78114","78114","946","948","5923","3725","2009","2713","1202","3196","0.9200834724216573","3218.9849","3476","1475","2496","1417","1779","10"
"publicpolygonfeature:5:59743","ZIP Code 78124","country:us/state:tx/zip:78124","78124","350","284","1478","1048","344","736","392","797","0.4861848890109483","4123.8204","1033","421","570","313","484","0"
"publicpolygonfeature:5:59746","ZIP Code 78130","country:us/state:tx/zip:78130","78130","2964","2742","17478","16488","5244","18626","6969","10386","0.9380742636073514","9785.758","22419","8919","11933","4476","5910","89"
"publicpolygonfeature:5:59747","ZIP Code 78132","country:us/state:tx/zip:78132","78132","656","409","4723","5205","1884","9222","6069","2084","0.7106824321126753","5788.5034","10638","2471","3460","1097","987","176"
