"feature id","feature label","shid","geoid","Education 9th to 12th Grade, No Diploma (2020-2024)","Education Less than 9th Grade (2020-2024)","Education High School Degree (2020-2024)","Education Some College No Degree (2020-2024)","Education Associate Degree (2020-2024)","Education Bachelor's Degree (2020-2024)","Education Graduate Degree (2020-2024)","Blue-collar Employment (2020-2024)","Employment Entropy Index (2023)","Employment Access Index (2016)","Management, Business, Science, and Arts Occupations (2020-2024)","Service Occupations (2020-2024)","Sales and Office Occupations (2020-2024)","Natural Resources, Construction, and Maintenance Occupations (2020-2024)","Production, Transportation, and Material Moving Occupations (2020-2024)","Military Occupations (2020-2024)"
"publicpolygonfeature:5:61229","ZIP Code 94133","country:us/state:ca/zip:94133","94133","1051","2878","2291","2139","745","6445","4586","1304","0.8467547827947175","376640.0576","8108","1971","2417","437","867","28"
"publicpolygonfeature:5:61462","ZIP Code 94134","country:us/state:ca/zip:94134","94134","2246","4198","5866","4529","2727","7231","2513","3583","0.8362087615408865","69532.1038","7117","4323","4051","1440","2143","8"
"publicpolygonfeature:5:63101","ZIP Code 94158","country:us/state:ca/zip:94158","94158","123","272","612","552","260","2646","4213","141","0.7194253791266569","353023.29","6775","314","419","17","124","34"
"publicpolygonfeature:5:63105","ZIP Code 94555","country:us/state:ca/zip:94555","94555","883","794","2533","2577","1492","9019","9028","1466","0.8001863592733958","35021.7335","13677","1619","1981","448","1018","0"
"publicpolygonfeature:5:63344","ZIP Code 94596","country:us/state:ca/zip:94596","94596","169","245","1217","2369","1100","6948","5678","1102","0.8697618007037423","47619","8806","1280","2561","515","587","0"
"publicpolygonfeature:5:63365","ZIP Code 94063","country:us/state:ca/zip:94063","94063","2537","3756","4706","3351","1255","4409","3925","3980","0.9615354158057234","52248.7956","7586","4608","2396","1956","2024","78"
"publicpolygonfeature:5:63377","ZIP Code 94065","country:us/state:ca/zip:94065","94065","78","67","479","655","217","3286","3644","157","0.6996604054753298","43037.3904","4776","341","638","20","137","0"
"publicpolygonfeature:5:63384","ZIP Code 94707","country:us/state:ca/zip:94707","94707","19","72","331","650","203","3018","5478","320","0.8671807897522571","47367.0345","4971","248","647","66","254","0"
"publicpolygonfeature:5:63393","ZIP Code 94066","country:us/state:ca/zip:94066","94066","1331","1695","6873","5396","2474","9695","4715","3810","0.9162758339224164","40113.5774","11269","3899","4343","1705","2105","0"
"publicpolygonfeature:5:63398","ZIP Code 94111","country:us/state:ca/zip:94111","94111","274","232","485","300","28","1024","1312","235","0.640175740713393","404720.4734","1388","289","504","15","220","0"
"publicpolygonfeature:5:63405","ZIP Code 94112","country:us/state:ca/zip:94112","94112","4080","7012","11387","10485","5159","15878","6174","7056","0.7679701863003845","66327.9359","17880","9097","6983","2622","4434","0"
"publicpolygonfeature:5:63439","ZIP Code 94021","country:us/state:ca/zip:94021","94021","0","0","31","24","14","94","75","0","0.43805002999963494","7601.9034","156","0","0","0","0","0"
"publicpolygonfeature:5:63449","ZIP Code 94027","country:us/state:ca/zip:94027","94027","31","33","208","337","169","1431","2415","61","0.6345105432177965","48160.7276","2189","190","323","14","47","0"
"publicpolygonfeature:5:63453","ZIP Code 94114","country:us/state:ca/zip:94114","94114","177","417","1488","2266","870","11355","11649","812","0.881618462335875","169860.9453","17669","1442","1958","277","535","0"
"publicpolygonfeature:5:63455","ZIP Code 94115","country:us/state:ca/zip:94115","94115","469","681","2077","2531","1203","11825","8192","734","0.6942056234319105","243492.2463","14438","1715","3047","241","493","34"
"publicpolygonfeature:5:63458","ZIP Code 94116","country:us/state:ca/zip:94116","94116","1431","2075","5006","3767","2443","11920","7683","1937","0.8453517092501525","63783.0962","13300","3088","3648","495","1442","0"
"publicpolygonfeature:5:63490","ZIP Code 94014","country:us/state:ca/zip:94014","94014","2345","3073","7865","7036","2410","9322","3148","5695","0.8763625320933718","50171.6516","8755","5823","5010","2095","3600","295"
"publicpolygonfeature:5:63510","ZIP Code 94015","country:us/state:ca/zip:94015","94015","1722","2788","9351","10268","4042","15310","4547","6375","0.8743593460570812","40750.3337","14716","6730","7687","2029","4346","10"
"publicpolygonfeature:5:63515","ZIP Code 94117","country:us/state:ca/zip:94117","94117","435","570","1918","2663","882","13771","10499","1073","0.8712870240463356","195916.635","18823","1679","3154","392","681","0"
"publicpolygonfeature:5:63528","ZIP Code 94118","country:us/state:ca/zip:94118","94118","711","1117","1711","2787","1458","12724","8891","1292","0.8803879065435777","131000.5416","15911","1958","3652","379","913","55"
"publicpolygonfeature:5:63543","ZIP Code 94002","country:us/state:ca/zip:94002","94002","336","579","1523","2263","1235","6719","6714","1030","0.9489092469626743","40429.7397","10425","1236","1326","411","619","0"
"publicpolygonfeature:5:63544","ZIP Code 94005","country:us/state:ca/zip:94005","94005","182","183","413","645","246","924","783","220","0.7568261879328936","47023.4818","1467","351","282","92","128","0"
"publicpolygonfeature:5:63545","ZIP Code 94010","country:us/state:ca/zip:94010","94010","370","945","2774","3885","1526","10797","10583","2059","0.9227154432259496","48531.5249","14238","2198","2824","911","1148","0"
"publicpolygonfeature:5:63546","ZIP Code 94019","country:us/state:ca/zip:94019","94019","246","644","1501","1557","919","2723","2742","743","0.8670726817181231","11750.892","3666","1540","1036","410","333","0"
"publicpolygonfeature:5:63547","ZIP Code 94020","country:us/state:ca/zip:94020","94020","57","84","29","145","55","193","850","26","0.701145468330509","7601.9034","858","35","95","26","0","0"
"publicpolygonfeature:5:63550","ZIP Code 94025","country:us/state:ca/zip:94025","94025","597","1260","2289","2271","1131","8193","12557","1262","0.6530943598509468","54357.9904","15126","2107","2204","570","692","0"
"publicpolygonfeature:5:63551","ZIP Code 94028","country:us/state:ca/zip:94028","94028","154","106","140","381","97","1700","2544","307","0.846478702308008","19579.5463","2107","149","181","285","22","0"
"publicpolygonfeature:5:63552","ZIP Code 94030","country:us/state:ca/zip:94030","94030","366","711","2739","2792","1366","5233","3645","1533","0.8856389614612741","43736.8769","6686","1462","1976","647","886","0"
"publicpolygonfeature:5:63553","ZIP Code 94037","country:us/state:ca/zip:94037","94037","68","38","180","301","82","472","880","204","0.726802721269786","8931","981","54","277","126","78","0"
"publicpolygonfeature:5:63554","ZIP Code 94038","country:us/state:ca/zip:94038","94038","0","485","145","331","119","595","367","169","0.7543043068170691","8943.3763","738","287","102","113","56","0"
"publicpolygonfeature:5:63557","ZIP Code 94044","country:us/state:ca/zip:94044","94044","652","646","4685","5540","2920","8484","5310","2741","0.9519951034316698","21353.1123","11202","2889","3507","1176","1565","0"
"publicpolygonfeature:5:63558","ZIP Code 94060","country:us/state:ca/zip:94060","94060","55","222","219","129","88","238","131","165","0.6430457726948281","7601.9034","263","251","130","165","0","0"
"publicpolygonfeature:5:63559","ZIP Code 94061","country:us/state:ca/zip:94061","94061","1532","1952","4144","4038","1361","6863","6614","2568","0.9000109147493595","41898.8498","10793","2787","3003","1521","1047","0"
"publicpolygonfeature:5:63560","ZIP Code 94121","country:us/state:ca/zip:94121","94121","982","1857","2498","4319","2161","12942","8641","1637","0.7431617056088684","65203.1906","14501","2600","3819","551","1086","0"
"publicpolygonfeature:5:63561","ZIP Code 94062","country:us/state:ca/zip:94062","94062","174","421","1896","2245","1291","6267","6560","1018","0.9110291395770731","34273.0678","9149","936","1948","563","455","21"
"publicpolygonfeature:5:63562","ZIP Code 94122","country:us/state:ca/zip:94122","94122","1949","2741","4489","5161","2552","17040","10644","3113","0.5173961837974677","80411.2752","18979","3458","4506","1126","1987","63"
"publicpolygonfeature:5:63563","ZIP Code 94070","country:us/state:ca/zip:94070","94070","370","262","1476","3157","1052","7015","8090","1008","0.8475322828597761","41890.74","11382","1463","2202","597","411","15"
"publicpolygonfeature:5:63564","ZIP Code 94074","country:us/state:ca/zip:94074","94074","0","0","11","31","0","50","0","12","0.4632540949936282","7601.9034","53","21","0","12","0","0"
"publicpolygonfeature:5:63565","ZIP Code 94080","country:us/state:ca/zip:94080","94080","2310","4476","9531","8158","4336","13720","6150","6440","0.768580607771244","50102.6319","15220","6239","7852","2328","4112","0"
"publicpolygonfeature:5:63570","ZIP Code 94102","country:us/state:ca/zip:94102","94102","2709","3368","5356","4832","2082","7588","4823","2283","0.9039331685732639","420334.0984","9615","4562","3276","1212","1071","99"
