"feature id","feature label","shid","geoid","Education 9th to 12th Grade, No Diploma (2020-2024)","Education Less than 9th Grade (2020-2024)","Education High School Degree (2020-2024)","Education Some College No Degree (2020-2024)","Education Associate Degree (2020-2024)","Education Bachelor's Degree (2020-2024)","Education Graduate Degree (2020-2024)","Blue-collar Employment (2020-2024)","Employment Entropy Index (2023)","Employment Access Index (2016)","Management, Business, Science, and Arts Occupations (2020-2024)","Service Occupations (2020-2024)","Sales and Office Occupations (2020-2024)","Natural Resources, Construction, and Maintenance Occupations (2020-2024)","Production, Transportation, and Material Moving Occupations (2020-2024)","Military Occupations (2020-2024)"
"publicpolygonfeature:5:38396","ZIP Code 33626","country:us/state:fl/zip:33626","33626","539","433","2108","2553","1853","8696","5454","978","0.8297238957735052","18146.9474","9577","1648","3738","437","541","54"
"publicpolygonfeature:5:38411","ZIP Code 33629","country:us/state:fl/zip:33629","33629","207","112","1160","2130","1008","6622","7797","713","0.8666910334148537","46484.0042","9137","873","2881","158","555","26"
"publicpolygonfeature:5:39990","ZIP Code 33634","country:us/state:fl/zip:33634","33634","1095","726","5149","2401","1847","3392","1116","2911","0.7458243070637559","45914.0916","3778","2070","3104","933","1978","110"
"publicpolygonfeature:5:40399","ZIP Code 33635","country:us/state:fl/zip:33635","33635","730","365","3840","2516","1381","3786","1939","2517","0.8526963025165147","19030.0698","4726","2208","1926","966","1551","71"
"publicpolygonfeature:5:40408","ZIP Code 34654","country:us/state:fl/zip:34654","34654","1539","540","7049","3320","1788","2306","1593","2065","0.8046640754712319","7752.1856","4040","1737","3218","1131","934","0"
"publicpolygonfeature:5:40423","ZIP Code 34677","country:us/state:fl/zip:34677","34677","485","177","4293","2937","2437","4233","3202","1321","0.8059399937010921","21375.9782","5327","1525","2974","449","872","0"
"publicpolygonfeature:5:40425","ZIP Code 34679","country:us/state:fl/zip:34679","34679","61","0","80","0","0","0","0","0","0","4034","39","0","41","0","0","0"
"publicpolygonfeature:5:40426","ZIP Code 34681","country:us/state:fl/zip:34681","34681","0","52","157","233","143","170","135","0","0.7939003224110482","11346","268","49","206","0","0","0"
"publicpolygonfeature:5:40429","ZIP Code 34691","country:us/state:fl/zip:34691","34691","1170","623","7114","3059","1731","1960","932","2302","0.7757962801503742","9197.2943","3150","1838","2507","1037","1265","0"
"publicpolygonfeature:5:40464","ZIP Code 34695","country:us/state:fl/zip:34695","34695","511","86","3186","2366","1436","4295","2204","1022","0.7858873152647778","20969.9745","4657","1298","2000","446","576","22"
"publicpolygonfeature:5:40514","ZIP Code 33705","country:us/state:fl/zip:33705","33705","912","547","5438","4086","2260","4766","2910","2215","0.6334113611474949","22373.492","6197","2186","2867","749","1466","0"
