"feature id","feature label","shid","geoid","Jobs with Worker Educational Attainment - Less than High School (2023)","Jobs with Worker Educational Attainment - Some College or Associate's Degree (2023)","Jobs with Worker Educational Attainment - Bachelor's Degree or Higher (2023)","Jobs with Worker Educational Attainment - High School Degree or Equivalent (2023)","Jobs - Accommodation and Food Services (2023)","Jobs - Administrative Support and Waste Management (2023)","Jobs - Agriculture, Forestry, Fishing, Hunting (2023)","Jobs - Arts, Entertainment and Recreation (2023)","Jobs - Construction (2023)","Jobs - Educational Services (2023)","Jobs - Finance and Insurance (2023)","Jobs - Health Care and Social Assistance (2023)","Jobs - Information (2023)","Jobs - Management (2023)","Jobs - Manufacturing (2023)","Jobs - Mining, Oil and Gas (2023)","Jobs - Other Services (2023)","Jobs - Professional, Technology and Science (2023)","Jobs - Public Administration (2023)","Jobs - Real Estate (2023)","Jobs - Retail Trade (2023)","Jobs - Transportation and Warehousing (2023)","Jobs - Utilities (2023)","Jobs - Wholesale Trade (2023)"
"publicpolygonfeature:5:39808","ZIP Code 28209","country:us/state:nc/zip:28209","28209","1555","3893","4332","3125","2166","733","0","523","714","834","2336","1795","257","1624","190","2","779","1967","0","1069","1292","110","0","736"
"publicpolygonfeature:5:40060","ZIP Code 28210","country:us/state:nc/zip:28210","28210","2685","6072","6625","4964","2630","2352","5","682","626","1050","5299","3600","220","287","52","1","542","1934","57","1300","5231","168","2","983"
"publicpolygonfeature:5:40123","ZIP Code 28211","country:us/state:nc/zip:28211","28211","1940","4795","4835","4002","2369","1172","0","150","636","1064","1794","4059","909","1754","205","0","594","1900","0","699","2626","197","0","586"
"publicpolygonfeature:5:40131","ZIP Code 28212","country:us/state:nc/zip:28212","28212","1242","2575","2434","2268","539","516","0","130","196","1404","250","1514","101","723","38","0","321","724","489","620","2881","51","0","427"
"publicpolygonfeature:5:40641","ZIP Code 28077","country:us/state:nc/zip:28077","28077","1","4","3","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","3","0","0","0","0"
"publicpolygonfeature:5:40772","ZIP Code 28213","country:us/state:nc/zip:28213","28213","1330","2302","1887","2137","652","638","4","40","1120","342","824","1212","207","98","421","0","449","576","0","249","2086","234","0","783"
"publicpolygonfeature:5:40960","ZIP Code 28226","country:us/state:nc/zip:28226","28226","1446","3619","4034","2906","1707","804","2","641","1403","799","1694","2531","463","36","72","0","569","1404","0","390","1863","212","13","1140"
"publicpolygonfeature:5:41016","ZIP Code 27013","country:us/state:nc/zip:27013","27013","386","1035","410","1046","30","37","54","0","64","29","1","262","0","2","2398","6","16","35","23","4","94","160","0","106"
"publicpolygonfeature:5:41042","ZIP Code 28081","country:us/state:nc/zip:28081","28081","490","1032","836","1018","406","413","1","157","738","384","71","623","60","6","32","0","107","441","473","51","344","32","0","131"
"publicpolygonfeature:5:41046","ZIP Code 28083","country:us/state:nc/zip:28083","28083","831","1678","1138","1564","1149","208","0","105","319","471","202","838","146","9","122","8","352","416","0","79","2627","199","0","253"
"publicpolygonfeature:5:41047","ZIP Code 27054","country:us/state:nc/zip:27054","27054","30","43","30","46","0","5","1","0","20","0","0","0","0","0","70","14","6","4","11","0","8","15","0","21"
"publicpolygonfeature:5:41049","ZIP Code 28098","country:us/state:nc/zip:28098","28098","180","361","244","334","99","61","0","1","102","206","1","26","2","0","155","0","28","8","43","4","337","91","0","267"
"publicpolygonfeature:5:41053","ZIP Code 28101","country:us/state:nc/zip:28101","28101","105","131","86","129","0","23","0","24","1","25","0","14","0","0","403","0","16","14","2","0","3","0","0","0"
"publicpolygonfeature:5:41054","ZIP Code 28102","country:us/state:nc/zip:28102","28102",,,,,,,,,,,,,,,,,,,,,,,,
"publicpolygonfeature:5:41144","ZIP Code 28270","country:us/state:nc/zip:28270","28270","636","1731","2122","1396","568","749","5","211","223","1464","466","662","298","69","234","0","258","1037","0","165","493","46","4","526"
"publicpolygonfeature:5:41147","ZIP Code 28273","country:us/state:nc/zip:28273","28273","7633","15577","12254","14460","2822","7694","70","1081","7655","984","1268","1774","6051","1537","9362","68","853","4045","9","964","5596","2340","7","9073"
"publicpolygonfeature:5:41153","ZIP Code 28277","country:us/state:nc/zip:28277","28277","4038","10034","12729","7747","5311","3088","59","1887","1154","2039","9937","3440","1824","1621","550","2","1507","5429","1","646","4411","1297","0","2296"
"publicpolygonfeature:5:41194","ZIP Code 28012","country:us/state:nc/zip:28012","28012","1021","2075","1488","1999","1348","389","1","156","1107","471","236","836","22","19","1144","0","308","525","190","151","1542","349","53","321"
"publicpolygonfeature:5:41199","ZIP Code 28278","country:us/state:nc/zip:28278","28278","930","1997","1769","1804","623","1028","66","149","326","360","137","373","59","18","2449","0","331","761","0","133","1214","37","0","574"
"publicpolygonfeature:5:41204","ZIP Code 28280","country:us/state:nc/zip:28280","28280","131","319","553","276","479","4","0","9","15","4","418","0","0","12","3","0","20","717","0","42","35","0","0","5"
"publicpolygonfeature:5:41208","ZIP Code 28282","country:us/state:nc/zip:28282","28282","325","867","1506","635","123","11","0","0","0","0","3600","0","0","0","0","0","0","11","0","23","9","0","0","0"
"publicpolygonfeature:5:41400","ZIP Code 28006","country:us/state:nc/zip:28006","28006","23","64","53","69","0","23","0","0","11","0","0","0","0","0","44","0","4","0","0","0","2","1","0","162"
"publicpolygonfeature:5:41401","ZIP Code 28007","country:us/state:nc/zip:28007","28007","48","71","29","93","0","0","21","0","0","24","0","3","0","0","170","0","1","0","11","0","48","0","0","0"
"publicpolygonfeature:5:41404","ZIP Code 28016","country:us/state:nc/zip:28016","28016","386","759","456","769","108","123","3","2","223","283","19","50","7","0","1539","3","81","15","61","19","194","7","0","177"
"publicpolygonfeature:5:41412","ZIP Code 28021","country:us/state:nc/zip:28021","28021","303","733","428","767","324","86","8","16","204","135","53","342","27","0","184","0","246","56","108","19","595","368","0","158"
"publicpolygonfeature:5:41413","ZIP Code 28023","country:us/state:nc/zip:28023","28023","297","815","535","638","304","198","31","162","300","503","47","98","22","0","47","0","60","131","53","23","506","450","5","57"
"publicpolygonfeature:5:41414","ZIP Code 28025","country:us/state:nc/zip:28025","28025","2496","6009","4779","5244","1933","1428","17","108","1233","1211","397","7041","341","11","2567","0","535","838","3051","432","1468","171","1","885"
"publicpolygonfeature:5:41415","ZIP Code 28033","country:us/state:nc/zip:28033","28033","49","104","65","114","0","70","31","0","14","0","2","0","0","4","215","0","4","1","0","1","9","12","58","8"
"publicpolygonfeature:5:41417","ZIP Code 28027","country:us/state:nc/zip:28027","28027","4485","9457","6941","8827","6976","1963","28","2046","2163","3535","479","1432","344","1174","2342","80","1274","1452","47","453","8653","5024","145","3886"
"publicpolygonfeature:5:41418","ZIP Code 28031","country:us/state:nc/zip:28031","28031","1433","3250","2976","2691","1690","1266","8","892","1163","515","898","1013","300","49","315","0","534","1806","165","622","1923","257","87","791"
"publicpolygonfeature:5:41419","ZIP Code 28032","country:us/state:nc/zip:28032","28032","57","152","139","126","99","9","0","36","23","74","6","89","4","0","20","0","0","21","79","5","128","15","0","57"
"publicpolygonfeature:5:41420","ZIP Code 28034","country:us/state:nc/zip:28034","28034","404","918","749","888","455","116","5","1","239","1011","47","128","2","14","717","0","71","79","76","19","547","33","38","220"
"publicpolygonfeature:5:41421","ZIP Code 28036","country:us/state:nc/zip:28036","28036","714","2077","2597","1636","719","239","17","221","389","2090","268","1025","171","23","770","0","81","750","145","118","846","9","0","1457"
"publicpolygonfeature:5:41422","ZIP Code 28054","country:us/state:nc/zip:28054","28054","2370","5907","4142","4803","2555","1686","0","251","734","1132","444","9077","242","96","1183","0","478","503","616","285","2606","289","12","330"
"publicpolygonfeature:5:41423","ZIP Code 28037","country:us/state:nc/zip:28037","28037","984","2223","1745","2051","1364","743","10","239","1060","687","273","637","92","21","1003","15","452","584","0","147","1892","276","51","373"
"publicpolygonfeature:5:41424","ZIP Code 28039","country:us/state:nc/zip:28039","28039","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:41425","ZIP Code 28072","country:us/state:nc/zip:28072","28072","36","86","71","73","34","35","0","0","21","90","13","11","0","0","12","0","6","19","46","4","28","5","0","10"
"publicpolygonfeature:5:41429","ZIP Code 28075","country:us/state:nc/zip:28075","28075","755","1361","1096","1263","934","749","0","190","338","445","189","601","27","5","266","0","238","458","0","38","902","442","0","595"
"publicpolygonfeature:5:41432","ZIP Code 28052","country:us/state:nc/zip:28052","28052","2307","5138","3099","5009","989","1659","5","38","1416","1093","286","1768","194","134","5728","4","274","380","2307","114","1697","333","1","538"
"publicpolygonfeature:5:41433","ZIP Code 28056","country:us/state:nc/zip:28056","28056","947","2185","1512","1937","1248","187","8","208","376","544","146","876","79","16","540","0","285","328","990","88","2630","68","298","250"
"publicpolygonfeature:5:41434","ZIP Code 28071","country:us/state:nc/zip:28071","28071","62","142","75","153","0","27","14","4","64","35","0","72","0","0","25","78","10","9","0","1","30","132","0","45"
"publicpolygonfeature:5:41435","ZIP Code 28078","country:us/state:nc/zip:28078","28078","3463","7864","7158","6575","3137","3812","689","1296","1078","1633","1525","4595","662","632","2106","0","885","2820","235","522","4282","712","937","2091"
"publicpolygonfeature:5:41436","ZIP Code 28107","country:us/state:nc/zip:28107","28107","246","502","320","497","71","236","44","0","602","55","17","81","9","1","132","0","65","113","17","10","80","50","0","337"
