"feature id","feature label","shid","geoid","Jobs with Worker Educational Attainment - Less than High School (2023)","Jobs with Worker Educational Attainment - Some College or Associate's Degree (2023)","Jobs with Worker Educational Attainment - Bachelor's Degree or Higher (2023)","Jobs with Worker Educational Attainment - High School Degree or Equivalent (2023)","Jobs - Accommodation and Food Services (2023)","Jobs - Administrative Support and Waste Management (2023)","Jobs - Agriculture, Forestry, Fishing, Hunting (2023)","Jobs - Arts, Entertainment and Recreation (2023)","Jobs - Construction (2023)","Jobs - Educational Services (2023)","Jobs - Finance and Insurance (2023)","Jobs - Health Care and Social Assistance (2023)","Jobs - Information (2023)","Jobs - Management (2023)","Jobs - Manufacturing (2023)","Jobs - Mining, Oil and Gas (2023)","Jobs - Other Services (2023)","Jobs - Professional, Technology and Science (2023)","Jobs - Public Administration (2023)","Jobs - Real Estate (2023)","Jobs - Retail Trade (2023)","Jobs - Transportation and Warehousing (2023)","Jobs - Utilities (2023)","Jobs - Wholesale Trade (2023)"
"publicpolygonfeature:5:44954","ZIP Code 43766","country:us/state:oh/zip:43766","43766","3","9","5","20","8","5","0","0","12","0","0","0","0","0","0","0","2","0","10","0","8","2","0","0"
"publicpolygonfeature:5:45247","ZIP Code 43003","country:us/state:oh/zip:43003","43003","28","79","56","91","43","16","10","32","28","49","0","8","13","0","24","0","45","8","28","0","35","1","0","3"
"publicpolygonfeature:5:45253","ZIP Code 43004","country:us/state:oh/zip:43004","43004","241","709","724","658","133","232","0","119","146","249","88","346","121","2","251","0","226","438","48","59","372","24","37","169"
"publicpolygonfeature:5:45301","ZIP Code 43207","country:us/state:oh/zip:43207","43207","2343","5459","3724","5882","1018","1787","0","69","1778","1096","139","1155","189","142","4762","15","612","232","1460","283","1630","3687","1","1735"
"publicpolygonfeature:5:45308","ZIP Code 43209","country:us/state:oh/zip:43209","43209","675","1820","1897","1666","1527","156","0","170","613","1539","197","1288","155","67","137","0","329","230","139","248","346","804","4","316"
"publicpolygonfeature:5:45314","ZIP Code 43210","country:us/state:oh/zip:43210","43210","2563","9114","15974","6224","294","39","0","0","38","38196","27","107","1255","1","156","0","52","133","0","34","2","0","0","233"
"publicpolygonfeature:5:45328","ZIP Code 43211","country:us/state:oh/zip:43211","43211","372","1046","943","960","307","128","4","649","436","632","18","333","0","0","307","0","129","23","142","27","608","44","0","390"
"publicpolygonfeature:5:45336","ZIP Code 43212","country:us/state:oh/zip:43212","43212","1537","4053","4127","3563","2957","1586","0","372","730","401","1115","2402","1632","115","534","0","812","2666","44","282","1901","304","108","800"
"publicpolygonfeature:5:45340","ZIP Code 43213","country:us/state:oh/zip:43213","43213","2109","5593","4347","4741","2111","2489","0","153","674","908","681","7280","157","484","448","0","438","646","135","277","3218","1362","0","1162"
"publicpolygonfeature:5:45395","ZIP Code 43214","country:us/state:oh/zip:43214","43214","1710","6257","6390","4590","1563","1153","0","466","401","1320","261","15164","89","11","555","3","503","706","0","213","1769","36","0","109"
"publicpolygonfeature:5:46144","ZIP Code 43215","country:us/state:oh/zip:43215","43215","8126","28405","36494","21082","7160","5869","1","2471","3795","7347","18320","10999","3944","5557","872","2","3445","14962","21112","3484","1193","1787","1890","805"
"publicpolygonfeature:5:46148","ZIP Code 43217","country:us/state:oh/zip:43217","43217","174","427","255","428","9","4","0","0","0","0","0","1","0","0","134","0","0","9","62","11","206","784","0","423"
"publicpolygonfeature:5:46151","ZIP Code 43219","country:us/state:oh/zip:43219","43219","5489","16169","16591","13559","4363","3610","27","487","2015","5536","12529","3359","375","3287","4722","0","879","2626","45","1539","7989","8864","9","3561"
"publicpolygonfeature:5:46155","ZIP Code 43220","country:us/state:oh/zip:43220","43220","880","2682","2773","2056","1487","645","48","141","295","994","729","3435","241","100","194","13","515","945","24","223","1232","68","0","173"
"publicpolygonfeature:5:46158","ZIP Code 43232","country:us/state:oh/zip:43232","43232","1278","2647","2020","2587","974","1512","11","178","400","1131","75","2047","3","25","890","0","367","115","45","319","1492","1163","59","400"
"publicpolygonfeature:5:46185","ZIP Code 43235","country:us/state:oh/zip:43235","43235","1851","5206","5492","4235","2535","3897","4","371","670","1012","1131","3183","329","232","136","3","1615","2480","933","605","2058","391","1","338"
"publicpolygonfeature:5:46188","ZIP Code 43240","country:us/state:oh/zip:43240","43240","2016","6131","8362","4741","4724","204","0","211","116","25","2338","679","179","13024","649","0","283","1473","9","219","4194","32","10","141"
"publicpolygonfeature:5:46242","ZIP Code 43320","country:us/state:oh/zip:43320","43320","15","30","14","41","17","15","22","3","12","0","3","0","0","0","5","0","0","0","11","0","20","11","0","9"
"publicpolygonfeature:5:46245","ZIP Code 43321","country:us/state:oh/zip:43321","43321","9","14","11","15","26","0","0","0","28","0","0","21","0","0","0","0","0","0","2","0","6","0","0","0"
"publicpolygonfeature:5:46299","ZIP Code 43103","country:us/state:oh/zip:43103","43103","190","551","473","626","234","89","33","7","126","574","32","47","0","12","184","0","29","18","68","73","147","542","0","188"
"publicpolygonfeature:5:46342","ZIP Code 43008","country:us/state:oh/zip:43008","43008","56","136","69","150","237","24","0","35","7","0","7","4","0","0","27","0","17","42","27","0","215","5","0","0"
"publicpolygonfeature:5:46360","ZIP Code 43204","country:us/state:oh/zip:43204","43204","1448","3438","3032","3181","507","1626","0","6","1673","1325","197","1762","628","102","674","0","431","1175","624","306","746","648","0","1337"
"publicpolygonfeature:5:46372","ZIP Code 43205","country:us/state:oh/zip:43205","43205","536","1670","1742","1283","277","137","0","1140","163","901","248","2247","58","8","59","0","172","492","0","173","269","2","0","60"
"publicpolygonfeature:5:46374","ZIP Code 43206","country:us/state:oh/zip:43206","43206","560","1545","1591","1343","1304","818","0","51","102","428","109","509","45","978","146","0","295","852","9","119","304","33","382","62"
"publicpolygonfeature:5:46379","ZIP Code 43001","country:us/state:oh/zip:43001","43001","38","113","121","109","51","43","69","9","37","45","58","4","9","0","16","0","44","25","29","5","38","40","0","1"
"publicpolygonfeature:5:46380","ZIP Code 43002","country:us/state:oh/zip:43002","43002","8","26","16","14","0","0","0","0","2","0","0","0","0","0","0","0","5","4","0","0","92","2","0","0"
"publicpolygonfeature:5:46381","ZIP Code 43011","country:us/state:oh/zip:43011","43011","49","140","150","161","58","57","4","3","97","141","6","133","12","0","6","0","16","14","16","7","74","1","0","27"
"publicpolygonfeature:5:46382","ZIP Code 43013","country:us/state:oh/zip:43013","43013","52","82","67","88","2","0","257","1","9","11","0","0","0","0","12","0","0","0","50","2","1","6","1","6"
"publicpolygonfeature:5:46384","ZIP Code 43015","country:us/state:oh/zip:43015","43015","1647","4885","4272","4598","1629","909","147","334","1213","2219","287","3174","213","410","2561","33","766","815","1460","171","2200","1743","153","502"
"publicpolygonfeature:5:46386","ZIP Code 43016","country:us/state:oh/zip:43016","43016","1615","5008","5480","4209","1551","1945","1","658","1173","1138","1202","4722","453","1579","728","4","495","2002","208","230","2483","273","805","815"
"publicpolygonfeature:5:46387","ZIP Code 43017","country:us/state:oh/zip:43017","43017","3004","9290","11957","7418","3300","3574","0","921","895","1388","4881","4061","1711","2695","418","1","1134","7195","123","554","3836","856","10","3500"
"publicpolygonfeature:5:46388","ZIP Code 43019","country:us/state:oh/zip:43019","43019","129","427","275","596","79","27","12","5","560","166","21","34","18","14","511","6","15","41","48","3","184","20","3","20"
"publicpolygonfeature:5:46389","ZIP Code 43021","country:us/state:oh/zip:43021","43021","117","403","421","327","209","100","1","89","303","383","48","28","16","3","12","5","38","149","37","42","133","61","7","36"
"publicpolygonfeature:5:46391","ZIP Code 43023","country:us/state:oh/zip:43023","43023","304","1017","1143","930","537","344","62","29","152","1143","84","540","39","3","41","0","150","855","113","34","193","37","0","52"
"publicpolygonfeature:5:46392","ZIP Code 43025","country:us/state:oh/zip:43025","43025","510","1428","843","1475","208","767","15","33","137","267","25","24","2","402","1943","0","29","117","71","12","888","191","40","141"
"publicpolygonfeature:5:46393","ZIP Code 43026","country:us/state:oh/zip:43026","43026","2530","6645","6380","5988","3655","3053","55","508","1885","1889","1502","3254","1356","1308","1971","6","1319","1337","237","484","4278","669","10","1440"
"publicpolygonfeature:5:46395","ZIP Code 43029","country:us/state:oh/zip:43029","43029","2","15","6","5","0","2","13","0","7","0","0","0","10","0","0","0","2","0","0","2","0","0","0","0"
"publicpolygonfeature:5:46396","ZIP Code 43030","country:us/state:oh/zip:43030","43030","8","29","42","35","19","0","0","0","0","38","0","0","0","0","0","0","0","1","72","0","7","3","0","4"
"publicpolygonfeature:5:46397","ZIP Code 43031","country:us/state:oh/zip:43031","43031","339","804","613","859","277","146","278","46","276","299","47","281","12","0","599","7","155","70","93","26","497","219","0","182"
"publicpolygonfeature:5:46398","ZIP Code 43032","country:us/state:oh/zip:43032","43032","0","1","8","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16","0","0","0","0","0"
"publicpolygonfeature:5:46399","ZIP Code 43033","country:us/state:oh/zip:43033","43033","15","45","44","29","22","0","0","0","0","79","0","0","0","0","3","0","15","0","3","0","34","3","0","0"
"publicpolygonfeature:5:46400","ZIP Code 43035","country:us/state:oh/zip:43035","43035","1017","2904","3188","2477","1122","449","0","570","587","1887","118","1266","71","100","1289","1","307","1218","83","141","2801","115","36","1186"
"publicpolygonfeature:5:46401","ZIP Code 43036","country:us/state:oh/zip:43036","43036","2","5","6","2","0","0","0","0","0","0","0","17","0","0","0","0","1","2","0","0","0","0","0","0"
"publicpolygonfeature:5:46403","ZIP Code 43044","country:us/state:oh/zip:43044","43044","52","171","127","177","91","9","10","30","26","115","11","31","9","0","30","17","50","12","103","10","76","17","0","87"
"publicpolygonfeature:5:46404","ZIP Code 43040","country:us/state:oh/zip:43040","43040","2096","6568","5116","6216","1583","4030","69","163","302","1070","301","2229","163","433","9016","0","447","1340","1038","134","2189","1231","115","409"
"publicpolygonfeature:5:46405","ZIP Code 43045","country:us/state:oh/zip:43045","43045","10","47","30","57","2","4","11","2","11","0","0","0","0","0","33","0","1","32","22","0","23","29","0","13"
"publicpolygonfeature:5:46406","ZIP Code 43046","country:us/state:oh/zip:43046","43046","27","138","99","138","34","5","0","0","70","76","6","89","0","6","20","0","0","45","106","2","93","12","0","15"
"publicpolygonfeature:5:46407","ZIP Code 43062","country:us/state:oh/zip:43062","43062","1482","3682","2994","3443","647","230","27","163","739","1145","102","572","37","40","537","19","227","743","192","74","918","9507","83","699"
"publicpolygonfeature:5:46409","ZIP Code 43054","country:us/state:oh/zip:43054","43054","2194","5624","6084","4949","1379","2888","25","390","564","929","4640","1328","377","3241","3325","0","540","2415","246","124","830","1989","15","281"
"publicpolygonfeature:5:46410","ZIP Code 43071","country:us/state:oh/zip:43071","43071","31","79","42","85","50","5","6","0","136","0","0","51","0","0","5","2","4","7","18","24","17","3","0","0"
"publicpolygonfeature:5:46411","ZIP Code 43055","country:us/state:oh/zip:43055","43055","1751","6044","4555","5552","2152","954","46","272","1250","2755","2139","5219","182","190","2347","18","952","653","1034","192","1870","366","118","486"
"publicpolygonfeature:5:46413","ZIP Code 43056","country:us/state:oh/zip:43056","43056","729","1912","1333","2146","1373","503","31","248","416","239","178","588","96","185","648","4","802","439","33","76","2275","295","109","353"
"publicpolygonfeature:5:46415","ZIP Code 43061","country:us/state:oh/zip:43061","43061","36","132","98","143","6","49","41","28","40","58","15","0","0","0","19","45","55","21","25","4","37","44","27","15"
"publicpolygonfeature:5:46416","ZIP Code 43064","country:us/state:oh/zip:43064","43064","693","1802","1592","1740","539","935","435","84","1184","622","92","124","37","23","870","2","416","359","123","36","1124","478","34","543"
"publicpolygonfeature:5:46417","ZIP Code 43065","country:us/state:oh/zip:43065","43065","791","2593","3185","2172","1913","772","17","1225","307","1690","524","1729","86","81","106","0","758","1326","171","193","1324","217","14","249"
"publicpolygonfeature:5:46418","ZIP Code 43066","country:us/state:oh/zip:43066","43066","10","29","19","25","0","10","3","17","26","0","8","2","0","0","0","0","1","7","17","0","2","1","0","3"
"publicpolygonfeature:5:46419","ZIP Code 43067","country:us/state:oh/zip:43067","43067","312","762","681","747","22","34","80","2","9","28","0","0","0","7","0","0","2","2304","2","0","25","548","0","36"
"publicpolygonfeature:5:46420","ZIP Code 43068","country:us/state:oh/zip:43068","43068","1651","4223","3428","3980","2162","1773","46","92","1253","826","381","4070","76","44","1334","0","393","563","1202","543","3574","241","7","300"
"publicpolygonfeature:5:46422","ZIP Code 43074","country:us/state:oh/zip:43074","43074","351","1105","955","1112","829","99","19","110","301","471","84","503","51","10","706","0","110","158","146","42","1337","54","0","188"
"publicpolygonfeature:5:46423","ZIP Code 43076","country:us/state:oh/zip:43076","43076","119","320","264","350","230","23","2","7","279","179","21","252","3","26","15","90","49","19","17","12","123","57","0","6"
"publicpolygonfeature:5:46424","ZIP Code 43077","country:us/state:oh/zip:43077","43077",,,,,,,,,,,,,,,,,,,,,,,,
"publicpolygonfeature:5:46426","ZIP Code 43080","country:us/state:oh/zip:43080","43080","80","209","159","217","86","45","24","3","109","172","48","65","0","0","161","6","11","10","22","2","60","12","0","35"
