"feature id","feature label","shid","geoid","Jobs with Worker Educational Attainment - Less than High School (2023)","Jobs with Worker Educational Attainment - Some College or Associate's Degree (2023)","Jobs with Worker Educational Attainment - Bachelor's Degree or Higher (2023)","Jobs with Worker Educational Attainment - High School Degree or Equivalent (2023)","Jobs - Accommodation and Food Services (2023)","Jobs - Administrative Support and Waste Management (2023)","Jobs - Agriculture, Forestry, Fishing, Hunting (2023)","Jobs - Arts, Entertainment and Recreation (2023)","Jobs - Construction (2023)","Jobs - Educational Services (2023)","Jobs - Finance and Insurance (2023)","Jobs - Health Care and Social Assistance (2023)","Jobs - Information (2023)","Jobs - Management (2023)","Jobs - Manufacturing (2023)","Jobs - Mining, Oil and Gas (2023)","Jobs - Other Services (2023)","Jobs - Professional, Technology and Science (2023)","Jobs - Public Administration (2023)","Jobs - Real Estate (2023)","Jobs - Retail Trade (2023)","Jobs - Transportation and Warehousing (2023)","Jobs - Utilities (2023)","Jobs - Wholesale Trade (2023)"
"publicpolygonfeature:5:47377","ZIP Code 46151","country:us/state:in/zip:46151","46151","589","1541","1079","1660","670","261","42","30","446","766","251","721","52","1","466","8","278","212","531","64","1159","161","244","114"
"publicpolygonfeature:5:47551","ZIP Code 46001","country:us/state:in/zip:46001","46001","192","523","319","615","133","24","8","33","168","205","58","165","15","7","376","0","113","75","92","11","214","343","0","23"
"publicpolygonfeature:5:47552","ZIP Code 46011","country:us/state:in/zip:46011","46011","539","1588","1069","1500","351","532","47","38","189","465","37","1530","31","0","1560","2","80","30","63","14","116","570","0","198"
"publicpolygonfeature:5:47553","ZIP Code 46240","country:us/state:in/zip:46240","46240","3452","9775","10876","8040","3273","6013","13","247","1374","2977","8358","2753","669","443","133","0","716","7188","13","1350","5079","119","4","1143"
"publicpolygonfeature:5:47559","ZIP Code 46012","country:us/state:in/zip:46012","46012","382","929","642","995","529","290","4","6","120","924","120","714","0","6","301","0","167","126","97","75","724","45","0","49"
"publicpolygonfeature:5:47560","ZIP Code 46013","country:us/state:in/zip:46013","46013","858","2095","1338","2192","1590","723","66","882","298","234","338","1198","76","5","535","0","211","118","2","118","2503","129","0","331"
"publicpolygonfeature:5:47561","ZIP Code 46016","country:us/state:in/zip:46016","46016","606","1901","1266","1613","672","397","0","32","126","211","174","1881","169","28","397","0","262","233","1429","106","518","65","42","113"
"publicpolygonfeature:5:47562","ZIP Code 46017","country:us/state:in/zip:46017","46017","77","213","100","182","80","72","0","0","76","26","17","128","0","0","12","0","49","27","26","6","62","15","0","132"
"publicpolygonfeature:5:47563","ZIP Code 46030","country:us/state:in/zip:46030","46030","122","387","347","384","6","81","539","0","78","420","3","23","0","0","15","0","17","8","51","0","76","4","0","186"
"publicpolygonfeature:5:47564","ZIP Code 46268","country:us/state:in/zip:46268","46268","5113","11113","9610","10244","2245","6028","32","474","2790","1499","394","3034","848","2495","6742","0","1778","3868","1","534","3334","5904","17","4743"
"publicpolygonfeature:5:47565","ZIP Code 46031","country:us/state:in/zip:46031","46031","10","47","26","46","3","13","9","1","24","0","0","0","14","2","31","0","2","3","4","0","30","5","0","35"
"publicpolygonfeature:5:47566","ZIP Code 46032","country:us/state:in/zip:46032","46032","4138","12688","14474","10065","4644","2352","14","997","1432","2335","8686","10838","929","1043","1918","1","1640","6296","1063","1305","4951","212","1001","2763"
"publicpolygonfeature:5:47567","ZIP Code 46033","country:us/state:in/zip:46033","46033","566","1498","1944","1332","1322","409","4","224","189","1207","205","665","127","32","35","5","252","625","0","107","1558","272","12","285"
"publicpolygonfeature:5:47568","ZIP Code 46034","country:us/state:in/zip:46034","46034","100","202","186","258","216","69","4","22","214","2","32","62","0","0","12","0","39","106","52","26","115","17","0","45"
"publicpolygonfeature:5:47569","ZIP Code 46035","country:us/state:in/zip:46035","46035","13","26","13","29","0","0","0","0","0","0","0","0","6","0","41","0","0","0","6","4","26","4","0","16"
"publicpolygonfeature:5:47571","ZIP Code 46036","country:us/state:in/zip:46036","46036","272","822","439","934","192","6","7","18","70","282","39","244","27","173","1145","0","68","24","140","16","337","243","0","96"
"publicpolygonfeature:5:47572","ZIP Code 46037","country:us/state:in/zip:46037","46037","1508","3983","3769","3479","2786","1883","0","244","376","1186","1735","2661","112","333","844","0","493","1483","6","242","2332","366","1","824"
"publicpolygonfeature:5:47573","ZIP Code 46038","country:us/state:in/zip:46038","46038","1576","4396","4075","3959","2196","1206","0","620","1343","1725","657","2281","90","182","341","0","1061","2374","696","427","2285","313","5","1575"
"publicpolygonfeature:5:47575","ZIP Code 46040","country:us/state:in/zip:46040","46040","246","671","626","639","374","117","11","16","194","780","31","92","76","0","466","0","94","175","73","53","155","73","0","54"
"publicpolygonfeature:5:47577","ZIP Code 46044","country:us/state:in/zip:46044","46044","30","96","92","116","29","0","54","0","22","198","0","9","2","0","28","0","5","6","10","13","41","0","0","0"
"publicpolygonfeature:5:47578","ZIP Code 46045","country:us/state:in/zip:46045","46045",,,,,,,,,,,,,,,,,,,,,,,,
"publicpolygonfeature:5:47579","ZIP Code 46047","country:us/state:in/zip:46047","46047",,,,,,,,,,,,,,,,,,,,,,,,
"publicpolygonfeature:5:47580","ZIP Code 46048","country:us/state:in/zip:46048","46048","4","13","17","18","4","0","0","0","15","0","2","0","0","0","0","0","0","0","18","0","18","0","0","7"
"publicpolygonfeature:5:47581","ZIP Code 46049","country:us/state:in/zip:46049","46049","14","54","17","38","0","0","9","0","0","0","0","0","4","0","3","0","0","0","126","0","0","2","0","12"
"publicpolygonfeature:5:47582","ZIP Code 46278","country:us/state:in/zip:46278","46278","1546","3718","3362","3181","814","3301","3","244","619","95","452","2223","635","267","923","0","388","2107","56","116","557","172","103","2012"
"publicpolygonfeature:5:47583","ZIP Code 46050","country:us/state:in/zip:46050","46050","15","40","25","46","19","28","15","0","52","0","7","0","5","0","18","0","2","7","7","0","4","3","0","8"
"publicpolygonfeature:5:47584","ZIP Code 46051","country:us/state:in/zip:46051","46051","86","238","164","257","26","44","5","0","34","173","14","17","0","0","362","0","53","29","16","2","35","109","0","2"
"publicpolygonfeature:5:47585","ZIP Code 46052","country:us/state:in/zip:46052","46052","1795","3776","2687","3926","875","323","78","84","1042","493","132","1711","59","2","2423","0","314","3062","637","34","1222","2369","59","1097"
"publicpolygonfeature:5:47587","ZIP Code 46055","country:us/state:in/zip:46055","46055","345","673","495","656","284","802","6","2","96","77","65","190","5","0","371","0","81","189","41","23","469","379","0","61"
"publicpolygonfeature:5:47588","ZIP Code 46056","country:us/state:in/zip:46056","46056","27","82","33","85","0","76","0","2","53","0","0","0","0","0","126","0","9","7","9","0","2","0","0","6"
"publicpolygonfeature:5:47591","ZIP Code 46060","country:us/state:in/zip:46060","46060","2166","5899","5207","5733","3015","642","84","765","2356","2182","462","3713","206","222","3049","78","805","1114","1653","271","4385","198","57","1041"
"publicpolygonfeature:5:47593","ZIP Code 46062","country:us/state:in/zip:46062","46062","517","1224","1106","1116","570","571","34","195","638","118","195","765","79","43","274","134","181","437","0","123","542","84","137","362"
"publicpolygonfeature:5:47594","ZIP Code 46063","country:us/state:in/zip:46063","46063","0","0","2","3","0","0","0","1","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0"
"publicpolygonfeature:5:47595","ZIP Code 46064","country:us/state:in/zip:46064","46064","464","1391","991","1317","493","79","20","146","508","685","367","292","30","26","165","0","126","116","988","15","319","929","0","225"
"publicpolygonfeature:5:47597","ZIP Code 46068","country:us/state:in/zip:46068","46068","51","136","94","131","0","17","40","0","57","132","0","18","2","0","201","0","4","12","5","1","31","8","0","19"
"publicpolygonfeature:5:47598","ZIP Code 46069","country:us/state:in/zip:46069","46069","109","285","267","298","36","103","42","0","72","248","16","95","9","74","186","0","37","77","45","2","74","18","3","24"
"publicpolygonfeature:5:47599","ZIP Code 46070","country:us/state:in/zip:46070","46070","16","56","25","68","18","24","6","12","0","49","0","0","0","0","48","0","2","1","6","2","5","5","0","24"
"publicpolygonfeature:5:47600","ZIP Code 46071","country:us/state:in/zip:46071","46071","60","180","159","193","49","26","51","0","50","298","28","57","15","0","70","0","21","30","7","0","20","5","0","22"
"publicpolygonfeature:5:47601","ZIP Code 46072","country:us/state:in/zip:46072","46072","332","859","527","940","282","45","286","6","371","263","107","474","36","18","712","0","71","105","120","16","414","20","0","94"
"publicpolygonfeature:5:47602","ZIP Code 46074","country:us/state:in/zip:46074","46074","1197","2964","2884","2545","1380","999","175","409","1229","1816","671","1120","66","40","1015","0","360","788","274","235","1318","416","26","908"
"publicpolygonfeature:5:47603","ZIP Code 46075","country:us/state:in/zip:46075","46075","1998","3319","2685","3161","514","458","7","51","265","133","14","294","39","201","307","0","113","808","161","144","1074","10074","0","967"
"publicpolygonfeature:5:47604","ZIP Code 46076","country:us/state:in/zip:46076","46076","28","68","29","52","11","0","65","0","3","0","0","0","0","0","24","0","5","28","6","0","50","3","12","25"
