"feature id","feature label","shid","geoid","Jobs with Worker Educational Attainment - Less than High School (2023)","Jobs with Worker Educational Attainment - Some College or Associate's Degree (2023)","Jobs with Worker Educational Attainment - Bachelor's Degree or Higher (2023)","Jobs with Worker Educational Attainment - High School Degree or Equivalent (2023)","Jobs - Accommodation and Food Services (2023)","Jobs - Administrative Support and Waste Management (2023)","Jobs - Agriculture, Forestry, Fishing, Hunting (2023)","Jobs - Arts, Entertainment and Recreation (2023)","Jobs - Construction (2023)","Jobs - Educational Services (2023)","Jobs - Finance and Insurance (2023)","Jobs - Health Care and Social Assistance (2023)","Jobs - Information (2023)","Jobs - Management (2023)","Jobs - Manufacturing (2023)","Jobs - Mining, Oil and Gas (2023)","Jobs - Other Services (2023)","Jobs - Professional, Technology and Science (2023)","Jobs - Public Administration (2023)","Jobs - Real Estate (2023)","Jobs - Retail Trade (2023)","Jobs - Transportation and Warehousing (2023)","Jobs - Utilities (2023)","Jobs - Wholesale Trade (2023)"
"publicpolygonfeature:5:41095","ZIP Code 32202","country:us/state:fl/zip:32202","32202","2896","7311","7328","6764","1912","2744","0","2504","1281","72","3905","1096","2830","1749","733","84","540","4654","2625","726","423","79","903","240"
"publicpolygonfeature:5:41100","ZIP Code 32204","country:us/state:fl/zip:32204","32204","2104","5001","4211","3956","1370","1275","8","207","1792","112","1488","6595","982","29","561","4","494","788","4","204","665","1001","0","1044"
"publicpolygonfeature:5:41113","ZIP Code 32205","country:us/state:fl/zip:32205","32205","1438","2715","1762","2672","2390","1316","0","37","967","90","318","1416","54","26","537","0","881","759","1","345","2492","35","0","117"
"publicpolygonfeature:5:41181","ZIP Code 32206","country:us/state:fl/zip:32206","32206","1371","2751","2186","2663","496","760","0","17","878","86","75","1355","25","71","1294","0","847","629","491","80","431","2199","280","411"
"publicpolygonfeature:5:41191","ZIP Code 32207","country:us/state:fl/zip:32207","32207","6415","15240","14399","12288","2353","3806","1","195","2585","14184","3233","18680","219","553","1455","0","982","3543","10","530","2015","1356","148","1980"
"publicpolygonfeature:5:41305","ZIP Code 32208","country:us/state:fl/zip:32208","32208","878","1801","1558","1598","436","164","0","3","254","121","2476","536","92","1","677","0","252","899","57","41","789","264","0","31"
"publicpolygonfeature:5:41320","ZIP Code 32209","country:us/state:fl/zip:32209","32209","1857","3961","3018","3261","872","808","36","59","121","881","70","8021","7","3","718","2","225","214","2","64","1079","849","0","529"
"publicpolygonfeature:5:42938","ZIP Code 32065","country:us/state:fl/zip:32065","32065","741","1497","1020","1384","669","491","41","302","585","97","650","881","125","24","128","0","310","268","28","109","1448","81","41","177"
"publicpolygonfeature:5:42941","ZIP Code 32072","country:us/state:fl/zip:32072","32072","0","3","2","1","0","1","6","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"publicpolygonfeature:5:42945","ZIP Code 32073","country:us/state:fl/zip:32073","32073","2229","4887","3557","4211","2951","1195","6","1125","1099","249","643","5931","73","38","417","0","463","1587","152","287","3682","181","14","137"
