"feature id","feature label","shid","geoid","Jobs with Worker Educational Attainment - Less than High School (2023)","Jobs with Worker Educational Attainment - Some College or Associate's Degree (2023)","Jobs with Worker Educational Attainment - Bachelor's Degree or Higher (2023)","Jobs with Worker Educational Attainment - High School Degree or Equivalent (2023)","Jobs - Accommodation and Food Services (2023)","Jobs - Administrative Support and Waste Management (2023)","Jobs - Agriculture, Forestry, Fishing, Hunting (2023)","Jobs - Arts, Entertainment and Recreation (2023)","Jobs - Construction (2023)","Jobs - Educational Services (2023)","Jobs - Finance and Insurance (2023)","Jobs - Health Care and Social Assistance (2023)","Jobs - Information (2023)","Jobs - Management (2023)","Jobs - Manufacturing (2023)","Jobs - Mining, Oil and Gas (2023)","Jobs - Other Services (2023)","Jobs - Professional, Technology and Science (2023)","Jobs - Public Administration (2023)","Jobs - Real Estate (2023)","Jobs - Retail Trade (2023)","Jobs - Transportation and Warehousing (2023)","Jobs - Utilities (2023)","Jobs - Wholesale Trade (2023)"
"publicpolygonfeature:5:44090","ZIP Code 40117","country:us/state:ky/zip:40117","40117","28","43","32","37","2","2","0","0","23","6","0","28","0","0","14","0","29","20","0","0","31","8","0","23"
"publicpolygonfeature:5:44105","ZIP Code 40118","country:us/state:ky/zip:40118","40118","319","512","322","542","56","83","4","48","271","2","3","403","0","0","18","0","8","25","34","13","77","452","0","701"
"publicpolygonfeature:5:44703","ZIP Code 40026","country:us/state:ky/zip:40026","40026","53","170","165","118","72","54","63","108","53","7","9","64","15","0","15","0","14","125","5","15","7","41","0","25"
"publicpolygonfeature:5:45451","ZIP Code 40041","country:us/state:ky/zip:40041","40041","53","136","99","115","0","0","0","0","0","0","0","422","0","99","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:45466","ZIP Code 40202","country:us/state:ky/zip:40202","40202","5725","18100","18330","13299","4590","3575","8","1433","1449","641","13806","19310","1905","1341","834","0","1112","6630","7401","515","706","228","1275","690"
"publicpolygonfeature:5:45468","ZIP Code 40203","country:us/state:ky/zip:40203","40203","1113","2909","2240","2697","358","1430","2","31","1063","690","190","1705","371","303","500","0","604","634","280","480","387","891","64","662"
"publicpolygonfeature:5:45484","ZIP Code 40204","country:us/state:ky/zip:40204","40204","734","1755","1603","1580","1688","303","6","92","408","236","215","1415","125","29","276","0","329","826","283","226","364","26","6","624"
"publicpolygonfeature:5:45487","ZIP Code 40205","country:us/state:ky/zip:40205","40205","965","2670","2805","2245","1733","381","12","294","341","1647","262","3365","158","1023","50","0","590","576","31","489","721","116","31","271"
"publicpolygonfeature:5:45495","ZIP Code 40206","country:us/state:ky/zip:40206","40206","1241","3344","3516","2524","1727","446","0","247","349","213","618","3330","513","63","2043","115","393","900","14","193","874","172","44","981"
"publicpolygonfeature:5:45500","ZIP Code 40207","country:us/state:ky/zip:40207","40207","2471","7631","6972","5659","3116","2128","7","617","292","771","1035","13687","179","297","236","2","763","1210","162","369","5075","129","18","735"
"publicpolygonfeature:5:45508","ZIP Code 40208","country:us/state:ky/zip:40208","40208","1194","2944","4506","2529","902","343","0","261","302","9224","22","269","75","178","1215","0","286","162","45","195","570","183","0","183"
"publicpolygonfeature:5:45512","ZIP Code 40209","country:us/state:ky/zip:40209","40209","811","1796","1138","1756","894","443","0","516","366","8","155","132","55","14","771","0","86","57","275","304","143","2266","0","778"
"publicpolygonfeature:5:45514","ZIP Code 40210","country:us/state:ky/zip:40210","40210","479","1110","795","1159","114","444","0","0","262","0","11","192","6","120","2237","0","40","18","0","83","238","274","0","140"
"publicpolygonfeature:5:45516","ZIP Code 40052","country:us/state:ky/zip:40052","40052","2","7","4","3","0","0","0","0","6","0","1","0","0","0","0","0","1","3","0","0","10","0","0","0"
"publicpolygonfeature:5:45527","ZIP Code 40211","country:us/state:ky/zip:40211","40211","621","1720","995","1780","221","208","0","2","217","50","19","680","28","27","2830","0","96","51","2","47","494","576","17","518"
"publicpolygonfeature:5:45530","ZIP Code 40212","country:us/state:ky/zip:40212","40212","178","362","216","330","164","18","2","7","71","22","13","467","2","0","154","0","39","17","0","10","363","8","5","15"
"publicpolygonfeature:5:45535","ZIP Code 40055","country:us/state:ky/zip:40055","40055","43","109","61","107","60","0","2","0","11","0","0","4","0","0","0","0","11","1","0","0","90","238","0","7"
"publicpolygonfeature:5:45542","ZIP Code 40056","country:us/state:ky/zip:40056","40056","33","52","105","78","8","6","0","3","24","1","6","13","11","1","0","0","11","78","123","10","5","5","0","15"
"publicpolygonfeature:5:45544","ZIP Code 40067","country:us/state:ky/zip:40067","40067","322","624","516","617","160","424","76","8","140","17","38","161","37","14","476","0","19","145","0","42","810","46","130","249"
"publicpolygonfeature:5:45551","ZIP Code 40218","country:us/state:ky/zip:40218","40218","4454","11507","10530","10699","883","3025","16","214","2992","14236","442","2102","320","493","10823","0","659","1205","26","694","2987","2569","80","2553"
"publicpolygonfeature:5:45667","ZIP Code 40003","country:us/state:ky/zip:40003","40003","18","33","11","21","0","6","0","0","27","0","1","0","0","0","33","0","3","1","0","0","23","1","15","0"
"publicpolygonfeature:5:45669","ZIP Code 40007","country:us/state:ky/zip:40007","40007","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"publicpolygonfeature:5:45670","ZIP Code 40004","country:us/state:ky/zip:40004","40004","1505","4225","2479","4587","1432","729","6","68","1192","1278","379","1602","107","43","5464","35","234","276","512","83","1955","555","42","730"
"publicpolygonfeature:5:45671","ZIP Code 40010","country:us/state:ky/zip:40010","40010","152","315","250","349","0","66","0","150","338","0","5","17","43","2","576","0","8","49","1","48","16","2","0","47"
"publicpolygonfeature:5:45672","ZIP Code 40008","country:us/state:ky/zip:40008","40008","34","69","52","85","31","22","0","0","51","21","12","16","0","0","115","0","27","5","3","5","49","2","6","19"
"publicpolygonfeature:5:45674","ZIP Code 40011","country:us/state:ky/zip:40011","40011","35","88","60","106","20","0","0","0","23","0","36","17","4","0","112","0","9","6","49","0","50","0","22","8"
"publicpolygonfeature:5:45675","ZIP Code 40012","country:us/state:ky/zip:40012","40012","10","21","21","38","0","0","0","0","0","0","13","70","0","0","4","0","0","8","0","0","1","0","0","0"
"publicpolygonfeature:5:45676","ZIP Code 40022","country:us/state:ky/zip:40022","40022","11","23","19","32","1","5","0","24","14","0","0","3","0","0","30","0","6","13","0","2","3","1","0","14"
"publicpolygonfeature:5:45677","ZIP Code 40013","country:us/state:ky/zip:40013","40013","29","81","50","84","0","21","6","0","55","2","3","8","0","0","137","0","19","16","0","5","17","18","0","11"
"publicpolygonfeature:5:45678","ZIP Code 40023","country:us/state:ky/zip:40023","40023","119","261","201","244","1","68","3","0","182","2","85","38","4","0","98","0","25","144","0","27","17","241","0","86"
"publicpolygonfeature:5:45679","ZIP Code 40025","country:us/state:ky/zip:40025","40025","12","46","53","19","0","0","0","15","0","0","3","87","0","0","0","0","34","13","2","7","0","0","0","0"
"publicpolygonfeature:5:45680","ZIP Code 40014","country:us/state:ky/zip:40014","40014","285","838","731","671","297","181","55","44","359","80","135","790","39","9","99","1","150","308","42","63","597","49","7","137"
"publicpolygonfeature:5:45681","ZIP Code 40019","country:us/state:ky/zip:40019","40019","103","194","152","239","135","30","4","0","17","121","13","36","21","0","385","0","16","1","20","16","73","0","0","18"
"publicpolygonfeature:5:45682","ZIP Code 40020","country:us/state:ky/zip:40020","40020","0","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","2","0","0","0"
"publicpolygonfeature:5:45683","ZIP Code 40031","country:us/state:ky/zip:40031","40031","820","2376","2379","2196","959","223","60","57","404","2127","1879","1117","82","23","341","0","167","346","958","68","1044","13","53","150"
"publicpolygonfeature:5:45684","ZIP Code 40036","country:us/state:ky/zip:40036","40036","2","3","4","9","0","0","0","0","0","0","0","0","0","0","0","27","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:45686","ZIP Code 40228","country:us/state:ky/zip:40228","40228","373","727","595","799","293","174","0","116","221","1","39","159","13","5","519","0","155","142","52","35","325","259","0","718"
"publicpolygonfeature:5:45687","ZIP Code 40046","country:us/state:ky/zip:40046","40046","1","3","4","5","0","7","0","2","5","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1"
"publicpolygonfeature:5:45688","ZIP Code 40047","country:us/state:ky/zip:40047","40047","270","798","547","802","476","81","6","31","643","19","134","668","19","73","163","0","117","220","157","24","413","40","0","42"
"publicpolygonfeature:5:45691","ZIP Code 40050","country:us/state:ky/zip:40050","40050","37","144","161","158","19","0","3","16","2","336","29","121","0","0","4","0","6","39","14","0","36","7","0","0"
"publicpolygonfeature:5:45692","ZIP Code 40051","country:us/state:ky/zip:40051","40051","51","140","74","158","7","17","31","6","53","0","9","29","1","0","106","0","7","134","4","2","80","64","0","11"
"publicpolygonfeature:5:45693","ZIP Code 40057","country:us/state:ky/zip:40057","40057","18","32","19","34","3","14","2","0","6","0","7","4","0","0","0","0","14","10","3","0","15","1","0","44"
"publicpolygonfeature:5:45694","ZIP Code 40058","country:us/state:ky/zip:40058","40058","6","32","17","31","19","0","0","0","0","6","0","5","0","0","0","0","7","9","58","0","0","0","0","0"
"publicpolygonfeature:5:45695","ZIP Code 40059","country:us/state:ky/zip:40059","40059","320","909","1157","759","608","212","39","374","153","144","218","664","48","9","96","26","189","774","18","72","465","61","0","180"
"publicpolygonfeature:5:45699","ZIP Code 40068","country:us/state:ky/zip:40068","40068","26","75","32","57","38","3","0","0","7","0","2","15","1","0","4","0","1","31","0","3","15","107","0","25"
"publicpolygonfeature:5:45700","ZIP Code 40065","country:us/state:ky/zip:40065","40065","1281","3162","2323","3038","1001","687","98","168","427","1475","308","1098","82","1","2850","0","578","375","1058","68","1753","143","86","425"
"publicpolygonfeature:5:45702","ZIP Code 40070","country:us/state:ky/zip:40070","40070","8","11","7","18","0","25","2","0","19","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0"
"publicpolygonfeature:5:45703","ZIP Code 40071","country:us/state:ky/zip:40071","40071","159","494","407","523","182","124","1","48","218","437","66","231","11","0","37","0","61","66","129","16","470","19","4","46"
"publicpolygonfeature:5:45704","ZIP Code 40075","country:us/state:ky/zip:40075","40075","7","9","5","6","0","0","0","0","0","0","0","3","0","0","0","0","0","6","0","7","0","7","0","8"
"publicpolygonfeature:5:45705","ZIP Code 40076","country:us/state:ky/zip:40076","40076","25","73","41","95","69","58","0","0","31","0","20","2","2","0","0","0","10","24","0","0","78","33","0","2"
"publicpolygonfeature:5:45706","ZIP Code 40077","country:us/state:ky/zip:40077","40077","5","19","21","18","0","4","0","0","4","0","0","0","4","1","5","0","1","40","1","0","13","0","0","0"
"publicpolygonfeature:5:45707","ZIP Code 40108","country:us/state:ky/zip:40108","40108","387","1122","800","1166","446","46","4","35","403","837","137","325","133","42","860","0","147","197","274","68","413","14","75","52"
"publicpolygonfeature:5:45709","ZIP Code 40104","country:us/state:ky/zip:40104","40104","17","30","10","38","0","3","0","0","6","0","0","2","0","0","0","121","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:45710","ZIP Code 40107","country:us/state:ky/zip:40107","40107","23","76","42","90","0","3","0","0","38","0","0","62","1","0","148","0","2","8","0","3","25","0","0","2"
"publicpolygonfeature:5:45711","ZIP Code 40109","country:us/state:ky/zip:40109","40109","259","449","265","506","53","44","0","0","101","11","3","54","36","0","411","0","513","36","0","1","71","163","0","429"
"publicpolygonfeature:5:45712","ZIP Code 40110","country:us/state:ky/zip:40110","40110","73","177","121","196","0","0","0","55","0","0","0","0","0","0","561","0","40","0","0","0","0","2","0","0"
"publicpolygonfeature:5:45714","ZIP Code 40121","country:us/state:ky/zip:40121","40121","204","547","326","514","237","518","0","0","37","17","98","121","22","0","144","0","31","298","0","303","21","42","10","0"
"publicpolygonfeature:5:45716","ZIP Code 40142","country:us/state:ky/zip:40142","40142","3","10","7","13","0","0","3","0","0","0","0","9","1","0","0","10","1","4","0","10","5","0","0","1"
"publicpolygonfeature:5:45719","ZIP Code 40161","country:us/state:ky/zip:40161","40161","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"publicpolygonfeature:5:45723","ZIP Code 40150","country:us/state:ky/zip:40150","40150","77","212","92","287","83","27","0","4","49","0","9","3","3","0","510","0","3","1","0","8","60","51","0","2"
"publicpolygonfeature:5:45725","ZIP Code 40155","country:us/state:ky/zip:40155","40155","21","70","43","100","55","0","0","0","179","0","0","0","0","0","0","0","1","0","8","8","43","0","23","0"
"publicpolygonfeature:5:45726","ZIP Code 40157","country:us/state:ky/zip:40157","40157","3","6","7","10","4","1","0","0","1","0","6","2","0","0","0","0","0","1","0","0","21","0","0","1"
