"feature id","feature label","shid","geoid","Jobs with Worker Educational Attainment - Less than High School (2023)","Jobs with Worker Educational Attainment - Some College or Associate's Degree (2023)","Jobs with Worker Educational Attainment - Bachelor's Degree or Higher (2023)","Jobs with Worker Educational Attainment - High School Degree or Equivalent (2023)","Jobs - Accommodation and Food Services (2023)","Jobs - Administrative Support and Waste Management (2023)","Jobs - Agriculture, Forestry, Fishing, Hunting (2023)","Jobs - Arts, Entertainment and Recreation (2023)","Jobs - Construction (2023)","Jobs - Educational Services (2023)","Jobs - Finance and Insurance (2023)","Jobs - Health Care and Social Assistance (2023)","Jobs - Information (2023)","Jobs - Management (2023)","Jobs - Manufacturing (2023)","Jobs - Mining, Oil and Gas (2023)","Jobs - Other Services (2023)","Jobs - Professional, Technology and Science (2023)","Jobs - Public Administration (2023)","Jobs - Real Estate (2023)","Jobs - Retail Trade (2023)","Jobs - Transportation and Warehousing (2023)","Jobs - Utilities (2023)","Jobs - Wholesale Trade (2023)"
"publicpolygonfeature:5:35000","ZIP Code 33009","country:us/state:fl/zip:33009","33009","2374","3207","2944","2887","1688","847","39","1517","468","154","440","1122","130","33","525","1","778","1790","419","358","2870","82","0","833"
"publicpolygonfeature:5:35288","ZIP Code 33010","country:us/state:fl/zip:33010","33010","3610","3510","2872","3385","739","1001","3","420","1221","56","258","2145","1435","77","2123","0","331","296","1290","360","2507","358","0","1101"
"publicpolygonfeature:5:36789","ZIP Code 33012","country:us/state:fl/zip:33012","33012","3686","3746","2979","3538","1842","1298","3","93","780","734","689","4764","140","5","395","0","388","515","2","212","5663","147","0","278"
"publicpolygonfeature:5:36822","ZIP Code 33013","country:us/state:fl/zip:33013","33013","1945","1780","1386","1811","426","192","10","8","386","84","137","1627","24","28","803","0","236","573","0","57","994","2365","1","372"
"publicpolygonfeature:5:36951","ZIP Code 33014","country:us/state:fl/zip:33014","33014","4890","6058","4910","5434","1746","2478","5","54","1525","276","750","2184","153","262","3819","0","752","1500","186","252","2599","5672","95","2501"
"publicpolygonfeature:5:36956","ZIP Code 33015","country:us/state:fl/zip:33015","33015","1822","2089","1570","1978","1084","561","1","23","612","186","361","1185","52","45","154","0","259","747","0","187","3569","147","0","424"
"publicpolygonfeature:5:36968","ZIP Code 33016","country:us/state:fl/zip:33016","33016","4457","5249","4648","4674","1172","2595","2","171","1681","451","2359","5413","448","363","1367","14","655","1838","221","431","2330","509","0","953"
"publicpolygonfeature:5:36976","ZIP Code 33018","country:us/state:fl/zip:33018","33018","2486","2402","1933","2396","616","583","3","78","2109","178","190","696","125","28","1729","313","323","712","0","154","1493","1142","10","673"
"publicpolygonfeature:5:39367","ZIP Code 33019","country:us/state:fl/zip:33019","33019","807","1126","933","1047","2200","1055","3","23","64","5","58","226","24","8","37","0","179","219","0","318","157","87","0","83"
"publicpolygonfeature:5:39380","ZIP Code 33020","country:us/state:fl/zip:33020","33020","3504","5331","4371","4706","2479","857","1","171","1609","400","787","1902","596","361","991","0","2503","1781","1744","2673","2654","466","7","1018"
"publicpolygonfeature:5:39385","ZIP Code 33021","country:us/state:fl/zip:33021","33021","3991","7259","6494","5498","1516","1387","2","831","798","489","1083","11777","304","1026","903","0","738","2360","828","556","3578","129","0","526"
"publicpolygonfeature:5:39392","ZIP Code 33023","country:us/state:fl/zip:33023","33023","2144","2716","1939","2598","614","1123","1","16","1465","173","239","1015","428","2","238","0","578","364","1224","165","2724","414","0","696"
"publicpolygonfeature:5:39419","ZIP Code 33024","country:us/state:fl/zip:33024","33024","2554","4004","3029","3342","1871","1103","8","179","470","628","455","3486","120","43","160","0","634","1077","2275","589","2412","305","103","293"
"publicpolygonfeature:5:39425","ZIP Code 33025","country:us/state:fl/zip:33025","33025","4548","7142","5776","5862","1985","2715","0","141","895","371","1002","2347","346","74","1710","0","724","1444","1","403","5140","7434","6","2662"
"publicpolygonfeature:5:39437","ZIP Code 33026","country:us/state:fl/zip:33026","33026","1681","2840","2319","2165","1580","288","0","175","142","184","170","5430","11","501","18","0","315","540","0","67","2778","25","0","100"
