"feature id","feature label","shid","geoid","Jobs with Worker Educational Attainment - Less than High School (2023)","Jobs with Worker Educational Attainment - Some College or Associate's Degree (2023)","Jobs with Worker Educational Attainment - Bachelor's Degree or Higher (2023)","Jobs with Worker Educational Attainment - High School Degree or Equivalent (2023)","Jobs - Accommodation and Food Services (2023)","Jobs - Administrative Support and Waste Management (2023)","Jobs - Agriculture, Forestry, Fishing, Hunting (2023)","Jobs - Arts, Entertainment and Recreation (2023)","Jobs - Construction (2023)","Jobs - Educational Services (2023)","Jobs - Finance and Insurance (2023)","Jobs - Health Care and Social Assistance (2023)","Jobs - Information (2023)","Jobs - Management (2023)","Jobs - Manufacturing (2023)","Jobs - Mining, Oil and Gas (2023)","Jobs - Other Services (2023)","Jobs - Professional, Technology and Science (2023)","Jobs - Public Administration (2023)","Jobs - Real Estate (2023)","Jobs - Retail Trade (2023)","Jobs - Transportation and Warehousing (2023)","Jobs - Utilities (2023)","Jobs - Wholesale Trade (2023)"
"publicpolygonfeature:5:44336","ZIP Code 37207","country:us/state:tn/zip:37207","37207","2127","4331","2719","4293","930","1848","54","481","1903","1195","306","350","323","93","1377","0","520","346","0","272","1573","4299","0","2321"
"publicpolygonfeature:5:44347","ZIP Code 37208","country:us/state:tn/zip:37208","37208","1237","2839","2834","2671","1450","401","0","72","684","3032","76","1655","119","322","1613","22","193","636","944","194","438","202","0","133"
"publicpolygonfeature:5:44416","ZIP Code 37086","country:us/state:tn/zip:37086","37086","3389","6481","4885","6352","918","1916","0","26","977","22","66","202","3048","3","4405","0","853","481","305","511","2363","5989","105","4935"
"publicpolygonfeature:5:44432","ZIP Code 37135","country:us/state:tn/zip:37135","37135","254","580","540","501","572","156","1","57","377","17","73","558","65","83","132","0","189","169","80","24","205","181","19","40"
"publicpolygonfeature:5:44485","ZIP Code 37060","country:us/state:tn/zip:37060","37060","88","186","104","198","130","117","38","42","93","0","5","28","2","0","181","0","24","10","11","2","107","36","0","53"
"publicpolygonfeature:5:44489","ZIP Code 37140","country:us/state:tn/zip:37140","37140","25","85","45","91","12","0","0","0","0","0","0","0","0","0","0","0","0","0","265","0","5","0","0","0"
"publicpolygonfeature:5:44501","ZIP Code 37141","country:us/state:tn/zip:37141","37141","19","26","8","19","26","19","8","0","2","0","2","6","0","0","3","0","0","0","4","0","6","12","0","13"
"publicpolygonfeature:5:44523","ZIP Code 37016","country:us/state:tn/zip:37016","37016","2","6","3","3","0","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","4","9","0","5"
"publicpolygonfeature:5:44527","ZIP Code 37010","country:us/state:tn/zip:37010","37010","30","62","47","73","9","26","18","1","112","11","0","39","0","0","8","0","5","4","3","3","23","24","0","14"
"publicpolygonfeature:5:44528","ZIP Code 37012","country:us/state:tn/zip:37012","37012","32","82","70","105","0","5","0","0","5","0","9","12","85","0","183","0","0","6","0","0","46","7","3","21"
"publicpolygonfeature:5:44529","ZIP Code 37013","country:us/state:tn/zip:37013","37013","1763","3446","2559","3284","1350","2224","0","528","453","344","266","1240","258","74","878","0","517","293","0","638","2756","1840","8","1867"
"publicpolygonfeature:5:44530","ZIP Code 37014","country:us/state:tn/zip:37014","37014","47","99","108","91","0","59","0","2","193","15","12","14","9","0","0","0","36","35","0","30","64","0","0","2"
"publicpolygonfeature:5:44532","ZIP Code 37015","country:us/state:tn/zip:37015","37015","679","1506","1066","1589","380","104","11","13","254","895","89","434","15","0","2440","7","67","68","369","24","597","299","17","23"
"publicpolygonfeature:5:44533","ZIP Code 37020","country:us/state:tn/zip:37020","37020","55","100","82","98","73","9","6","0","90","116","2","5","0","0","16","0","14","1","8","19","34","46","0","2"
"publicpolygonfeature:5:44535","ZIP Code 37022","country:us/state:tn/zip:37022","37022","17","41","24","53","0","9","8","0","74","5","5","6","2","0","4","0","20","19","0","0","28","2","0","4"
"publicpolygonfeature:5:44537","ZIP Code 37031","country:us/state:tn/zip:37031","37031","40","72","57","80","15","27","0","0","32","0","0","157","0","0","16","0","0","3","0","0","29","5","0","21"
"publicpolygonfeature:5:44538","ZIP Code 37025","country:us/state:tn/zip:37025","37025","59","112","67","139","16","7","0","0","295","0","5","32","1","13","41","0","51","2","0","0","69","5","21","1"
"publicpolygonfeature:5:44539","ZIP Code 37026","country:us/state:tn/zip:37026","37026","34","59","31","58","0","1","3","14","39","0","0","1","0","0","16","0","21","0","0","0","5","149","0","0"
"publicpolygonfeature:5:44542","ZIP Code 37027","country:us/state:tn/zip:37027","37027","5053","14517","16554","11182","3575","5030","11","1103","1904","1096","6400","7563","3641","5435","436","0","1702","13890","402","882","4530","980","0","1888"
"publicpolygonfeature:5:44544","ZIP Code 37143","country:us/state:tn/zip:37143","37143","39","68","55","81","3","57","4","4","34","0","14","49","1","0","67","0","8","3","3","0","30","30","0","6"
"publicpolygonfeature:5:44545","ZIP Code 37029","country:us/state:tn/zip:37029","37029","77","206","154","222","57","47","4","0","80","117","5","140","0","0","135","0","59","23","11","0","62","47","11","14"
"publicpolygonfeature:5:44546","ZIP Code 37030","country:us/state:tn/zip:37030","37030","220","666","472","715","226","31","17","5","233","372","106","382","11","20","124","0","45","57","302","12","522","42","85","93"
"publicpolygonfeature:5:44547","ZIP Code 37032","country:us/state:tn/zip:37032","37032","25","54","35","72","0","14","6","0","40","0","2","3","0","0","87","0","7","0","2","0","39","12","14","18"
"publicpolygonfeature:5:44548","ZIP Code 37076","country:us/state:tn/zip:37076","37076","1158","2496","2310","2385","2000","1269","0","215","662","50","187","1919","60","7","73","28","475","2003","1","186","2319","183","0","170"
