"feature id","feature label","shid","geoid","Jobs with Worker Educational Attainment - Less than High School (2023)","Jobs with Worker Educational Attainment - Some College or Associate's Degree (2023)","Jobs with Worker Educational Attainment - Bachelor's Degree or Higher (2023)","Jobs with Worker Educational Attainment - High School Degree or Equivalent (2023)","Jobs - Accommodation and Food Services (2023)","Jobs - Administrative Support and Waste Management (2023)","Jobs - Agriculture, Forestry, Fishing, Hunting (2023)","Jobs - Arts, Entertainment and Recreation (2023)","Jobs - Construction (2023)","Jobs - Educational Services (2023)","Jobs - Finance and Insurance (2023)","Jobs - Health Care and Social Assistance (2023)","Jobs - Information (2023)","Jobs - Management (2023)","Jobs - Manufacturing (2023)","Jobs - Mining, Oil and Gas (2023)","Jobs - Other Services (2023)","Jobs - Professional, Technology and Science (2023)","Jobs - Public Administration (2023)","Jobs - Real Estate (2023)","Jobs - Retail Trade (2023)","Jobs - Transportation and Warehousing (2023)","Jobs - Utilities (2023)","Jobs - Wholesale Trade (2023)"
"publicpolygonfeature:5:38396","ZIP Code 33626","country:us/state:fl/zip:33626","33626","1203","2429","2333","1930","1172","1304","13","793","424","131","442","1054","112","51","1207","0","283","1254","1","280","863","93","55","776"
"publicpolygonfeature:5:38411","ZIP Code 33629","country:us/state:fl/zip:33629","33629","1039","2206","2515","1792","1318","668","11","374","334","411","674","1281","239","162","89","0","846","1708","2","284","1088","213","0","397"
"publicpolygonfeature:5:39990","ZIP Code 33634","country:us/state:fl/zip:33634","33634","5986","11800","10453","9772","1418","6383","6","201","3902","520","5736","2588","1597","1346","3773","1","1110","4900","47","828","2836","2480","77","6702"
"publicpolygonfeature:5:40399","ZIP Code 33635","country:us/state:fl/zip:33635","33635","581","1030","768","929","473","672","13","181","461","145","79","188","63","273","226","0","82","327","0","112","831","9","0","340"
"publicpolygonfeature:5:40408","ZIP Code 34654","country:us/state:fl/zip:34654","34654","899","2638","2039","2181","618","217","16","39","451","1012","75","628","139","7","607","0","98","198","4590","101","732","48","11","34"
"publicpolygonfeature:5:40423","ZIP Code 34677","country:us/state:fl/zip:34677","34677","1764","3906","3398","3285","1305","1172","2","187","1827","112","340","1038","362","636","2471","2","411","2452","245","182","1393","115","21","1089"
"publicpolygonfeature:5:40425","ZIP Code 34679","country:us/state:fl/zip:34679","34679","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:40426","ZIP Code 34681","country:us/state:fl/zip:34681","34681","43","136","129","99","95","4","0","0","60","10","107","50","31","0","7","0","65","107","0","6","11","4","0","11"
"publicpolygonfeature:5:40429","ZIP Code 34691","country:us/state:fl/zip:34691","34691","320","636","458","626","208","329","0","58","226","4","160","154","6","3","47","0","86","214","0","64","962","5","57","51"
"publicpolygonfeature:5:40464","ZIP Code 34695","country:us/state:fl/zip:34695","34695","831","2219","2087","1724","1235","348","0","57","536","172","104","3457","42","98","781","44","304","559","229","72","205","44","3","234"
