"feature id","feature label","shid","geoid","Number of Jobs (2023)"
"publicpolygonfeature:5:41095","ZIP Code 32202","country:us/state:fl/zip:32202","32202","29100"
"publicpolygonfeature:5:41100","ZIP Code 32204","country:us/state:fl/zip:32204","32204","18623"
"publicpolygonfeature:5:41113","ZIP Code 32205","country:us/state:fl/zip:32205","32205","11781"
"publicpolygonfeature:5:41181","ZIP Code 32206","country:us/state:fl/zip:32206","32206","10425"
"publicpolygonfeature:5:41191","ZIP Code 32207","country:us/state:fl/zip:32207","32207","57828"
"publicpolygonfeature:5:41305","ZIP Code 32208","country:us/state:fl/zip:32208","32208","7093"
"publicpolygonfeature:5:41320","ZIP Code 32209","country:us/state:fl/zip:32209","32209","14560"
"publicpolygonfeature:5:42938","ZIP Code 32065","country:us/state:fl/zip:32065","32065","6455"
"publicpolygonfeature:5:42941","ZIP Code 32072","country:us/state:fl/zip:32072","32072","8"
"publicpolygonfeature:5:42945","ZIP Code 32073","country:us/state:fl/zip:32073","32073","20230"
"publicpolygonfeature:5:42946","ZIP Code 32079","country:us/state:fl/zip:32079","32079","25"
"publicpolygonfeature:5:42950","ZIP Code 32080","country:us/state:fl/zip:32080","32080","7522"
"publicpolygonfeature:5:42951","ZIP Code 32081","country:us/state:fl/zip:32081","32081","4608"
"publicpolygonfeature:5:42953","ZIP Code 32082","country:us/state:fl/zip:32082","32082","13483"
"publicpolygonfeature:5:42967","ZIP Code 32084","country:us/state:fl/zip:32084","32084","29588"
"publicpolygonfeature:5:42981","ZIP Code 32086","country:us/state:fl/zip:32086","32086","11962"
"publicpolygonfeature:5:42990","ZIP Code 32210","country:us/state:fl/zip:32210","32210","11734"
"publicpolygonfeature:5:42992","ZIP Code 32211","country:us/state:fl/zip:32211","32211","6091"
"publicpolygonfeature:5:42993","ZIP Code 32212","country:us/state:fl/zip:32212","32212","1915"
"publicpolygonfeature:5:42997","ZIP Code 32216","country:us/state:fl/zip:32216","32216","40575"
"publicpolygonfeature:5:43001","ZIP Code 32217","country:us/state:fl/zip:32217","32217","7733"
"publicpolygonfeature:5:43007","ZIP Code 32223","country:us/state:fl/zip:32223","32223","10718"
"publicpolygonfeature:5:43011","ZIP Code 32254","country:us/state:fl/zip:32254","32254","22353"
"publicpolygonfeature:5:43013","ZIP Code 32256","country:us/state:fl/zip:32256","32256","84984"
"publicpolygonfeature:5:43015","ZIP Code 32257","country:us/state:fl/zip:32257","32257","16380"
"publicpolygonfeature:5:43016","ZIP Code 32258","country:us/state:fl/zip:32258","32258","18725"
"publicpolygonfeature:5:43018","ZIP Code 32259","country:us/state:fl/zip:32259","32259","9885"
"publicpolygonfeature:5:43019","ZIP Code 32266","country:us/state:fl/zip:32266","32266","2523"
"publicpolygonfeature:5:43041","ZIP Code 32277","country:us/state:fl/zip:32277","32277","4009"
"publicpolygonfeature:5:43047","ZIP Code 32145","country:us/state:fl/zip:32145","32145","781"
"publicpolygonfeature:5:43189","ZIP Code 32003","country:us/state:fl/zip:32003","32003","8844"
"publicpolygonfeature:5:43196","ZIP Code 32009","country:us/state:fl/zip:32009","32009","210"
"publicpolygonfeature:5:43200","ZIP Code 32011","country:us/state:fl/zip:32011","32011","2160"
"publicpolygonfeature:5:43201","ZIP Code 32033","country:us/state:fl/zip:32033","32033","1231"
"publicpolygonfeature:5:43202","ZIP Code 32034","country:us/state:fl/zip:32034","32034","16026"
"publicpolygonfeature:5:43206","ZIP Code 32040","country:us/state:fl/zip:32040","32040","810"
"publicpolygonfeature:5:43208","ZIP Code 32043","country:us/state:fl/zip:32043","32043","14891"
"publicpolygonfeature:5:43210","ZIP Code 32046","country:us/state:fl/zip:32046","32046","1713"
"publicpolygonfeature:5:43218","ZIP Code 32063","country:us/state:fl/zip:32063","32063","6056"
"publicpolygonfeature:5:43222","ZIP Code 32095","country:us/state:fl/zip:32095","32095","6794"
"publicpolygonfeature:5:43223","ZIP Code 32068","country:us/state:fl/zip:32068","32068","7833"
"publicpolygonfeature:5:43225","ZIP Code 32087","country:us/state:fl/zip:32087","32087","114"
"publicpolygonfeature:5:43227","ZIP Code 32091","country:us/state:fl/zip:32091","32091","4937"
"publicpolygonfeature:5:43228","ZIP Code 32092","country:us/state:fl/zip:32092","32092","9570"
"publicpolygonfeature:5:43232","ZIP Code 32097","country:us/state:fl/zip:32097","32097","6111"
"publicpolygonfeature:5:43262","ZIP Code 32218","country:us/state:fl/zip:32218","32218","42071"
"publicpolygonfeature:5:43263","ZIP Code 32219","country:us/state:fl/zip:32219","32219","13546"
"publicpolygonfeature:5:43264","ZIP Code 32220","country:us/state:fl/zip:32220","32220","7278"
"publicpolygonfeature:5:43265","ZIP Code 32221","country:us/state:fl/zip:32221","32221","7910"
"publicpolygonfeature:5:43266","ZIP Code 32222","country:us/state:fl/zip:32222","32222","2712"
"publicpolygonfeature:5:43267","ZIP Code 32224","country:us/state:fl/zip:32224","32224","28023"
"publicpolygonfeature:5:43268","ZIP Code 32225","country:us/state:fl/zip:32225","32225","19572"
"publicpolygonfeature:5:43269","ZIP Code 32226","country:us/state:fl/zip:32226","32226","11023"
"publicpolygonfeature:5:43270","ZIP Code 32227","country:us/state:fl/zip:32227","32227","283"
