"feature id","feature label","shid","geoid","Number of Jobs (2023)"
"publicpolygonfeature:5:61229","ZIP Code 94133","country:us/state:ca/zip:94133","94133","16830"
"publicpolygonfeature:5:61462","ZIP Code 94134","country:us/state:ca/zip:94134","94134","7165"
"publicpolygonfeature:5:63101","ZIP Code 94158","country:us/state:ca/zip:94158","94158","7475"
"publicpolygonfeature:5:63105","ZIP Code 94555","country:us/state:ca/zip:94555","94555","4707"
"publicpolygonfeature:5:63344","ZIP Code 94596","country:us/state:ca/zip:94596","94596","32485"
"publicpolygonfeature:5:63365","ZIP Code 94063","country:us/state:ca/zip:94063","94063","39290"
"publicpolygonfeature:5:63377","ZIP Code 94065","country:us/state:ca/zip:94065","94065","16780"
"publicpolygonfeature:5:63384","ZIP Code 94707","country:us/state:ca/zip:94707","94707","2346"
"publicpolygonfeature:5:63393","ZIP Code 94066","country:us/state:ca/zip:94066","94066","14005"
"publicpolygonfeature:5:63398","ZIP Code 94111","country:us/state:ca/zip:94111","94111","65413"
"publicpolygonfeature:5:63405","ZIP Code 94112","country:us/state:ca/zip:94112","94112","16451"
"publicpolygonfeature:5:63439","ZIP Code 94021","country:us/state:ca/zip:94021","94021","29"
"publicpolygonfeature:5:63449","ZIP Code 94027","country:us/state:ca/zip:94027","94027","2634"
"publicpolygonfeature:5:63453","ZIP Code 94114","country:us/state:ca/zip:94114","94114","10499"
"publicpolygonfeature:5:63455","ZIP Code 94115","country:us/state:ca/zip:94115","94115","20720"
"publicpolygonfeature:5:63458","ZIP Code 94116","country:us/state:ca/zip:94116","94116","6465"
"publicpolygonfeature:5:63490","ZIP Code 94014","country:us/state:ca/zip:94014","94014","10235"
"publicpolygonfeature:5:63510","ZIP Code 94015","country:us/state:ca/zip:94015","94015","14881"
"publicpolygonfeature:5:63515","ZIP Code 94117","country:us/state:ca/zip:94117","94117","9373"
"publicpolygonfeature:5:63528","ZIP Code 94118","country:us/state:ca/zip:94118","94118","15562"
"publicpolygonfeature:5:63543","ZIP Code 94002","country:us/state:ca/zip:94002","94002","7664"
"publicpolygonfeature:5:63544","ZIP Code 94005","country:us/state:ca/zip:94005","94005","7214"
"publicpolygonfeature:5:63545","ZIP Code 94010","country:us/state:ca/zip:94010","94010","27551"
"publicpolygonfeature:5:63546","ZIP Code 94019","country:us/state:ca/zip:94019","94019","6037"
"publicpolygonfeature:5:63547","ZIP Code 94020","country:us/state:ca/zip:94020","94020","341"
"publicpolygonfeature:5:63550","ZIP Code 94025","country:us/state:ca/zip:94025","94025","62266"
"publicpolygonfeature:5:63551","ZIP Code 94028","country:us/state:ca/zip:94028","94028","1898"
"publicpolygonfeature:5:63552","ZIP Code 94030","country:us/state:ca/zip:94030","94030","5139"
"publicpolygonfeature:5:63553","ZIP Code 94037","country:us/state:ca/zip:94037","94037","169"
"publicpolygonfeature:5:63554","ZIP Code 94038","country:us/state:ca/zip:94038","94038","401"
"publicpolygonfeature:5:63557","ZIP Code 94044","country:us/state:ca/zip:94044","94044","5502"
"publicpolygonfeature:5:63558","ZIP Code 94060","country:us/state:ca/zip:94060","94060","838"
"publicpolygonfeature:5:63559","ZIP Code 94061","country:us/state:ca/zip:94061","94061","5507"
"publicpolygonfeature:5:63560","ZIP Code 94121","country:us/state:ca/zip:94121","94121","10377"
"publicpolygonfeature:5:63561","ZIP Code 94062","country:us/state:ca/zip:94062","94062","6904"
"publicpolygonfeature:5:63562","ZIP Code 94122","country:us/state:ca/zip:94122","94122","28064"
"publicpolygonfeature:5:63563","ZIP Code 94070","country:us/state:ca/zip:94070","94070","18396"
"publicpolygonfeature:5:63564","ZIP Code 94074","country:us/state:ca/zip:94074","94074","81"
"publicpolygonfeature:5:63565","ZIP Code 94080","country:us/state:ca/zip:94080","94080","58444"
"publicpolygonfeature:5:63570","ZIP Code 94102","country:us/state:ca/zip:94102","94102","62763"
"publicpolygonfeature:5:63571","ZIP Code 94103","country:us/state:ca/zip:94103","94103","84109"
"publicpolygonfeature:5:63572","ZIP Code 94104","country:us/state:ca/zip:94104","94104","58463"
"publicpolygonfeature:5:63573","ZIP Code 94105","country:us/state:ca/zip:94105","94105","121729"
"publicpolygonfeature:5:63574","ZIP Code 94107","country:us/state:ca/zip:94107","94107","62204"
"publicpolygonfeature:5:63575","ZIP Code 94108","country:us/state:ca/zip:94108","94108","23391"
"publicpolygonfeature:5:63576","ZIP Code 94109","country:us/state:ca/zip:94109","94109","22949"
"publicpolygonfeature:5:63577","ZIP Code 94110","country:us/state:ca/zip:94110","94110","25708"
"publicpolygonfeature:5:63578","ZIP Code 94123","country:us/state:ca/zip:94123","94123","9499"
"publicpolygonfeature:5:63579","ZIP Code 94124","country:us/state:ca/zip:94124","94124","18662"
"publicpolygonfeature:5:63580","ZIP Code 94127","country:us/state:ca/zip:94127","94127","3846"
"publicpolygonfeature:5:63581","ZIP Code 94128","country:us/state:ca/zip:94128","94128","17328"
"publicpolygonfeature:5:63582","ZIP Code 94129","country:us/state:ca/zip:94129","94129","6762"
"publicpolygonfeature:5:63583","ZIP Code 94130","country:us/state:ca/zip:94130","94130","830"
"publicpolygonfeature:5:63584","ZIP Code 94131","country:us/state:ca/zip:94131","94131","18415"
"publicpolygonfeature:5:63585","ZIP Code 94132","country:us/state:ca/zip:94132","94132","11008"
"publicpolygonfeature:5:63586","ZIP Code 94303","country:us/state:ca/zip:94303","94303","19158"
"publicpolygonfeature:5:63590","ZIP Code 94401","country:us/state:ca/zip:94401","94401","13633"
"publicpolygonfeature:5:63592","ZIP Code 94402","country:us/state:ca/zip:94402","94402","16240"
"publicpolygonfeature:5:63593","ZIP Code 94403","country:us/state:ca/zip:94403","94403","23611"
"publicpolygonfeature:5:63594","ZIP Code 94404","country:us/state:ca/zip:94404","94404","27095"
"publicpolygonfeature:5:63595","ZIP Code 94501","country:us/state:ca/zip:94501","94501","22833"
"publicpolygonfeature:5:63596","ZIP Code 94502","country:us/state:ca/zip:94502","94502","10521"
"publicpolygonfeature:5:63598","ZIP Code 94509","country:us/state:ca/zip:94509","94509","15005"
"publicpolygonfeature:5:63599","ZIP Code 94505","country:us/state:ca/zip:94505","94505","1289"
"publicpolygonfeature:5:63600","ZIP Code 94506","country:us/state:ca/zip:94506","94506","3747"
"publicpolygonfeature:5:63601","ZIP Code 94507","country:us/state:ca/zip:94507","94507","3823"
"publicpolygonfeature:5:63605","ZIP Code 94511","country:us/state:ca/zip:94511","94511","167"
"publicpolygonfeature:5:63607","ZIP Code 94518","country:us/state:ca/zip:94518","94518","6807"
"publicpolygonfeature:5:63608","ZIP Code 94519","country:us/state:ca/zip:94519","94519","3846"
"publicpolygonfeature:5:63609","ZIP Code 94929","country:us/state:ca/zip:94929","94929","42"
"publicpolygonfeature:5:63610","ZIP Code 94513","country:us/state:ca/zip:94513","94513","18093"
"publicpolygonfeature:5:63611","ZIP Code 94514","country:us/state:ca/zip:94514","94514","1003"
"publicpolygonfeature:5:63612","ZIP Code 94566","country:us/state:ca/zip:94566","94566","19311"
"publicpolygonfeature:5:63614","ZIP Code 94516","country:us/state:ca/zip:94516","94516","25"
"publicpolygonfeature:5:63615","ZIP Code 94517","country:us/state:ca/zip:94517","94517","1591"
"publicpolygonfeature:5:63616","ZIP Code 94520","country:us/state:ca/zip:94520","94520","46272"
"publicpolygonfeature:5:63617","ZIP Code 94521","country:us/state:ca/zip:94521","94521","6241"
"publicpolygonfeature:5:63618","ZIP Code 94523","country:us/state:ca/zip:94523","94523","15460"
"publicpolygonfeature:5:63619","ZIP Code 94525","country:us/state:ca/zip:94525","94525","1002"
"publicpolygonfeature:5:63621","ZIP Code 94526","country:us/state:ca/zip:94526","94526","11138"
"publicpolygonfeature:5:63622","ZIP Code 94528","country:us/state:ca/zip:94528","94528","118"
"publicpolygonfeature:5:63623","ZIP Code 94530","country:us/state:ca/zip:94530","94530","6612"
"publicpolygonfeature:5:63624","ZIP Code 94531","country:us/state:ca/zip:94531","94531","8470"
"publicpolygonfeature:5:63628","ZIP Code 94536","country:us/state:ca/zip:94536","94536","9874"
"publicpolygonfeature:5:63630","ZIP Code 94538","country:us/state:ca/zip:94538","94538","96573"
"publicpolygonfeature:5:63631","ZIP Code 94539","country:us/state:ca/zip:94539","94539","18539"
"publicpolygonfeature:5:63632","ZIP Code 94541","country:us/state:ca/zip:94541","94541","14955"
"publicpolygonfeature:5:63633","ZIP Code 94542","country:us/state:ca/zip:94542","94542","3216"
"publicpolygonfeature:5:63634","ZIP Code 94544","country:us/state:ca/zip:94544","94544","19333"
"publicpolygonfeature:5:63635","ZIP Code 94545","country:us/state:ca/zip:94545","94545","36696"
"publicpolygonfeature:5:63636","ZIP Code 94546","country:us/state:ca/zip:94546","94546","9924"
"publicpolygonfeature:5:63637","ZIP Code 94547","country:us/state:ca/zip:94547","94547","4592"
"publicpolygonfeature:5:63638","ZIP Code 94548","country:us/state:ca/zip:94548","94548","53"
"publicpolygonfeature:5:63640","ZIP Code 94549","country:us/state:ca/zip:94549","94549","10001"
"publicpolygonfeature:5:63641","ZIP Code 94551","country:us/state:ca/zip:94551","94551","30691"
"publicpolygonfeature:5:63642","ZIP Code 94578","country:us/state:ca/zip:94578","94578","10197"
"publicpolygonfeature:5:63643","ZIP Code 94550","country:us/state:ca/zip:94550","94550","28804"
"publicpolygonfeature:5:63644","ZIP Code 94552","country:us/state:ca/zip:94552","94552","1349"
"publicpolygonfeature:5:63645","ZIP Code 94553","country:us/state:ca/zip:94553","94553","29088"
"publicpolygonfeature:5:63646","ZIP Code 94556","country:us/state:ca/zip:94556","94556","3402"
"publicpolygonfeature:5:63649","ZIP Code 94560","country:us/state:ca/zip:94560","94560","23512"
"publicpolygonfeature:5:63650","ZIP Code 94561","country:us/state:ca/zip:94561","94561","5273"
"publicpolygonfeature:5:63651","ZIP Code 94563","country:us/state:ca/zip:94563","94563","4515"
"publicpolygonfeature:5:63652","ZIP Code 94564","country:us/state:ca/zip:94564","94564","5236"
"publicpolygonfeature:5:63653","ZIP Code 94565","country:us/state:ca/zip:94565","94565","16858"
"publicpolygonfeature:5:63655","ZIP Code 94568","country:us/state:ca/zip:94568","94568","24806"
"publicpolygonfeature:5:63656","ZIP Code 94569","country:us/state:ca/zip:94569","94569","71"
"publicpolygonfeature:5:63657","ZIP Code 94579","country:us/state:ca/zip:94579","94579","2839"
"publicpolygonfeature:5:63659","ZIP Code 94572","country:us/state:ca/zip:94572","94572","1442"
"publicpolygonfeature:5:63661","ZIP Code 94580","country:us/state:ca/zip:94580","94580","4925"
"publicpolygonfeature:5:63662","ZIP Code 94582","country:us/state:ca/zip:94582","94582","4404"
"publicpolygonfeature:5:63664","ZIP Code 94575","country:us/state:ca/zip:94575","94575","800"
"publicpolygonfeature:5:63666","ZIP Code 94577","country:us/state:ca/zip:94577","94577","40501"
"publicpolygonfeature:5:63667","ZIP Code 94583","country:us/state:ca/zip:94583","94583","33837"
"publicpolygonfeature:5:63668","ZIP Code 94586","country:us/state:ca/zip:94586","94586","457"
"publicpolygonfeature:5:63669","ZIP Code 94587","country:us/state:ca/zip:94587","94587","27299"
"publicpolygonfeature:5:63671","ZIP Code 94595","country:us/state:ca/zip:94595","94595","2956"
"publicpolygonfeature:5:63672","ZIP Code 94588","country:us/state:ca/zip:94588","94588","46974"
"publicpolygonfeature:5:63677","ZIP Code 94597","country:us/state:ca/zip:94597","94597","12214"
"publicpolygonfeature:5:63678","ZIP Code 94598","country:us/state:ca/zip:94598","94598","19600"
"publicpolygonfeature:5:63680","ZIP Code 94601","country:us/state:ca/zip:94601","94601","11153"
"publicpolygonfeature:5:63681","ZIP Code 94602","country:us/state:ca/zip:94602","94602","7271"
"publicpolygonfeature:5:63682","ZIP Code 94603","country:us/state:ca/zip:94603","94603","5174"
"publicpolygonfeature:5:63683","ZIP Code 94605","country:us/state:ca/zip:94605","94605","6333"
"publicpolygonfeature:5:63684","ZIP Code 94606","country:us/state:ca/zip:94606","94606","7989"
"publicpolygonfeature:5:63685","ZIP Code 94607","country:us/state:ca/zip:94607","94607","38299"
"publicpolygonfeature:5:63686","ZIP Code 94608","country:us/state:ca/zip:94608","94608","28489"
"publicpolygonfeature:5:63687","ZIP Code 94609","country:us/state:ca/zip:94609","94609","12078"
"publicpolygonfeature:5:63688","ZIP Code 94610","country:us/state:ca/zip:94610","94610","6108"
"publicpolygonfeature:5:63689","ZIP Code 94611","country:us/state:ca/zip:94611","94611","17156"
"publicpolygonfeature:5:63690","ZIP Code 94612","country:us/state:ca/zip:94612","94612","65106"
"publicpolygonfeature:5:63691","ZIP Code 94613","country:us/state:ca/zip:94613","94613","576"
"publicpolygonfeature:5:63692","ZIP Code 94618","country:us/state:ca/zip:94618","94618","4822"
"publicpolygonfeature:5:63693","ZIP Code 94619","country:us/state:ca/zip:94619","94619","5665"
"publicpolygonfeature:5:63694","ZIP Code 94621","country:us/state:ca/zip:94621","94621","28191"
"publicpolygonfeature:5:63695","ZIP Code 94702","country:us/state:ca/zip:94702","94702","3681"
"publicpolygonfeature:5:63696","ZIP Code 94703","country:us/state:ca/zip:94703","94703","8840"
"publicpolygonfeature:5:63697","ZIP Code 94704","country:us/state:ca/zip:94704","94704","12881"
"publicpolygonfeature:5:63698","ZIP Code 94705","country:us/state:ca/zip:94705","94705","7531"
"publicpolygonfeature:5:63699","ZIP Code 94706","country:us/state:ca/zip:94706","94706","4102"
"publicpolygonfeature:5:63700","ZIP Code 94708","country:us/state:ca/zip:94708","94708","1957"
"publicpolygonfeature:5:63701","ZIP Code 94709","country:us/state:ca/zip:94709","94709","19759"
"publicpolygonfeature:5:63702","ZIP Code 94710","country:us/state:ca/zip:94710","94710","17158"
"publicpolygonfeature:5:63703","ZIP Code 94720","country:us/state:ca/zip:94720","94720","384"
"publicpolygonfeature:5:63704","ZIP Code 94801","country:us/state:ca/zip:94801","94801","10381"
"publicpolygonfeature:5:63705","ZIP Code 94803","country:us/state:ca/zip:94803","94803","2574"
"publicpolygonfeature:5:63706","ZIP Code 94804","country:us/state:ca/zip:94804","94804","15665"
"publicpolygonfeature:5:63707","ZIP Code 94805","country:us/state:ca/zip:94805","94805","2295"
"publicpolygonfeature:5:63708","ZIP Code 94806","country:us/state:ca/zip:94806","94806","13749"
"publicpolygonfeature:5:63710","ZIP Code 94901","country:us/state:ca/zip:94901","94901","21598"
